All-Words,end,filename,n-gram,start,classtype,PRE_DIST_VERB,POST_DIST_VERB,PrecedingTitle,PRE_DIST_FROM_THE,PRE_DIST_FROM_POSITION,NEGATIVE_FEATURE,POSITIVE_FEATURE,Surrounding_Caps,Apostrophe,POST_IS_PREPOSITION,RELATIONSHIP,POST_IS_SPEAK_VERB,PRE_IS_SPEAK_VERB,INSTANCE_IS_POSITION,INSTANCE_IS_COUNTRY
Watchdog,0,./data/train/002.txt,1,0,False,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
Richard,28,./data/train/002.txt,1,28,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Thomas,29,./data/train/002.txt,1,29,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Government,51,./data/train/002.txt,1,51,False,4,1,False,False,100,True,False,True,False,False,False,False,False,False,False
Thomas,66,./data/train/002.txt,1,66,False,5,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Tories,69,./data/train/002.txt,1,69,False,100,100,False,True,100,False,False,True,False,False,False,False,False,False,False
Lib,72,./data/train/002.txt,1,72,False,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Dems,73,./data/train/002.txt,1,73,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Tory,82,./data/train/002.txt,1,82,False,100,3,False,False,100,False,False,False,False,False,False,False,False,False,False
Michael,84,./data/train/002.txt,1,84,False,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
Howard,85,./data/train/002.txt,1,85,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Tony,89,./data/train/002.txt,1,89,False,1,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Blair,90,./data/train/002.txt,1,90,False,2,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Lib,103,./data/train/002.txt,1,103,False,100,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Dem,104,./data/train/002.txt,1,104,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Alan,109,./data/train/002.txt,1,109,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Beith,110,./data/train/002.txt,1,110,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Hutton,129,./data/train/002.txt,1,129,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Inquiry,130,./data/train/002.txt,1,130,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Freedom,140,./data/train/002.txt,1,140,False,100,2,False,False,100,False,False,False,False,True,False,False,False,False,False
Information,142,./data/train/002.txt,1,142,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Act,143,./data/train/002.txt,1,143,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Beith,156,./data/train/002.txt,1,156,False,4,100,False,False,100,True,False,True,False,False,False,False,False,False,False
Beith,179,./data/train/002.txt,1,179,False,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
Thomas,199,./data/train/002.txt,1,199,False,100,3,False,False,100,False,False,True,False,False,False,False,False,False,False
Act,203,./data/train/002.txt,1,203,False,100,2,False,False,100,False,False,False,False,True,False,False,False,False,False
Parliament,205,./data/train/002.txt,1,205,False,2,0,False,False,100,False,False,False,False,False,False,False,False,False,False
Thomas,268,./data/train/002.txt,1,268,False,2,2,False,False,100,False,False,True,False,False,False,False,False,False,False
Freedom,323,./data/train/002.txt,1,323,False,4,2,False,True,100,False,False,True,False,True,False,False,False,False,False
Information,325,./data/train/002.txt,1,325,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
Act,326,./data/train/002.txt,1,326,False,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
