All-Words,end,filename,n-gram,start,classtype
Labour,0,./data/train/001.txt,1,0,False
Maternity,5,./data/train/001.txt,1,5,False
Trade,23,./data/train/001.txt,1,23,False
Industry,25,./data/train/001.txt,1,25,False
Patricia,27,./data/train/001.txt,1,27,False
Hewitt,28,./data/train/001.txt,1,28,False
Hewitt,43,./data/train/001.txt,1,43,False
GMTV's,45,./data/train/001.txt,1,45,False
Tories,67,./data/train/001.txt,1,67,False
Liberal,77,./data/train/001.txt,1,77,False
Democrats,78,./data/train/001.txt,1,78,False
Hewitt,84,./data/train/001.txt,1,84,False
Parliament.,144,./data/train/001.txt,1,144,False
Shadow,240,./data/train/001.txt,1,240,False
State,243,./data/train/001.txt,1,243,False
Family,246,./data/train/001.txt,1,246,False
Theresa,247,./data/train/001.txt,1,247,False
Gordon,255,./data/train/001.txt,1,255,False
Brown,256,./data/train/001.txt,1,256,False
Tony,264,./data/train/001.txt,1,264,False
Blair,265,./data/train/001.txt,1,265,False
Conservatives,282,./data/train/001.txt,1,282,False
Election,291,./data/train/001.txt,1,291,False
Liberal,292,./data/train/001.txt,1,292,False
Democrat,293,./data/train/001.txt,1,293,False
Sandra,297,./data/train/001.txt,1,297,False
Gidley,298,./data/train/001.txt,1,298,False
Liberal,309,./data/train/001.txt,1,309,False
Democrats,310,./data/train/001.txt,1,310,False
Hewitt,342,./data/train/001.txt,1,342,False
David,356,./data/train/001.txt,1,356,False
Frost,357,./data/train/001.txt,1,357,False
Chambers,363,./data/train/001.txt,1,363,False
Commerce,365,./data/train/001.txt,1,365,False
New,420,./data/train/001.txt,1,420,False
Hewitt,0,./data/train/003.txt,1,0,True
Plans,4,./data/train/003.txt,1,4,False
Labour's,17,./data/train/003.txt,1,17,False
Trade,21,./data/train/003.txt,1,21,False
Industry,23,./data/train/003.txt,1,23,False
Patricia,27,./data/train/003.txt,1,27,False
Hewitt,28,./data/train/003.txt,1,28,False
Hewitt,52,./data/train/003.txt,1,52,False
Equal,64,./data/train/003.txt,1,64,False
Opportunities,65,./data/train/003.txt,1,65,False
Mothers,68,./data/train/003.txt,1,68,False
Hewitt,83,./data/train/003.txt,1,83,False
Clearly,87,./data/train/003.txt,1,87,False
Hewitt,147,./data/train/003.txt,1,147,False
Plans,176,./data/train/003.txt,1,176,False
Women,200,./data/train/003.txt,1,200,False
Equal,212,./data/train/003.txt,1,212,False
Opportunities,213,./data/train/003.txt,1,213,False
Career,234,./data/train/003.txt,1,234,False
Earlier,270,./data/train/003.txt,1,270,False
BBC,273,./data/train/003.txt,1,273,False
Radio,274,./data/train/003.txt,1,274,False
Today,276,./data/train/003.txt,1,276,False
Unfortunately,312,./data/train/003.txt,1,312,False
Career,333,./data/train/003.txt,1,333,False
Construction,354,./data/train/003.txt,1,354,False
Career,376,./data/train/003.txt,1,376,False
Department,422,./data/train/003.txt,1,422,False
Trade,424,./data/train/003.txt,1,424,False
Industry,426,./data/train/003.txt,1,426,False
TUC,441,./data/train/003.txt,1,441,False
Research,456,./data/train/003.txt,1,456,False
EOC,460,./data/train/003.txt,1,460,False
Britons,466,./data/train/003.txt,1,466,False
Women,484,./data/train/003.txt,1,484,False
FTSE,494,./data/train/003.txt,1,494,False
Labour,0,./data/train/004.txt,1,0,False
Manchester,2,./data/train/004.txt,1,2,False
Labour,4,./data/train/004.txt,1,4,False
Party,5,./data/train/004.txt,1,5,False
Manchester,13,./data/train/004.txt,1,13,False
Blackpool,16,./data/train/004.txt,1,16,False
Labour's,28,./data/train/004.txt,1,28,False
National,30,./data/train/004.txt,1,30,False
Executive,31,./data/train/004.txt,1,31,False
Committee,32,./data/train/004.txt,1,32,False
Manchester,57,./data/train/004.txt,1,57,False
Blackpool,63,./data/train/004.txt,1,63,False
Blackpool,91,./data/train/004.txt,1,91,False
Bournemouth,92,./data/train/004.txt,1,92,False
Brighton,94,./data/train/004.txt,1,94,False
Blackpool,108,./data/train/004.txt,1,108,False
Blackpool,129,./data/train/004.txt,1,129,False
Bournemouth,138,./data/train/004.txt,1,138,False
Brighton,151,./data/train/004.txt,1,151,False
Colin,157,./data/train/004.txt,1,157,False
Asplin,158,./data/train/004.txt,1,158,False
Blackpool,159,./data/train/004.txt,1,159,False
Hotel,160,./data/train/004.txt,1,160,False
Association,161,./data/train/004.txt,1,161,False
Blackpool,175,./data/train/004.txt,1,175,False
Obviously,176,./data/train/004.txt,1,176,False
Manchester,185,./data/train/004.txt,1,185,False
Labour,195,./data/train/004.txt,1,195,False
Party,196,./data/train/004.txt,1,196,False
Blackpool,220,./data/train/004.txt,1,220,False
Manchester,246,./data/train/004.txt,1,246,False
Crucial,0,./data/train/010.txt,1,0,False
Westminster,10,./data/train/010.txt,1,10,False
Parliament,23,./data/train/010.txt,1,23,False
Las,32,./data/train/010.txt,1,32,False
Vegas,33,./data/train/010.txt,1,33,False
Glasgow,47,./data/train/010.txt,1,47,False
Scotland,66,./data/train/010.txt,1,66,False
Executive,94,./data/train/010.txt,1,94,False
Westminster,103,./data/train/010.txt,1,103,False
Glasgow,127,./data/train/010.txt,1,127,False
Ibrox,132,./data/train/010.txt,1,132,False
Exhibition,136,./data/train/010.txt,1,136,False
Conference,138,./data/train/010.txt,1,138,False
