,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Fox,0,./data/test/.\007.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
1,Blair's,2,./data/test/.\007.txt,1,2,True,100,100,False,False,100,False,False,True,True,False,False,False,False,False,False
2,Conlon,70,./data/test/.\012.txt,1,70,True,4,100,False,False,100,False,False,False,False,False,False,False,False,False,False
3,Maguire,72,./data/test/.\012.txt,1,72,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
4,Giuseppe,281,./data/test/.\012.txt,1,281,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
5,Giuseppe,317,./data/test/.\012.txt,1,317,True,5,1,False,False,100,False,False,False,False,False,False,False,False,False,False
6,Blair,0,./data/test/.\026.txt,1,0,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
7,Kennedy,5,./data/test/.\036.txt,1,5,True,2,1,False,False,100,False,False,True,False,False,False,False,False,False,False
8,Lucy,600,./data/test/.\041.txt,1,600,True,1,1,False,False,100,False,False,True,False,False,False,False,False,False,False
9,Lucy,613,./data/test/.\041.txt,1,613,True,100,1,False,False,100,False,False,True,False,False,False,False,False,False,False
10,Sadie,619,./data/test/.\041.txt,1,619,True,3,100,False,False,100,False,False,True,False,False,False,False,False,False,False
11,Karen,202,./data/test/.\063.txt,1,202,True,1,100,False,False,100,False,False,False,False,True,False,False,False,False,False
12,Howard,0,./data/test/.\087.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
13,Brown,0,./data/test/.\095.txt,1,0,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
14,Blair,4,./data/test/.\095.txt,1,4,True,2,100,False,False,100,True,False,False,False,False,False,False,False,False,False
15,Jim,154,./data/test/.\098.txt,1,154,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
16,Michelle,349,./data/test/.\116.txt,1,349,True,4,100,False,False,100,False,False,False,False,False,False,False,False,False,False
17,Brown,0,./data/test/.\128.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
18,Straw,0,./data/test/.\136.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
19,Howard,0,./data/test/.\141.txt,1,0,True,100,1,False,False,100,False,False,False,False,False,False,False,False,False,False
20,Clarke,0,./data/test/.\153.txt,1,0,True,100,0,False,False,100,False,False,False,False,True,False,False,False,False,False
21,Brown,3,./data/test/.\158.txt,1,3,True,100,0,False,False,100,False,False,False,False,False,False,True,False,False,False
22,McConnell,0,./data/test/.\164.txt,1,0,True,100,2,False,False,100,False,False,False,False,False,False,False,False,False,False
23,Scots,2,./data/test/.\164.txt,1,2,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
24,Stephenson,272,./data/test/.\164.txt,1,272,True,100,0,False,False,100,True,False,True,False,False,False,False,False,False,False
25,Ferguson,177,./data/test/.\174.txt,1,177,True,100,2,False,False,100,False,True,False,False,False,False,False,False,False,False
26,Ferguson's,203,./data/test/.\174.txt,1,203,True,100,0,False,False,100,False,False,False,True,False,False,False,False,False,False
27,Ferguson,334,./data/test/.\174.txt,1,334,True,1,3,False,False,100,False,False,False,False,False,False,False,True,False,False
28,Ferguson,554,./data/test/.\174.txt,1,554,True,3,3,False,False,100,False,True,False,False,False,False,False,False,False,False
29,Ferguson,611,./data/test/.\174.txt,1,611,True,100,0,False,False,100,True,False,False,False,False,False,False,False,False,False
30,Ferguson,660,./data/test/.\174.txt,1,660,True,4,100,False,False,100,False,False,False,False,True,False,False,False,False,False
31,Ferguson,669,./data/test/.\174.txt,1,669,True,100,0,False,False,100,False,False,False,False,True,False,False,False,False,False
32,Blair,0,./data/test/.\186.txt,1,0,True,100,0,False,False,100,False,False,False,False,False,False,True,False,False,False
33,Jowell,0,./data/test/.\187.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
34,Musharraf's,62,./data/test/.\188.txt,1,62,True,2,1,False,False,1,False,False,True,True,False,False,False,False,False,False
35,Blair,0,./data/test/.\189.txt,1,0,True,100,3,False,False,100,False,False,False,False,False,False,False,False,False,False
36,Bush,2,./data/test/.\189.txt,1,2,True,100,1,False,False,100,False,False,False,False,True,False,False,False,False,False
37,Tories,0,./data/test/.\193.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
38,Mallon,0,./data/test/.\200.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
39,Tory,357,./data/test/.\200.txt,1,357,True,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
40,Howard,0,./data/test/.\201.txt,1,0,True,100,2,False,False,100,False,False,False,False,False,False,False,False,False,False
41,Tutu's,0,./data/test/.\205.txt,1,0,True,100,100,False,False,100,False,False,True,True,False,False,False,False,False,False
42,Tutu,322,./data/test/.\205.txt,1,322,True,100,100,False,False,1,False,False,True,False,False,False,False,False,False,False
43,Joseph,473,./data/test/.\214.txt,1,473,True,100,0,False,False,100,False,True,False,False,False,False,False,False,False,False
44,Jamieson,0,./data/test/.\219.txt,1,0,True,100,2,False,False,100,False,False,False,False,False,False,False,False,False,False
45,Clarke,0,./data/test/.\227.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
46,Woolf,0,./data/test/.\231.txt,1,0,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
47,Blunkett,0,./data/test/.\234.txt,1,0,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
48,Gordon,554,./data/test/.\261.txt,1,554,True,4,1,False,False,100,False,False,False,False,False,False,False,False,False,False
49,Morris,41,./data/test/.\267.txt,1,41,True,100,0,False,False,100,False,False,True,False,False,False,False,False,False,False
50,Morris,105,./data/test/.\267.txt,1,105,True,100,1,False,False,100,True,False,False,False,False,False,False,False,False,False
51,Frost,112,./data/test/.\271.txt,1,112,True,5,100,False,False,100,False,False,False,False,False,False,False,False,False,False
52,Kennedy,0,./data/test/.\272.txt,1,0,True,100,1,False,False,100,False,False,False,False,False,False,False,False,False,False
53,Blair,0,./data/test/.\295.txt,1,0,True,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
54,Blairs',141,./data/test/.\295.txt,1,141,True,100,100,False,False,100,False,False,False,True,False,False,False,False,False,False
55,Archer,5,./data/test/.\296.txt,1,5,True,4,3,False,False,100,False,False,True,False,False,False,False,False,False,False
56,Frost,36,./data/test/.\296.txt,1,36,True,5,2,False,False,100,False,False,False,False,False,False,False,False,False,False
57,Blair,0,./data/test/.\401.txt,1,0,True,100,1,False,False,100,False,False,False,False,False,False,False,False,False,False
58,Jennifer,514,./data/test/.\406.txt,1,514,True,100,100,False,False,100,True,False,False,False,False,False,False,False,False,False
59,John,540,./data/test/.\406.txt,1,540,True,4,100,False,False,100,True,False,False,False,False,False,False,False,False,False
60,Tony Blair,6,./data/test/.\007.txt,2,5,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
61,Liam Fox,31,./data/test/.\007.txt,2,30,True,5,0,False,False,100,False,False,False,False,False,False,False,False,False,False
62,Michael Howard,241,./data/test/.\007.txt,2,240,True,1,100,False,False,100,False,False,False,False,False,False,False,False,False,False
63,Charles Kennedy,403,./data/test/.\007.txt,2,402,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
64,Tony Blair,5,./data/test/.\012.txt,2,4,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
65,Gerry Conlon,124,./data/test/.\012.txt,2,123,True,100,2,False,False,100,False,True,True,False,False,False,False,False,False,False
66,Tony Blair,180,./data/test/.\012.txt,2,179,True,2,0,False,False,100,False,False,False,False,False,False,False,False,False,False
67,Gerry Conlon,277,./data/test/.\012.txt,2,276,True,1,100,False,False,100,True,False,True,False,False,False,False,False,False,False
68,Anne Maguire,304,./data/test/.\012.txt,2,303,True,1,100,False,False,100,False,False,False,False,False,False,False,False,False,False
69,Daniel Day-Lewis,427,./data/test/.\012.txt,2,426,True,5,100,False,False,100,False,False,False,False,False,False,False,False,False,False
70,Jack Law,32,./data/test/.\019.txt,2,31,True,2,100,False,False,100,False,False,False,False,False,False,False,False,False,False
71,Jack McConnell's,41,./data/test/.\019.txt,2,40,True,1,1,False,False,100,False,False,False,True,False,False,False,True,False,False
72,Hamish MacDonell,65,./data/test/.\019.txt,2,64,True,100,0,False,False,100,False,False,False,False,False,False,True,False,False,False
73,Nicola Sturgeon,503,./data/test/.\019.txt,2,502,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
74,Tony Blair,22,./data/test/.\026.txt,2,21,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
75,Bob Geldof,64,./data/test/.\026.txt,2,63,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
76,Bob Geldof,187,./data/test/.\026.txt,2,186,True,3,100,False,False,100,False,False,False,False,True,False,False,False,False,False
77,Richard Dodd,102,./data/test/.\032.txt,2,101,True,2,100,False,False,100,False,False,False,False,False,False,False,False,False,False
78,Michael Howard,7,./data/test/.\034.txt,2,6,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
79,Tony Blair,11,./data/test/.\034.txt,2,10,True,2,100,False,False,100,False,False,False,False,True,False,False,False,False,False
80,Gordon Brown,217,./data/test/.\034.txt,2,216,True,100,0,False,False,100,False,False,False,False,False,False,True,False,False,False
81,Tony Martin,266,./data/test/.\034.txt,2,265,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
82,Ken Macdonald,373,./data/test/.\034.txt,2,372,True,100,0,False,False,100,False,False,False,False,False,False,True,False,False,False
83,Tony Blair,7,./data/test/.\035.txt,2,6,True,1,0,False,False,100,False,False,False,False,False,False,False,False,False,False
84,Charles Kennedy,29,./data/test/.\036.txt,2,28,True,1,100,False,False,100,False,False,True,False,False,False,False,True,False,False
85,David Blunkett,2,./data/test/.\041.txt,2,1,True,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
86,David Blunkett,14,./data/test/.\041.txt,2,13,True,100,0,False,False,100,True,False,True,False,False,False,False,False,False,False
87,Beverly Hughes,140,./data/test/.\041.txt,2,139,True,100,100,False,False,100,False,False,True,False,False,False,False,False,False,False
88,Tony Blair's,498,./data/test/.\041.txt,2,497,True,100,100,False,False,100,False,False,True,True,False,False,False,False,False,False
89,David Caldwell,188,./data/test/.\047.txt,2,187,True,3,0,False,False,100,False,False,True,False,False,False,True,False,False,False
90,Alan Beith,285,./data/test/.\051.txt,2,284,True,100,0,False,False,100,False,False,False,False,False,False,True,False,False,False
91,Viktor Makarov,30,./data/test/.\053.txt,2,29,True,5,3,False,False,100,False,False,True,False,False,False,False,False,False,False
92,Oleg Gordievsky,139,./data/test/.\053.txt,2,138,True,5,100,False,False,100,False,False,False,False,False,False,False,False,False,False
93,David Kahn,211,./data/test/.\053.txt,2,210,True,3,100,False,False,100,False,False,False,False,False,False,False,False,False,False
94,Victor Makarov,261,./data/test/.\053.txt,2,260,True,4,100,False,False,100,False,False,False,False,False,False,False,False,False,False
95,Vladimir Putin,301,./data/test/.\053.txt,2,300,True,1,100,False,False,100,True,False,True,False,False,False,False,False,False,False
96,Karen Whitefield,63,./data/test/.\063.txt,2,62,True,5,1,False,False,100,False,False,True,False,False,False,False,False,False,False
97,John Hannett,159,./data/test/.\063.txt,2,158,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
98,Nick Griffin,3,./data/test/.\074.txt,2,2,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
99,Nick Griffin,33,./data/test/.\074.txt,2,32,True,1,0,False,False,100,False,False,False,False,False,False,False,True,False,False
100,John Tyndall,65,./data/test/.\074.txt,2,64,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
101,Paul Adams,204,./data/test/.\076.txt,2,203,True,5,0,False,False,100,False,False,False,False,False,False,True,False,False,False
102,Laura Brownlees,240,./data/test/.\078.txt,2,239,True,100,1,False,False,100,True,False,False,False,True,False,False,False,False,False
103,Andrew Hogg,506,./data/test/.\078.txt,2,505,True,5,100,False,False,100,False,False,True,False,False,False,False,False,False,False
104,Ivan Lewis,384,./data/test/.\080.txt,2,383,True,100,2,False,False,100,False,False,False,False,False,False,False,False,False,False
105,Phil Willis,476,./data/test/.\080.txt,2,475,True,100,100,False,False,100,False,False,False,False,False,False,False,False,False,False
106,Michael Ancram,32,./data/test/.\082.txt,2,31,True,100,0,False,False,100,False,False,False,False,False,False,True,False,False,False
107,Margaret Thatcher,179,./data/test/.\082.txt,2,178,True,4,0,False,False,100,True,False,False,False,False,False,False,False,False,False
108,Michael Howard,27,./data/test/.\087.txt,2,26,True,100,0,False,False,100,False,False,False,False,False,False,False,False,False,False
109,Tony Blair,85,./data/test/.\087.txt,2,84,True,2,0,False,False,100,False,False,False,False,False,False,True,False,False,False
110,Matthew Taylor,132,./data/test/.\087.txt,2,131,True,100,0,False,False,100,False,False,False,False,False,False,True,False,False,False
111,Franco Frattini,498,./data/test/.\087.txt,2,497,True,100,0,False,False,100,False,False,True,False,False,False,True,False,False,False
112,Maeve Sherlock,525,./data/test/.\087.txt,2,524,True,100,100,False,False,2,False,False,True,False,False,False,True,False,False,False
113,Trevor Phillips,559,./data/test/.\087.txt,2,558,True,100,0,False,False,100,False,False,False,False,False,False,True,False,False,False
