Name,Price_INR,In The Box,Model Number,Model Name,Color,Browse Type,SIM Type,Hybrid Sim Slot,Touchscreen,OTG Compatible,Display Size,Resolution,Operating System,Processor Core,Primary Clock Speed,Internal Storage,RAM,Memory Card Slot Type,Primary Camera,Network Type,Supported Networks,Battery Capacity,Warranty Summary,GPRS,Removable Battery,Video Recording,Mini USB Version,Dial Color,Flash,EDGE Features,Audio Jack,Reading Type,Width,Battery Life,Important Apps,Predictive Text Input,Usage,Number of Cores,Sensor,Processor Speed,Sweat Proof,Indicator Type,Number of Buttons,Brand,Pre-installed Browser,Mini HDMI Port,Talk Time,Call Function,Scratch Resistant,Charging Method,Email Support,Speaker Volume,Number of Contact Points,Depth,Calorie Count,WAP Version,Call Divert,Shock Resistant,Operating Range,International Warranty,Display Type,Dual Camera Lens,Sales Package,Maximum Operating Altitude,Operating Frequency,GPU,Display,Standby Time,GPS,Diameter,Supported Memory Card Type,Frame Rate,Service Type,Voice Control,Java Application,Messaging Support,Primary Camera Available,Infrared,Music Player,Quick Charging,Supported Apps,One Touch Button,warranty_summary,Wi-Fi Hotspot,Activity Tracking Function,Call Records,Dial Shape,Thickness,Music Time,Supported Audio Format,Image Editor,Video Call Support,Compatible Device,Touch Enabled,Dual Battery,Bluetooth,3G,Optical Zoom,Display Resolution,Audio Formats,Bluetooth Support,Charger Type,Touch Control,Instant Message,Alarm Clock,Material,TV Out,Audio Features,Additional Content,Strap Color,Battery Type,Sensors,Internal Memory,Altimeter,Voice Input,Activity Tracker Present,Touchscreen Type,NFC,Step Count,Care Instructions,Display Colors,Social Networking Phone,Field of View,Other Features,Charging Time,Call Wait/Hold,User Memory,Chronograph,Full HD Recording,SIM Access,Logs,Keypad,Certification,Compatible Operating System,GPRS Features,Compatible Devices,Date & Time Display,Micro USB Port,User Interface,3G Speed,Conference Call,Expandable Storage,Connectivity Range,Calendar,Size,Backlight Display,JAVA Support,Microphone,Water Resistant,Rechargeable Battery,Notification,Graphics PPI,SMS,Phone Book Memory,Speed Dialing,Expandable Memory,Operating Temperature,Keypad Type,Noise Cancellation,Bluetooth Range,Supported Languages,USB Tethering,USB Connectivity,Wifi Enabled,Water Resistance Depth,Charge Time,Hot SWAP Support,Ringtones Format,Heart Rate Monitor,Compass,Supported Video Format,Other Display Features,HD Playback,Not Covered in Warranty,Closure,Other Connectivity Features,Language,Ideal For,Video Formats,Ergonomic Design,Audio Transparency,Compatible With,Browser,FM Radio Recording,Sound Enhancements,Brand Color,Technology Used,Primary Camera Features,WAP,Wireless Options,Mobile Tracker,Weight,MMS,Height,Map Support,HD Recording,Call Log Memory,Digital Zoom,Secondary Camera,Processor Type,Bluetooth Version,Wireless Charging,Water-Resistant Depth,Third Party App Support,not_covered_in_warranty,Mini USB Port,covered_in_warranty,Video Recording Resolution,Other Multimedia Features,Speaker Phone,Wifi Version,Speaker,Function,Battery Chargeable,Dial Material,Sensor Type,Suitable For,Call Timer,Type,Covered in Warranty,Strap Material,Other Fitness Features,Bluetooth Enabled,Talk time,FM Radio,Warranty Service Type,service_type,Wireless Data Processing,SIM Size,Audio Jack Supported,Stand By Time,Secondary Camera Available,Secondary Clock Speed,Other Dimensions,Notification Type,Secondary Camera Features,Processor Name,Wi-Fi Version,Heart Rate Monitor Present,Other Battery Features,Compatible OS,Hands Free,Smartphone,Games,Upgradable Operating System,Phone Book,Operating System Supported,SMS Memory,Wi-Fi,Resolution Type,Total Memory,Gesture Control,Type of Tracking,HD Game Support,DLNA Support,Series,GPS Support,Call Features,Internet Connectivity,EDGE,Business Phone,Other Watch Functions,Other Camera Features,Micro USB Version,Video Features,Domestic Warranty
"Honor 9 Lite (Sapphire Blue, 64 GB)Â Â (4 GB RAM)","‚¹14,999","Handset, PC Cover, SIM Pin, Charging Cable, Adapter, User Manual",LLD-AL10,9 Lite,Sapphire Blue,Smartphones,Dual Sim,Yes,Yes,Yes,5.65 inch,2160 x 1080 Pixels,Android Oreo 8,Octa Core,2.36 GHz,64 GB,4 GB,Hybrid Slot,13MP + 2MP,"4G VOLTE, 3G, 2G","4G VoLTE, UMTS, GSM, WCDMA",3000 mAh,Brand Warranty of 1 Year Available for Mobile,Yes,,Yes,,,Rear Flash,"Class 12: 236.8 Kbit/s (UL), 296 Kbit/s (DL)",3.5 mm,,71.9 mm,,,,,,,,,,,,Android,,,,,,,,,7.6 mm,,,,,,,,Primary & Secondary Camera,,,"GSM: 900 / 1800, WCDMA: 900 / 2100, 4G LTE FDD - B1, B3, B5, LTE TDD - B40, B41",,,,,,microSD,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,"Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Compass, Gravity Sensor, Phone Status Indicator",,,Yes,,TFT-LCD,,,,16.7M,,,"4G LTE FDD - Cat 4: 150 Mbit/s (DL), 50 Mbit/s (UL), 4G TDD LTE - Cat 4: 110 Mbit/s (DL), 10 Mbit/s (UL), Device Control: Power Key, Volume Up Button, Volume Down Button, Charging Time: About 2.5 hrs, Power Supply - Output: 5V / 2A, SwiftKey Keyboard and Google Voice, Email - POP3 / IMAP / Exchange, Wi-Fi Direct, Software Update (HOTA (Huawei Over The Air), USB Charging",,,,,Yes,,,,,,"40 Kbit/s (UL), 60 Kbit/s (DL)",,,Yes,EMUI8.0,"HSDPA Cat 24: 42 Mbit/s (DL), HSUPA Cat 6: 5.76 Mbit/s (UL), WCDMA: 384 Kbit/s (UL), 384 Kbit/s (DL)",,256 GB,,,,,,,,,,428 PPI,Yes,,,,,,,,,Yes,Yes,,,,,,,,,Support Multi-touch Technology,,,,,,,,,,,,,Noise Reduction: Dual-microphone Noise Reduction,,,"Photo: Upto 4160 x 3120 Pixels, AF/PDAF, Wide Aperture Mode, Portrait Mode",,,,149 g,Yes,151 mm,Google Maps,Yes,,,13MP + 2MP,Kirin 659,4.2,,,,,,,1920 x 1080 Pixels,,,,,,,,,,,,,,,,,Yes,,,,Nano SIM,,,Yes,1.7 GHz,,,"Photo: Upto 4160 x 3120 Pixels, Fixed Focus, Portrait Mode, Gesture Control",,"802.11 b/g/n, 2.4 GHz",,,,,Yes,,,,,,Yes,FHD+,,,,,,,Yes,,"4G, 3G, GPRS, EDGE, Wi-Fi",Yes,,,,,,
"Moto E4 Plus (Fine Gold, 32 GB)Â Â (3 GB RAM)","‚¹9,999","Handset, 10W Rapid Charger, USB Cable, Headset",XT1770,Moto E4 Plus,Fine Gold,Smartphones,Dual Sim,No,Yes,Yes,5.5 inch,1280 x 720 Pixels,Android Nougat 7.1.1,Quad Core,1.3 GHz,32 GB,3 GB,Dedicated Slot,13MP,"4G VOLTE, 3G, 2G","4G VoLTE, 4G LTE",5000 mAh,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,No,Yes,,,Front and Rear Flash,,3.5 mm,,77.5 mm,,,,,,,,,,,,Android,,,,,,,,,9.55 mm,,,,,,,TFT LCD IPS,,,,"GSM - 850, 900, 1800, 1900 MHz; WCDMA - 850, 900, 1900, 2100 MHz; 4G LTE FDD - Band (01, 03, 05, 07, 08); LTE TDD - Band 40",,,,,,microSD,30 fps,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,"Fingerprint, Accelerometer, Ambient Light, Proximity Sensor",,,,,,,,,16 M,,,"USB Mass Storage, eMMC, 4G + 2G DSDS Support, Video Codecs Decode and Encode: 1080p, Software Features: Moto Experiences (Light) + Dolby Atmos",,,,,,,,,,,,,,Yes,,,,128 GB,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Speaker: Front Porting, 2 Microphones",,,Auto focus,,,,198 g,,155 mm,Google Maps,,Yes,Yes,5MP,MediaTek MTK6737 1.3GHz,4.2,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Nano SIM and Nano SIM,,,Yes,,,,,,802.11 b/g/n,,,,,Yes,,,Yes,,,Yes,HD,,,,,,,Yes,,"4G, 3G, Wi-Fi",,,,,,,
"Gionee P5_W (Blue, 16 GB)Â Â (1 GB RAM)","‚¹3,898","Transceiver, Earphone , Travel charger (1A), Data Cable ,User Manual, Warranty card , Protective film , transparent cover",,P5_W,Blue,Smartphones,Dual Sim,,Yes,,5 inch,1280 x 720 Pixels,Android Lollipop 5.1,Quad Core,1.3 GHz,16 GB,1 GB,Dedicated Slot,5MP,3G,"UMTS, UMTS",2000 mAh,1 Year Manufacturer Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD,,,,,,,,,,,,,,,,
"Lenovo K6 Power (Grey / Dark Grey, 32 GB)Â Â (4 GB RAM)","‚¹9,025","Handset, Charger, Wired Headset, Warranty Guide, Getting Started Guide, SIM Removal Tool",K33A42,K6 Power,Grey / Dark Grey,Smartphones,Dual Sim,Yes,Yes,Yes,5 inch,1920 x 1080,Android Marshmallow 6.0.1,Octa Core,1.4 GHz,32 GB,4 GB,Hybrid Slot,13MP,"4G VOLTE, 3G, 2G","4G LTE, 4G LTE",4000 mAh,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Yes,No,Yes,,,Single LED,,3.5 mm,,70.3 mm,,,,,,,,,,,,Android,,,,,,,,,9.3 mm,,,,,,,,,,,"GSM - Band (2 / 3 / 5 / 8); WCDMA - Band (1 / 2 / 5 /8); 4G LTE (TDD) - Band (38 / 40 / 41), LTE (FDD) - Band (1 / 3 / 5 / 7 / 8 / 20)",Adreno 505 at 450 MHz,,,,,microSD,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,,,MP3,Yes,,,,,,,,4 GB RAM,,,"Gravity, Proximity, Light, Vibrator, Gyro, Fingerprint Sensor, Use the Fingerprint Reader to Effortlessly Click Selfies",,,,,Capacitive,,,,,,,"LTE Cat 4: 150 Mbps (DL) / 50 Mbps (UL), Talk Time (4G): 33 hrs",,,,,Yes,,,,,,,,,,,HSPA+,,128 GB,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"IPS Display, 5 Point Multi-touch",,,,,,,,,,,,,"2 x Speakers, Dolby Atmos",,,PDAF,,,,145 g,,141.9 mm,Google Maps,Yes,Yes,,8MP,Qualcomm Snapdragon 430 Octa Core 1.4GHz,4.2,,,,,,,1920 x 1080,,,,,,,,,,,,,,,,,Yes,,,,Nano SIM,,,Yes,,,,Fixed Focus,,802.11 b/g/n,,,,,Yes,,,Yes,,,Yes,Full HD,,,,,,,Yes,,"4G, 3G, Wi-Fi, EDGE, GPRS",Yes,,,,,,
"Aqua JAZZ (Gold, 16 GB)Â Â (1 GB RAM)","‚¹5,399","Handset, Battery, Charger, Earphone, User Manual, Warranty Card, USB cable, Tempered Glass screen protector",S1,JAZZ,Gold,Smartphones,Dual Sim,No,Yes,Yes,5 inch,720 x 1280 Pixels,Android Nougat 7.0,Quad Core,1.25 GHz,16 GB,1 GB,Dedicated Slot,13MP,"4G VOLTE, 3G, 2G","4G VoLTE, GSM",2800 mAh,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.,Yes,Yes,Yes,,,Yes,,3.5 mm,,71.5 mm,,"Youtube, Google Maps, Google Photos, play store, Google drive, chrome",Yes,,,,,,,,,Chrome,,8 hours 20 mins,,,,,,,9.1 mm,,,Yes,,,,,,,,,ARM MALI- T720,,,,,microSD,,,,,,Yes,,Yes,,,,,Yes,,,,,,,,Yes,,,No,,Yes,,,,Yes,,,Yes,,,,,,,Li-Ion,"Accelerometer, Proximity Sensor, Light Sensor",,,Yes,,"Capacitive Touch Panel (G+F, 2 Points)",,,,16.7 M,Yes,,,,Yes,10.84,,,Dual Standby,,No,,,,,,Yes,,,Yes,128 GB,,,,,,,,,,293.7 ppi,Yes,,Yes,,,,,,All Indian regional languages,Yes,Yes,,,,,,,,,,,Damage caused due to improper handling or normal wear and tear as per Aqua warranty policy,,,,,,,,,Google Chrome,Yes,,,,"Face Beauty Mode, Night Mode, Geo-tagging",,,,151 g,Yes,144 mm,"Yes, Google Maps",Yes,Yes,Yes,5MP,,4,,,,,No,,HD,,Yes,,,,,,,,Yes,,Manufacturing Defects,,,,,Yes,Off-site Warranty,,,Micro SIM and Nano SIM,,,Yes,,,,Auto Focus/Beauty Mode/HDR/Anti Flicker,,,,,,Yes,Yes,,,,,,Yes,HD,,,,Yes,,,Yes,,4GVolte/LTE/3G,Yes,Yes,,,2,,1 Year
"VIVO V5s Perfect Selfie (Crown Gold, 64 GB)Â Â (4 GB RAM)","‚¹15,990","Handset, Earphone, User Manual, Micro USB to USB Cable, USB Power Adapter, SIM Ejector, Silicon Back Cover, Screen Guard (Applied on Screen)",1713,V5s Perfect Selfie,Crown Gold,Smartphones,Dual Sim,Yes,Yes,Yes,5.5 inch,1280 x 720 pixels,Android Nougat 7 (Update Available),Octa Core,1.5 GHz,64 GB,4 GB,Hybrid Slot,13MP,"4G VOLTE, 3G, 2G","4G LTE, 4G LTE",3000 mAh,Brand Warranty of 1 Year,,No,Yes,,,Yes,,3.5 mm,,75.5 mm,,"Hangouts, Facebook, News and Weather, Play Games, Gmail, Google Search, YouTube, Play Music, Play Movies and TV, Photos, Play Store, Vivo Cloud, WPS",,,,,,,,,,"Android, Vivo Browser and Google Chrome",,,,,,,,,7.55 mm,,,,,,,IPS,,,,"GSM - Bands (2 / 3 / 5 / 8); 3G WCDMA - Bands (1 / 5 / 8); 4G LTE (FDD) - Bands (1 / 3 / 5), 4G LTE (TDD) - Bands (40 / 41)",ARM MaIi - T860 MP2,,,,,microSD,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,,,"AMR, MIDI, OGG, FLAC, WMA, WAV, APE, MP3",Yes,,,,,,,,,,,"Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass, Gyroscope (Virtual), Fingerprint Scanner",,,,,,,,,,,,"Smart Wake, Smart Split 2.0",,,,,Yes,,,,,,,,,Yes,Funtouch OS 3.0,,,256 GB,,,,,,,,,,267 PPI,Yes,Yes,,,,,,,,,Yes,,,,,,,,,2.5D Glass and Eye Protection Mode,,,,,,,"MP4, 3GP, AVI, MKV, WEBM, WMV, ASF",,,,Yes,,"AK4376 Hi-Fi Audio Chip, SNR as High as 115 dB, Hi-Fi Music",,,"PDAF, Ultra HD, Normal, Face Beauty, Panorama, HDR, Night, PPT, Pro, Videos, Fast, Slow, Watermark, Camera Filter, Voice Capture, Touch Capture, Palm Capture,Timer",,,,154 g,,153.8 mm,Google Maps,Yes,Yes,,20MP,MediaTek MT6750 64-bit Octa Core 1.5GHz,4,,,,,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,,Micro SIM and Nano SIM,,,Yes,,,,"Face Beauty 6.0, Normal, Videos, Voice Capture, Touch Capture, Palm Capture, Timer, Gender Detection, Mirrored Selfie",,802.11 b/g/n/ac,,,,,Yes,,,Yes,,,Yes,HD,,,,,,,Yes,,"4G, 3G, Wi-Fi",,,,,,,
"Samsung Galaxy J5 Prime (Gold, 32 GB)Â Â (3 GB RAM)","‚¹11,990","Handset, Adaptor, Earphone, User Manual",SM-G570FZDGINS,Galaxy J5 Prime,Gold,Smartphones,Dual Sim,No,Yes,Yes,5 inch,1280 x 720,Android Marshmallow 6,Quad Core,1.4 GHz,32 GB,3 GB,Dedicated Slot,13MP,"4G, 3G, 2G","UMTS, UMTS",2400 mAh,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,No,Yes,,,LED,,3.5 mm,,69.5 mm,,,,,,,,,,,,Android,,,,,,,,,8.1 mm,,,,,,,TFT,,,,,ARM Mali T720 MP1,,,,,microSD,30 fps,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,"AAC, AAC+, eAAC+, MP3, AMR",Yes,,,,,,,,,,Li-Ion,"Accelerometer, Light Sensor, Proximity Sensor",,,,,Capacitive,,,,,,,Wi-Fi Speed: 2.4 GHz,,,,,Yes,Dual Standby,,,,,,,,,,HSPA+ 42.2 Mbps,,256 GB,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,"MP4, M4V, MKV, XVID Supports MPEG4",,,,,,,,,,,,,,,142.8 mm,Google Maps,Yes,Yes,,5MP,Exynos 7570 Quad Core 1.4GHz,4.1,,,,,,,1920 x 1080,,,,,,,,,,,,,,,,,,,,,Micro SIM,,,Yes,,,,,,802.11 b/g/n,,,,,Yes,,,Yes,,,Yes,HD,,,,,,,Yes,,"4G, 3G, Wi-Fi",,,,,,,
"Honor 8 Pro (Midnight Black, 128 GB)Â Â (6 GB RAM)","‚¹29,999","Handset, Charger, USB Cable, Quick Start Guide, Service Card, Sim Eject Tool, VR Lens",DUKE-L09 / DUK-L09,8 Pro,Midnight Black,Smartphones,Dual Sim,Yes,Yes,Yes,5.7 inch,2560 x 1440 Pixels,Android Nougat 7.0,Octa Core,2.4 GHz,128 GB,6 GB,Hybrid Slot,12MP + 12MP,"4G VOLTE, 3G, 2G","4G VoLTE, 4G LTE",4000 mAh,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,Yes,No,Yes,,,Rear Dual Color Temperature Flash,"Class 12: 236.8Kbit/s (UL), 236.8Kbit/s (DL)",3.5 mm,,77.5 mm,,,,,,,,,,,,Android,,16,,,,,,,6.97 mm,,,,,,,LTPS,Primary Camera,,,"GSM - 850 / 900 / 1800 / 1900 MHz; WCDMA - 1 / 2 / 5 / 8; 4G LTE (FDD) - Bands 1 / 3 / 5 / 7 / 8 / 20, LTE (TD) - Bands 38 / 40",,,,,,microSD,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,Yes,,,"MP3, MP4, 3GP, WMA, OGG, AAC, FLAC, WAV, MIDI",Yes,,,,,,,,,,,"Hall Sensor, Infrared Sensor, Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Digital Compass, Gravity Sensor, Gyroscope, Status Indicator",,,Yes,,,Yes,,,16 M,,,"Wi-Fi Direct, Certifications: BQB, Wi-Fi, CE, REACH, RoHS, 4G Voice Resolution: CSFB, USB Type C Support, Charging Duration: 1 hours 50 Minutes",,,50,,Yes,,,,,,"40 Kbit/s(UL), 60 Kbit/s(DL)",,,,EMUI5.0,,,128 GB,,,,,,,,,,515 PPI,Yes,,,,,,,,,Yes,Yes,,,,,,,,,Multi Touch Sensitive Screen,,,,,,,"3GP, MP4, WMV, RM, RMVB, ASF",,,,Yes,,"DTS Sound, Dual Microphone Noise Reduction",,,"Auto Focus, Laser Focus + Contrast Focus, Support Wide Aperture, Light Painting (Tail Light Trails, Light Graffiti, Silky Water, Star Track), Super Night Mode, Voice Activated Shooting, Slow Motion Recording",,,,184 g,Yes,157 mm,Google Maps,Yes,Yes,,8MP,Kirin 960,v4.2,,,,,,,3840 x 2160,,,,,,,,,,,,,,,,,,,,,Nano SIM,,,Yes,1.8 GHz,,,"Fixed Focus, Beauty (Perfect Selfie, Standard Beauty), Beauty Video, Panorama, HDR, Watermark, Audio Note, Ultra Snapshot, Capture Smiles, Timer, Touch to Capture",,802.11 a/b/g/n/ac,,,,,Yes,,,Yes,,,Yes,Quad HD,,,,,,,Yes,,"4G, 3G, Wi-Fi, GPRS, EDGE",Yes,,,,,,
"I Kall K-2 (Rose Gold, 8 GB)Â Â (1 GB RAM)","‚¹3,899","Handset, Battery, Earphone, Charger, User Manual",K2,K-2,Rose Gold,Smartphones,Dual Sim,No,Yes,Yes,5 inch,854 x 480$$Pixels,Android Marshmallow 6.0,Quad Core,1.3 GHz,8 GB,1 GB,Dedicated Slot,5MP,"4G VOLTE, 3G, 2G","4G VoLTE, GSM",2200 mAh,1 Year Manufacturer Warranty,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Primary & Secondary Camera,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,Micro SIM,,,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,
InFocus Hero Smart P4Â Â (Blue),‚¹606,"Handset, Battery, Travel Charger, Quick Start Guide, Warranty Card",IF 9010,Hero Smart P4,Blue,Feature Phones,Dual Sim,No,No,No,1.8 inch,240 x 320$$Pixels,,,1 MHz,32 MB,32 MB,Dedicated Slot,0.3MP,2G,"GSM, GSM",1000 mAh,1 Year,Yes,Yes,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,TFT,,,,,,,,,,Micro SD,,,,No,,Yes,,,No,,,,,,,,,,,,No,,,No,,No,No,,,,,,,,,,,,,Li-Ion,,,,,,,,,,,,,,,Yes,,,No,,,Yes,,,,,,,,,,32 GB,,,,,No,,,,,222 PPI,Yes,,,,,Alphanumeric,,,,,,,,,,mp3,,,,,,Damage and Liquid Spillage,,,,,,,,,,,,,,,,,No,,No,,,No,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,,,Manufacturing Defects Only,,,,,,1 Year Carry in Service Warranty,,,,,,No,,,,,,,,,,No,No,,,Yes,,,,,,,,,,,,,,,,,,,,1 Year
