,Unnamed: 0,3.5mm jack,Battery,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
0,0,Yes,3000,Yes,,64 GB,Hybrid Slot,,"Honor 9 Lite (Sapphire Blue, 64 GB)Â Â (4 GB RAM)",Android Oreo 8,"‚¹14,999",13MP + 2MP,2.36 GHz,Nano SIM,13MP + 2MP,"Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Compass, Gravity Sensor, Phone Status Indicator",149 g,2160 x 1080 Pixels
1,1,Yes,5000,Yes,,32 GB,Dedicated Slot,,"Moto E4 Plus (Fine Gold, 32 GB)Â Â (3 GB RAM)",Android Nougat 7.1.1,"‚¹9,999",13MP,1.3 GHz,Nano SIM and Nano SIM,5MP,"Fingerprint, Accelerometer, Ambient Light, Proximity Sensor",198 g,1280 x 720 Pixels
2,2,,2000,,,16 GB,Dedicated Slot,,"Gionee P5_W (Blue, 16 GB)Â Â (1 GB RAM)",Android Lollipop 5.1,"‚¹3,898",5MP,1.3 GHz,,,,,1280 x 720 Pixels
3,3,Yes,4000,Yes,Adreno 505 at 450 MHz,32 GB,Hybrid Slot,,"Lenovo K6 Power (Grey / Dark Grey, 32 GB)Â Â (4 GB RAM)",Android Marshmallow 6.0.1,"‚¹9,025",13MP,1.4 GHz,Nano SIM,8MP,"Gravity, Proximity, Light, Vibrator, Gyro, Fingerprint Sensor, Use the Fingerprint Reader to Effortlessly Click Selfies",145 g,1920 x 1080
4,4,Yes,2800,Yes,ARM MALI- T720,16 GB,Dedicated Slot,,"Aqua JAZZ (Gold, 16 GB)Â Â (1 GB RAM)",Android Nougat 7.0,"‚¹5,399",13MP,1.25 GHz,Micro SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Light Sensor",151 g,720 x 1280 Pixels
5,5,Yes,3000,Yes,ARM MaIi - T860 MP2,64 GB,Hybrid Slot,,"VIVO V5s Perfect Selfie (Crown Gold, 64 GB)Â Â (4 GB RAM)",Android Nougat 7 (Update Available),"‚¹15,990",13MP,1.5 GHz,Micro SIM and Nano SIM,20MP,"Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass, Gyroscope (Virtual), Fingerprint Scanner",154 g,1280 x 720 pixels
6,6,Yes,2400,Yes,ARM Mali T720 MP1,32 GB,Dedicated Slot,,"Samsung Galaxy J5 Prime (Gold, 32 GB)Â Â (3 GB RAM)",Android Marshmallow 6,"‚¹11,990",13MP,1.4 GHz,Micro SIM,5MP,"Accelerometer, Light Sensor, Proximity Sensor",,1280 x 720
7,7,Yes,4000,Yes,,128 GB,Hybrid Slot,Yes,"Honor 8 Pro (Midnight Black, 128 GB)Â Â (6 GB RAM)",Android Nougat 7.0,"‚¹29,999",12MP + 12MP,2.4 GHz,Nano SIM,8MP,"Hall Sensor, Infrared Sensor, Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Digital Compass, Gravity Sensor, Gyroscope, Status Indicator",184 g,2560 x 1440 Pixels
8,8,,2200,,,8 GB,Dedicated Slot,,"I Kall K-2 (Rose Gold, 8 GB)Â Â (1 GB RAM)",Android Marshmallow 6.0,"‚¹3,899",5MP,1.3 GHz,Micro SIM,,,,854 x 480$$Pixels
9,9,Yes,1000,,,32 MB,Dedicated Slot,,InFocus Hero Smart P4Â Â (Blue),,‚¹606,0.3MP,1 MHz,,,,,240 x 320$$Pixels
