,2G bands,3.5mm jack,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery,Battery life,Bluetooth,Bluetooth Support,Browser,Browser,Build,CPU,Camera,Card slot,Chipset,Colors,Dimensions,Display,EDGE,Expandable Storage,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Messaging,Multitouch,Music play,NFC,Name,OS,Performance,Price,Primary,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Protection,RAM,Radio,Resolution,SAR,SAR EU,SIM,SMS,Secondary,Secondary Camera Available,Secondary Camera Features,Sensors,Size,Speed,Stand-by,Status,Talk time,Technology,Type,USB,Video,WLAN,Weight,Wi-Fi Version
0,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 900 / 1900 / 2100 ,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800)","Vibration; MP3, WAV ringtones","2014, October",,,Non-removable Li-Ion 1900 mAh battery,"

Endurance rating 60h

","4.0, A2DP, EDR, LE",,HTML5,HTML5,,Quad-core 1.2 GHz Cortex-A53,,"microSD, up to 64 GB (uses SIM 2 slot)",Qualcomm MSM8916 Snapdragon 410,"Pearl White, Midnight Black, Platinum Silver, Soft Pink, Light Blue, Champagne Gold",130.1 x 65.5 x 6.9 mm (5.12 x 2.58 x 0.27 in),,Yes,,"Geo-tagging, touch focus, face detection, panorama",Yes,,"Yes, with A-GPS, GLONASS",,Adreno 306,,"16 GB, 1 GB RAM",,,"
Voice 65dB / Noise 66dB / Ring 76dB

","SMS(threaded view), MMS, Email, Push Email, IM",Yes,,Yes (LTE model only),Samsung Galaxy A3 Duos,"Android 4.4.4 (KitKat), upgradable to 5.0.2 (Lollipop)","
Basemark OS II: 556 / Basemark X: 1895",About 230 EUR,"8 MP (f/2.4, 31mm), autofocus, LED flash",,,,Corning Gorilla Glass 4,,"FM radio, recording","540 x 960 pixels, 16:9 ratio (~245 ppi density)",,0.24 W/kg (head)     0.30 W/kg (body)     ,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"5 MP (f/2.2, 23mm)",,,"Accelerometer, proximity, compass","4.5 inches, 55.8 cm2 (~65.5% screen-to-body ratio)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,"Available. Released 2014, December",,GSM / HSPA / LTE,"Super AMOLED capacitive touchscreen, 16M colors",microUSB 2.0,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",110.3 g (3.88 oz),
1,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,,,"Vibration, Polyphonic(32), MP3 ringtones","2013, September",,,Removable Li-Ion 950 mAh battery (BL-4C),,3,,No,No,,,,"microSD, up to 32 GB (dedicated slot)",,"Black, White, Red, Blue, Yellow","110.4 x 47 x 13.5 mm, 70.1 cc (4.35 x 1.85 x 0.53 in)",,No,,,No,,No,,,,4 MB RAM,,,,SMS(threaded view),,Up to 41 h,,Nokia 108 Dual SIM,,,About 30 EUR,VGA,,,,,,"Stereo FM radio, RDS",128 x 160 pixels (~114 ppi density),,1.30 W/kg (head)     0.80 W/kg (body)     ,"Dual SIM (Mini-SIM, dual stand-by)",,No,,,,"1.8 inches, 10.2 cm2 (~19.7% screen-to-body ratio)",,Up to 600 h,"Available. Released 2013, October",Up to 13 h 40 min,GSM,"TFT, 65K colors",No,320p@15fps,No,70.2 g (2.47 oz),
2,GSM 850 / 900 / 1800 / 1900 ,No,,,"Vibration; Downloadable polyphonic, MP3 ringtones","2008, May. Released 2008, October",,,Removable Li-Ion battery,,Yes,,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,No,,Black,87 x 45 x 20 mm (3.43 x 1.77 x 0.79 in),,No,,,Class 10,,No,,,,,,,,SMS,,,,Samsung M310,,,About 80 EUR,VGA,,,,,,"Stereo FM radio, RDS",128 x 160 pixels (~121 ppi density),0.65 W/kg (head)     0.36 W/kg (body)     ,0.38 W/kg (head)     ,Mini-SIM,,No,,,,"1.7 inches, 9.1 cm2 (~23.2% screen-to-body ratio)",,Up to 300 h,Discontinued,Up to 3 h,GSM,"CSTN, 65K colors",Proprietary,No,No,87 g (3.07 oz),
3,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 850 / 1900 / 1700 - W510U,,"Vibration; MP3, WAV ringtones","2014, September",,,Removable Li-Ion 2200 mAh battery,,3,,HTML5,HTML5,,Quad-core 1.2 GHz Cortex-A7,,"microSD, up to 32 GB",Qualcomm Snapdragon 200,"Neon Orange, Neon Green, Neon Yellow, White",144.8 x 69.9 x 7.8 mm (5.70 x 2.75 x 0.31 in),,Class 12,,"Geo-tagging, touch focus, face detection, HDR",Yes,,"Yes, with A-GPS",,Adreno 302,,"8 GB ROM, 1 GB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,,BLU Win HD,Microsoft Windows Phone 8.1,,About 150 EUR,"8 MP, autofocus, LED flash",,,,,,FM radio,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,,Dual SIM (Micro-SIM),,2 MP,,,"Accelerometer, proximity","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)",HSPA 42.2/5.76 Mbps,Up to 750 h,"Available. Released 2014, September",Up to 23 h (2G) / Up to 18 h (3G),GSM / HSPA,"IPS LCD capacitive touchscreen, 16M colors",microUSB 2.0,1080p@30fps,"Wi-Fi 802.11 b/g/n, hotspot",139 g (4.90 oz),
4,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,No,,,"Vibration, Polyphonic, MP3 ringtones",2011,,,Removable Li-Ion 800 mAh battery,,2,,Yes,Yes,,,,"microSD, up to 8 GB (dedicated slot)",,"Gray/Silver, Black/Silver",117 x 45 x 10 mm (4.61 x 1.77 x 0.39 in),,No,,,Yes,,No,,,,,,,,"SMS, MMS",,,,Celkon C369,,,About 30 EUR,"1.3 MP, LED flash",,,,,,Stereo FM radio,176 x 220 pixels (~128 ppi density),,,Dual SIM (Mini-SIM),,No,,,,"2.2 inches, 15.2 cm2 (~28.9% screen-to-body ratio)",,Up to 200 h,Discontinued,Up to 5 h 50 min,GSM,TFT,microUSB,Yes,No,102 g (3.60 oz),
5,GSM 900 / 1800 / 1900 ,No,,,"Vibration; Downloadable polyphonic, WMA, WAV, AAC ringtones","2005, Q1",,,"Extended battery, Li-Ion 1700 mAh",,"1.2, A2DP",,"WAP 2.0/xHTML, HTML (PocketIE)","WAP 2.0/xHTML, HTML (PocketIE)",,Intel XScale 416 MHz,,"microSD, up to 2 GB (dedicated slot)",,,113 x 48 x 20 mm (4.45 x 1.89 x 0.79 in),,No,,,Class 10,,No,,,,"3 GB (microdrive), 64 MB RAM",,,,"SMS, EMS, MMS, Email, Instant Messaging",,,,Samsung i300,Microsoft Windows Mobile 2003 SE Smartphone,,,"1.3 MP, LED flash",,,,,,No,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",,0.74 W/kg (head)     ,Mini-SIM,,No,,,,"2.0 inches, 30 x 40 mm, 12.4 cm2 (~22.8% screen-to-body ratio)",,Up to 200 h,Discontinued,Up to 7 h,GSM,"TFT, 256K colors (65K effective)",Proprietary,Yes,No,121 g (4.27 oz),
6,GSM 850 / 900 / 1800 / 1900 ,No,,,"Vibration; Downloadable polyphonic, MP3 ringtones","2007, February",,,Removable Li-Ion 880 mAh battery,,"2.0, A2DP",,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,microSD (dedicated slot),,Dark Pearl Gray,"99 x 46 x 17.5 mm, 70 cc (3.90 x 1.81 x 0.69 in)",,Class 12,,,Class 12,,No,,,,20 MB,,,,"SMS, MMS, Email, Instant Messaging",,,,Motorola W510,,,About 50 EUR,1.3 MP,,,,,,No,176 x 220 pixels (~148 ppi density),1.08 W/kg (head)     0.55 W/kg (body)     ,0.76 W/kg (head)     ,Mini-SIM,,No,,,,"1.9 inches, 11.4 cm2 (~24.9% screen-to-body ratio)",,Up to 350 h,Discontinued,Up to 7 h 30 min,GSM,"TFT, 256K colors",miniUSB 1.1,Yes,No,107 g (3.77 oz),
7,GSM 900 / 1800 ,No,,,"Vibration; Downloadable polyphonic, monophonic ringtones","2002, Q4",,,Removable Li-Ion 950 mAh battery (BLC-2),,No,,WAP 1.2.1,WAP 1.2.1,,,,No,,Xpress-on covers,"118 x 50 x 17 mm, 98 cc (4.65 x 1.97 x 0.67 in)",,No,,,Class 4,,No,,,,,,,,"SMS, MMS",,,,Nokia 3510i,,,,,,,,,,No,"96 x 65 pixels, 3:2 ratio",,0.66 W/kg (head)     ,Mini-SIM,,,,,,,,up to 13 days,Discontinued,2h 30min - 4h 30min,GSM,"CSTN, 4096 colors",,,No,106 g (3.74 oz),
8,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,HSDPA 900 / 2100 ,,"Vibration; MP3, WAV ringtones","2015, March",,,Non-removable Li-Ion 3000 mAh battery,,"4.0, A2DP",,HTML5,HTML5,,Quad-core 1.3 GHz Cortex-A7,,"microSD, up to 32 GB (dedicated slot)",Mediatek MT6582M,Gray,144 x 72.7 x 9.7 mm (5.67 x 2.86 x 0.38 in),,Yes,,Geo-tagging,Yes,,"Yes, with A-GPS",,Mali-400MP2,,"8 GB, 2 GB RAM",,,,"SMS(threaded view), MMS, Email, Push Email, IM",Yes,,,Micromax Canvas Juice 2 AQ5001,Android 5.0 (Lollipop),,About 130 EUR,"8 MP, autofocus, LED flash",,,,Corning Gorilla Glass 3,,FM radio,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",0.22 W/kg (head)     0.45 W/kg (body)     ,,"Dual SIM (Micro-SIM, dual stand-by)",,2 MP,,,"Accelerometer, proximity","5.0 inches, 68.9 cm2 (~65.8% screen-to-body ratio)",HSPA,Up to 435 h (3G),"Available. Released 2015, March",Up to 9 h (3G),GSM / HSPA,"IPS LCD capacitive touchscreen, 16M colors",microUSB 2.0,720p@15fps,"Wi-Fi 802.11 b/g/n, hotspot",170 g (6.00 oz),
9,GSM 850 / 900 / 1800 / 1900 ,No,UMTS 850 / 2100 ,,"Vibration; Downloadable polyphonic, MP3 ringtones","2007, August. Released 2007, November",,,Removable Li-Ion 850 mAh battery (BL-6P),,2,,WAP 2.0/xHTML,WAP 2.0/xHTML,,,,No,,Black,"112 x 45 x 11.3 mm, 55 cc (4.41 x 1.77 x 0.44 in)",,"Class 32, 296 kbps",,,"Class 32, 107 kbps",,No,,,,1 GB,,,"
Voice 66dB / Noise 66dB / Ring 69dB

","SMS, MMS, Email",,,,Nokia 7900 Prism,,,About 170 EUR,"2 MP, LED flash",,,,,,No,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",0.83 W/kg (head)     0.81 W/kg (body)     ,0.93 W/kg (head)     ,Mini-SIM,,No,,,,"2.0 inches, 12.4 cm2 (~24.6% screen-to-body ratio)","Yes, 384 kbps",Up to 240 h,Discontinued,Up to 3 h,GSM / UMTS,"OLED, 16M colors",microUSB,QCIF,No,101 g (3.56 oz),
