,Unnamed: 0,2G bands,3.5mm jack,3G Speed,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery Capacity,Battery life,Bluetooth Support,Bluetooth Version,Browser,Browser.1,Build,Camera,Dimensions,Display Colors,Display Size,Display Type,EDGE,Expandable Storage,FM Radio,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Memory Card Slot Type,Messaging,Multitouch,Music play,NFC,Name,Operating System,Other Display Features,Performance,Price_INR,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Protection,RAM,Resolution,SAR,SAR EU,SIM Size,SMS,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Sensors,Stand-by,Status,Supported Networks,Talk time,USB,Video,WLAN,Weight,Wi-Fi Version
0,0,,,"HSDPA Cat 24: 42 Mbit/s (DL), HSUPA Cat 6: 5.76 Mbit/s (UL), WCDMA: 384 Kbit/s (UL), 384 Kbit/s (DL)",,,,,3.5 mm,,3000 mAh,,Yes,4.2,,,,,,16.7M,5.65 inch,,,256 GB,Yes,,,"40 Kbit/s (UL), 60 Kbit/s (DL)",,Yes,,,,64 GB,"4G, 3G, GPRS, EDGE, Wi-Fi",,Hybrid Slot,,,,,Honor 9 Lite ,Android Oreo 8,Support Multi-touch Technology,,"‚¹14,999",13MP + 2MP,Yes,"Photo: Upto 4160 x 3120 Pixels, AF/PDAF, Wide Aperture Mode, Portrait Mode",2.36 GHz,Octa Core,Kirin 659,,4 GB,2160 x 1080 Pixels,,,Nano SIM,Yes,13MP + 2MP,Yes,"Photo: Upto 4160 x 3120 Pixels, Fixed Focus, Portrait Mode, Gesture Control","Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Compass, Gravity Sensor, Phone Status Indicator",,,"4G VoLTE, UMTS, GSM, WCDMA",,,,,149 g,"802.11 b/g/n, 2.4 GHz"
1,1,,,,,,,,3.5 mm,,5000 mAh,,Yes,4.2,,,,,,16 M,5.5 inch,TFT LCD IPS,,128 GB,Yes,,,,,Yes,,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Moto E4 Plus ,Android Nougat 7.1.1,,,"‚¹9,999",13MP,Yes,Auto focus,1.3 GHz,Quad Core,MediaTek MTK6737 1.3GHz,,3 GB,1280 x 720 Pixels,,,Nano SIM and Nano SIM,Yes,5MP,Yes,,"Fingerprint, Accelerometer, Ambient Light, Proximity Sensor",,,"4G VoLTE, 4G LTE",,,,,198 g,802.11 b/g/n
2,2,,,,,,,,,,2000 mAh,,,,,,,,,,5 inch,,,,,,,,,,,,,16 GB,,,Dedicated Slot,,,,,Gionee P5_W ,Android Lollipop 5.1,,,"‚¹3,898",5MP,,,1.3 GHz,Quad Core,,,1 GB,1280 x 720 Pixels,,,,,,,,,,,"UMTS, UMTS",,,,,,
3,3,,,HSPA+,,,,,3.5 mm,,4000 mAh,,Yes,4.2,,,,,,,5 inch,,,128 GB,Yes,,,,,Yes,Adreno 505 at 450 MHz,,,32 GB,"4G, 3G, Wi-Fi, EDGE, GPRS",,Hybrid Slot,,,,,Lenovo K6 Power ,Android Marshmallow 6.0.1,"IPS Display, 5 Point Multi-touch",,"‚¹9,025",13MP,Yes,PDAF,1.4 GHz,Octa Core,Qualcomm Snapdragon 430 Octa Core 1.4GHz,,4 GB,1920 x 1080,,,Nano SIM,Yes,8MP,Yes,Fixed Focus,"Gravity, Proximity, Light, Vibrator, Gyro, Fingerprint Sensor, Use the Fingerprint Reader to Effortlessly Click Selfies",,,"4G LTE, 4G LTE",,,,,145 g,802.11 b/g/n
4,4,,,,,,,,3.5 mm,,2800 mAh,,Yes,4,,,,,,16.7 M,5 inch,,,128 GB,Yes,,,,,Yes,ARM MALI- T720,Yes,,16 GB,4GVolte/LTE/3G,,Dedicated Slot,,,,,Aqua JAZZ ,Android Nougat 7.0,,,"‚¹5,399",13MP,Yes,"Face Beauty Mode, Night Mode, Geo-tagging",1.25 GHz,Quad Core,,,1 GB,720 x 1280 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,Auto Focus/Beauty Mode/HDR/Anti Flicker,"Accelerometer, Proximity Sensor, Light Sensor",,,"4G VoLTE, GSM",,,,,151 g,
5,5,,,,,,,,3.5 mm,,3000 mAh,,Yes,4,,,,,,,5.5 inch,IPS,,256 GB,,,,,,Yes,ARM MaIi - T860 MP2,,,64 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,VIVO V5s Perfect Selfie ,Android Nougat 7 (Update Available),2.5D Glass and Eye Protection Mode,,"‚¹15,990",13MP,Yes,"PDAF, Ultra HD, Normal, Face Beauty, Panorama, HDR, Night, PPT, Pro, Videos, Fast, Slow, Watermark, Camera Filter, Voice Capture, Touch Capture, Palm Capture,Timer",1.5 GHz,Octa Core,MediaTek MT6750 64-bit Octa Core 1.5GHz,,4 GB,1280 x 720 pixels,,,Micro SIM and Nano SIM,Yes,20MP,Yes,"Face Beauty 6.0, Normal, Videos, Voice Capture, Touch Capture, Palm Capture, Timer, Gender Detection, Mirrored Selfie","Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass, Gyroscope (Virtual), Fingerprint Scanner",,,"4G LTE, 4G LTE",,,,,154 g,802.11 b/g/n/ac
6,6,,,HSPA+ 42.2 Mbps,,,,,3.5 mm,,2400 mAh,,Yes,4.1,,,,,,,5 inch,TFT,,256 GB,,,,,,Yes,ARM Mali T720 MP1,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Samsung Galaxy J5 Prime ,Android Marshmallow 6,,,"‚¹11,990",13MP,Yes,,1.4 GHz,Quad Core,Exynos 7570 Quad Core 1.4GHz,,3 GB,1280 x 720,,,Micro SIM,Yes,5MP,Yes,,"Accelerometer, Light Sensor, Proximity Sensor",,,"UMTS, UMTS",,,,,,802.11 b/g/n
7,7,,,,,,,,3.5 mm,,4000 mAh,,Yes,v4.2,,,,,,16 M,5.7 inch,LTPS,,128 GB,,,,"40 Kbit/s(UL), 60 Kbit/s(DL)",,Yes,,,,128 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Hybrid Slot,,,,Yes,Honor 8 Pro ,Android Nougat 7.0,Multi Touch Sensitive Screen,,"‚¹29,999",12MP + 12MP,Yes,"Auto Focus, Laser Focus + Contrast Focus, Support Wide Aperture, Light Painting (Tail Light Trails, Light Graffiti, Silky Water, Star Track), Super Night Mode, Voice Activated Shooting, Slow Motion Recording",2.4 GHz,Octa Core,Kirin 960,,6 GB,2560 x 1440 Pixels,,,Nano SIM,Yes,8MP,Yes,"Fixed Focus, Beauty (Perfect Selfie, Standard Beauty), Beauty Video, Panorama, HDR, Watermark, Audio Note, Ultra Snapshot, Capture Smiles, Timer, Touch to Capture","Hall Sensor, Infrared Sensor, Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Digital Compass, Gravity Sensor, Gyroscope, Status Indicator",,,"4G VoLTE, 4G LTE",,,,,184 g,802.11 a/b/g/n/ac
8,8,,,,,,,,,,2200 mAh,,,,,,,,,,5 inch,,,,,,,,,,,,,8 GB,,,Dedicated Slot,,,,,I Kall K-2 ,Android Marshmallow 6.0,,,"‚¹3,899",5MP,Yes,,1.3 GHz,Quad Core,,,1 GB,854 x 480$$Pixels,,,Micro SIM,Yes,,Yes,,,,,"4G VoLTE, GSM",,,,,,
9,9,,,,,,,,3.5 mm,,1000 mAh,,,,,,,,,,1.8 inch,TFT,,32 GB,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,InFocus Hero Smart P4,,,,‚¹606,0.3MP,Yes,,1 MHz,,,,32 MB,240 x 320$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
10,10,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K31 with Flash Light,,,,‚¹599,0.3MP,Yes,,,,,,32 MB,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
11,11,,,,,,,,,,850 mAh,,,,,,,,,65K,1.77 inch,TFT,,,,,,,,,,No,,32 MB,,,Dedicated Slot,,,,,Kechaoda K66 Plus,1,,,‚¹901,.3MP,,,1 MHz,,,,32 MB,320*240,,,Micro,Yes,,,,,,,GSM,,,,,.10 g,
12,12,,,,,,,,,,800 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,1 MB,,,Dedicated Slot,,,,,Iball CR2,,,,‚¹799,0.3MP,,,,,,,,160 x 240 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
13,13,,,,,,,,,,1000 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,34.5 KB,,,Dedicated Slot,,,,,Intex Eco Music,,,,‚¹799,0.8MP,,,1 MHz,,,,100 MB,128 x 160$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
14,14,,,,,,,,,,2500 mAh,,,,,,,,,,5 inch,,,,,,,,,,,,,16 GB,,,Hybrid Slot,,,,,Coolpad Note 5 Lite ,Android Marshmallow 6.0,,,"‚¹7,900",13MP,,,1.2 GHz,Quad Core,qualcomm 0 Quad Core 1.2GHz,,3 GB,720 x 1280 Pixels,,,,,,,,,,,"4G LTE, GSM",,,,,,
15,15,,,HSPA+,,,,,3.5 mm,,2900 mAh,,Yes,4.2,,,,,,,5.2 inch,Triluminos,,256 GB,,,,,,Yes,,,,64 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Hybrid Slot,,,,Yes,Sony Xperia XZs ,Android Nougat 7,"X-Reality for Mobile Picture Engine, Dynamic Contrast Enhancer, sRGB 138%, Corning Gorilla Glass",,"‚¹41,990",19MP,Yes,"Slow Motion Camera, Motion Eye Camera, 1/2.3 inch Exmor RS for Mobile Memory Stacked Sensor, Pixel Pitch 1.22 micrometer, Triple Image Sensing Technology, Predictive Hybrid Autofocus, Predictive Capture, 0.5 sec Quick Launch and Capture, Anti-distortion Shutter, Low-light Photo: ISO12800/4000 (Video), HDR Photo, 25 mm Wide G Lens F2.0, BIONZ for Mobile Image-processing Engine, SteadyShot with Intelligent Active Mode (5-axis stablization)",2.2 GHz,Quad Core,Qualcomm Snapdragon 820 64-bit,,4 GB,1920 x 1080 pixels,,,Nano SIM,Yes,13MP,Yes,"Wide Angle Selfie Camera, 1/3.06 inch Exmor RS for Mobile Image Sensor, 22 mm Wide-angle Lens F2.0, ISO 6400 (Photo) / 1600 (Video), SteadyShot with Intelligent Active Mode (5-axis Stablization)",Fingerprint Sensor,,,"4G LTE, 4G LTE",,,,,161 g,
16,16,,,,,,,,3.5 mm,,800 mAh,,Yes,,,,,,,262 K,1.8 inch,,,32 GB,Yes,,,,,,,,,32 MB,GPRS,,Dedicated Slot,,,,,Intex Eco Sports+,,,,‚¹728,0.08MP,Yes,,,,,,,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,72 g,
17,17,,,,,,,,3.5 mm,,3000 mAh,,Yes,4,,,,,,,5.2 inch,IPS,,128 GB,Yes,,,Class 12,,Yes,Adreno 510 @550 MHz,,,32 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Hybrid Slot,,,,,LYF Water F1S ,Android Marshmallow 6,"Screen Protection: Corning Concore Glass 3, Screen Mirroring, Pixel Density: (W) 0.020 mm (H) 0.060 mm",,"‚¹20,249",16MP,Yes,"Auto Frame Rate, Red Eye Reduction, Continuous Auto Focus, Video HDR Supported in Code Chroma Flash, OptiZoom, UbiFocus (MultiFocus), LLV, LLP, EIS",1.8 GHz,Octa Core,Qualcomm Snapdragon 652 Octa Core 1.8GHz,,3 GB,1920 x 1080 pixels,,,Nano SIM and Nano SIM,Yes,5MP,Yes,Fixed Focus,"Accelerometer, Proximity Sensor, Gyroscope, E-Compass, Ambient Light Sensor, Hall Sensor",,,"4G LTE, 4G LTE",,,,,146 g,802.11 b/g/n/a/ac
18,18,,,,,,,,3.5 mm,,1800 mAh,,Yes,,,,,,,,2.4 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K35,,,,‚¹799,0.3MP,Yes,,,,,,32 MB,240 x 320 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
19,19,,,,,,,,,,900 mAh,,,,,,,,,,3 inch,,,,,,,,,,,Yes,,4 MB,,,,,,,,Nokia 1110I,,,,‚¹980,0MP,,,1 MHz,,,,4 MB,128 x 160$$Pixels,,,,Yes,,,,,,,GSM,,,,,,
20,20,,,,,,,,3.5 mm,,1000 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,I Kall K3310 Combo Of Two Mobile,,,,"‚¹1,199",0.3MP,Yes,,,,,,32 MB,128 x 160 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
