,ID,3.5mm jack,Battery,Clock Speed,Card slot,GPS Support,GPU,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight,ID,3.5mm jack,Battery,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
0,93.0,Yes,3000.0,Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB",Yes,Adreno 506,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM",Yes,Motorola Moto G5S Plus,"Android 7.1 (Nougat), planned upgrade to Android 8.0 (Oreo)",About 210 EUR,"Dual: 13 MP, f/2.0, autofocus, dual-LED dual-tone flash, check quality","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","8 MP, f/2.0, LED flash","Fingerprint (front-mounted), accelerometer, gyro, proximity",168 g (5.93 oz),1,Yes,5000.0,Yes,,32 GB,Dedicated Slot,,Moto E4 Plus ,Android Nougat 7.1.1,"‚¹9,999",13MP,1.3 GHz,Nano SIM and Nano SIM,5MP,"Fingerprint, Accelerometer, Ambient Light, Proximity Sensor",198 g,1280 x 720 Pixels
1,104.0,Yes,2800.0,Octa-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Mali-T720MP3,"16 GB, 2 GB RAM - Desire 72816 GB, 1.5 GB RAM - Desire 728G",,HTC Desire 728 dual sim,Android 5.1.1 (Lollipop),About 240 EUR,"13 MP (f/2.2, 28mm), autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~267 ppi density)","Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/2.8, 34mm), 1080p@30fps","Accelerometer, proximity, compass",153 g (5.40 oz),21,Yes,3000.0,Yes,,16 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7.0,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
2,272.0,Yes,3600.0,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),"microSD, up to 256 GB (dedicated slot)",Yes,Adreno 530,"32 GB, 4 GB RAM",Yes,Samsung Galaxy S7 edge ,Android 6.0 (Marshmallow),About 370 EUR,"12 MP (f/1.7, 26mm, 1/2.5"", 1.4 Ã‚Âµm, Dual Pixel PDAF), phase detection autofocus, OIS, LED flash","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Nano-SIM,"5 MP (f/1.7, 22mm, 1/4.1"", 1.34 Ã‚Âµm), dual video call, Auto HDR","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",157 g (5.54 oz),22,Yes,2500.0,Yes,Mali - T720 MP1,16 GB,Dedicated Slot,,Micromax Bharat 4 ,Android Nougat 7,"‚¹4,999",5MP,1.3 GHz,Micro SIM and Micro SIM,5MP,"Gravity Sensors, Proximity Sensor (By SW)",150 g,1280 x 720 Pixels
3,296.0,Yes,5000.0,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB (uses SIM 2 slot)",Yes,Mali-T720,"16 GB, 1 GB RAM",,Micromax Bharat 5,Android 7.0 (Nougat),About 5700 INR,"5 MP, LED flash","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5 MP, LED flash",Accelerometer,170 g (6.00 oz),53,Yes,3000.0,Yes,,16 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
4,392.0,Yes,2000.0,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)",Yes,Mali-T720,"8 GB, 1 GB RAM",No,Samsung Galaxy J2 ,Android 7.0 (Nougat),About 120 EUR,"5 MP, f/2.2, autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~234 ppi density)","Dual SIM (Micro-SIM, dual stand-by)","2 MP, f/2.2","Accelerometer, proximity",130 g (4.59 oz),60,,4000.0,,,8 GB,,,Micromax JUICE 3 ,Android Lollipop V5.1,"‚¹7,999",8MP,1.3 GHz,,,,,1280 x 720 Pixels
5,462.0,Yes,2000.0,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Mali-400MP2,"8 GB, 2 GB RAM",,Micromax Canvas Amaze Q395,Android 5.0 (Lollipop),,"13 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",5 MP,"Accelerometer, gyro, proximity, compass",-,77,,2000.0,,,8 GB,,,Micromax Canvas Amaze ,Android Lollipop 5.1,"‚¹6,990",13MP,1.3 GHz,,,,,1280 x 720 Pixels
6,492.0,No,3000.0,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),"microSD, up to 256 GB (uses SIM 2 slot)",Yes,Adreno 530,"64/128 GB, 4 GB RAM",Yes,HTC U Ultra,"Android 7.0 (Nougat), upgradable to Android 8.0 (Oreo)",About 310 EUR,"12 MP (f/1.8, 26mm, 1/2.3"", 1.55 Ã‚Âµm), OIS, phase detection & laser autofocus, dual-LED dual-tone flash, check quality","1440 x 2560 pixels, 16:9 ratio (~513 ppi density)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","16 MP, 1080p, Auto-HDR","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",170 g (6.00 oz),80,Yes,2600.0,Yes,ARM Mali-T720 MP1,8 GB,Dedicated Slot,,Samsung Galaxy On5 ,Android Marshmallow 6.0.1,"‚¹6,990",8MP,1.3 GHz,Micro SIM,5MP,"Accelerometer, Proximity Sensor",149 g,1280 x 720 Pixels
7,529.0,Yes,5000.0,Quad-core 1.3 GHz Cortex-A53,"microSD, up to 64 GB (uses SIM 2 slot)",Yes,Mali-T720,"16 GB, 2 GB RAM",,Micromax Bharat 5 Plus,Android 7.0 (Nougat),About 7200 INR,"8 MP, LED flash","720 x 1280 pixels, 16:9 ratio (~282 ppi density)","Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5 MP, LED flash",Accelerometer,170 g (6.00 oz),81,Yes,3600.0,,,32 GB,,Yes,Samsung Galaxy S7 Edge ,Android Marshmallow 6,"‚¹35,900",12MP,2.3 GHz,Nano SIM,5MP,"Accelerometer, Barometer, Fingerprint Sensor, Gyro Sensor, Geo-magnetic Sensor, Hall Sensor, HR Sensor, Proximity Sensor, RGB Light Sensor",157 g,2560 X 1440 Pixels
8,532.0,Yes,3600.0,"Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo) - G9350Octa-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53) - G935FD, G935F, G935W8","microSD, up to 256 GB (uses SIM 2 slot) - dual SIM model only",Yes,"Adreno 530 - G9350Mali-T880 MP12 - G935FD, G935F, G935W8","32/64/128 GB, 4 GB RAM",Yes,Samsung Galaxy S7 edge,"Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat)",About 450 EUR,"12 MP (f/1.7, 26mm, 1/2.5"", 1.4 Ã‚Âµm, Dual Pixel PDAF), phase detection autofocus, OIS, LED flash, check quality","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)","Single SIM (Nano-SIM) - G935F, G935W8Hybrid Dual SIM (Nano-SIM, dual stand-by) - G935FD","5 MP (f/1.7, 22mm, 1/4.1"", 1.34 Ã‚Âµm), dual video call, Auto HDR","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",157 g (5.54 oz),123,,1300.0,,,4 GB,Dedicated Slot,,Micromax Bharat 2 ,Android Marshmallow 6,"‚¹3,099",2MP,1.3 GHz,,0.3MP,,,480 x 800 Pixels
9,602.0,Yes,1800.0,Quad-core 1.1 GHz,"microSD, up to 32 GB",Yes,,"8 GB, 1 GB RAM",,Micromax Spark Vdeo Q415,Android 6.0 (Marshmallow),About 60 EUR,"5 MP, LED flash","480 x 854 pixels, 16:9 ratio (~218 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",2 MP,Accelerometer,140 g (4.94 oz),125,Yes,3000.0,Yes,,32 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
10,705.0,Yes,2800.0,Octa-core 1.5 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",Yes,Mali-T720MP3,"16 GB, 2 GB RAM",,HTC Desire 828 dual sim,Android 5.1 (Lollipop),About 250 EUR,"13 MP, f/2.2, autofocus, OIS, LED flash","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Dual SIM (Nano-SIM, dual stand-by)","4 MP (f/2.0, 27mm, 1/3"", 2 Ã‚Âµm), 1080p@30fps, HDR","Accelerometer, proximity, compass",-,133,,3000.0,,650 MHz Adreno 506,64 GB,Hybrid Slot,,Moto G5s Plus ,Android Nougat 7.1,"‚¹14,380",13MP + 13MP,2 GHz,Dual Nano SIM,8MP,"Fingerprint Reader, Accelerometer, Gyroscope, Ambient Light, Proximity",,1920 x 1080 Pixels
