,ltable_ID,rtable_ID
0,2124,1
1,1926,1
19,1084,21
26,1326,22
48,1084,53
55,2680,60
56,1474,60
59,462,77
60,2108,80
61,2710,80
64,532,81
70,272,81
73,920,123
74,3025,123
80,1084,125
87,93,133
88,2390,134
102,3127,134
121,1084,147
129,1625,162
142,1392,165
147,2885,171
148,2072,179
153,1084,184
161,920,205
162,3025,205
167,2292,231
191,2885,235
196,1084,238
203,93,239
223,1136,243
229,1289,243
240,1625,292
247,2470,305
248,2710,305
261,3241,305
292,1184,343
301,2044,343
307,1084,345
325,3224,349
333,2274,358
336,865,358
344,1782,358
346,1326,373
347,2885,374
359,3224,387
366,1625,399
379,3224,447
389,1084,450
407,3224,454
424,3224,455
441,3224,458
458,3224,465
468,1084,468
480,104,486
503,1084,497
532,1561,532
554,1136,550
560,1289,550
581,3224,552
598,3224,556
615,3224,560
632,3224,561
642,1084,563
665,3224,570
682,3224,571
692,1084,573
711,3224,579
728,3224,587
734,1326,592
736,2124,603
737,1926,603
757,1136,607
763,1289,607
792,1136,611
798,1289,611
827,1136,612
833,1289,612
862,1136,616
868,1289,616
897,1136,617
903,1289,617
917,1084,621
928,1084,627
936,2695,629
956,1136,631
962,1289,631
972,1106,636
975,2600,665
996,1136,666
1002,1289,666
1031,1136,677
1037,1289,677
1058,3224,717
1076,3224,748
1082,2594,749
1084,2241,755
1089,2600,766
1093,462,781
1097,2038,830
1100,462,835
1115,3224,889
1132,3224,890
1156,915,921
1157,2680,936
1158,1474,936
1180,1136,970
1186,1289,970
1215,1136,972
1221,1289,972
1250,1136,977
1256,1289,977
1285,1136,981
1291,1289,981
1320,1136,982
1326,1289,982
1355,1136,996
1361,1289,996
1390,1136,997
1396,1289,997
1432,104,1010
1469,1136,1012
1475,1289,1012
1496,3224,1028
1513,3224,1041
1521,532,1052
1527,272,1052
1534,492,1066
1553,2831,1077
1574,1136,1129
1609,1136,1131
1644,1136,1136
1679,1136,1137
1714,1136,1141
1749,1136,1142
1813,1136,1156
1848,1136,1157
1906,1136,1161
1922,392,1163
1927,1932,1163
1947,1136,1181
1982,1136,1192
2003,865,1229
2039,1392,1267
2056,3224,1285
2062,2139,1287
2085,1136,1291
2120,1136,1296
2155,1136,1297
2190,1136,1301
2206,392,1308
2211,1932,1308
2231,1136,1312
2266,1136,1361
2301,1136,1366
2317,2139,1386
2318,602,1398
2319,2666,1404
2326,2534,1407
2327,529,1418
2329,296,1418
2353,1136,1446
2388,1136,1447
2408,1084,1451
2434,1136,1452
2469,1136,1456
2504,1136,1457
2520,2139,1460
2540,1184,1464
2549,2044,1464
2570,1136,1470
2605,1136,1471
2630,705,1473
2645,3175,1474
2674,1136,1476
2709,1136,1485
2763,1136,1496
2798,1136,1521
