ID,3.5mm jack,Battery,Clock Speed,Card slot,GPS Support,GPU,Internal Storage,NFC,Name,OS,Price,Primary Camera,Resolution,SIM,Secondary Camera,Sensors,Weight
0,Yes,1900,Quad-core 1.2 GHz Cortex-A53,"microSD, up to 64 GB (uses SIM 2 slot)",Yes,Adreno 306,"16 GB, 1 GB RAM",Yes,Samsung Galaxy A3 Duos,"Android 4.4.4 (KitKat), upgradable to 5.0.2 (Lollipop)",About 230 EUR,"8 MP (f/2.4, 31mm), autofocus, LED flash","540 x 960 pixels, 16:9 ratio (~245 ppi density)","Hybrid Dual SIM (Nano-SIM, dual stand-by)","5 MP (f/2.2, 23mm)","Accelerometer, proximity, compass",110.3 g (3.88 oz)
1,Yes,950,,"microSD, up to 32 GB (dedicated slot)",No,,4 MB RAM,,Nokia 108 Dual SIM,,About 30 EUR,VGA,128 x 160 pixels (~114 ppi density),"Dual SIM (Mini-SIM, dual stand-by)",No,,70.2 g (2.47 oz)
2,No,,,No,No,,,,Samsung M310,,About 80 EUR,VGA,128 x 160 pixels (~121 ppi density),Mini-SIM,No,,87 g (3.07 oz)
3,Yes,2200,Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB",Yes,Adreno 302,"8 GB ROM, 1 GB RAM",,BLU Win HD,Microsoft Windows Phone 8.1,About 150 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Dual SIM (Micro-SIM),2 MP,"Accelerometer, proximity",139 g (4.90 oz)
4,No,800,,"microSD, up to 8 GB (dedicated slot)",No,,,,Celkon C369,,About 30 EUR,"1.3 MP, LED flash",176 x 220 pixels (~128 ppi density),Dual SIM (Mini-SIM),No,,102 g (3.60 oz)
5,No,1700,Intel XScale 416 MHz,"microSD, up to 2 GB (dedicated slot)",No,,"3 GB (microdrive), 64 MB RAM",,Samsung i300,Microsoft Windows Mobile 2003 SE Smartphone,,"1.3 MP, LED flash","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,121 g (4.27 oz)
6,No,880,,microSD (dedicated slot),No,,20 MB,,Motorola W510,,About 50 EUR,1.3 MP,176 x 220 pixels (~148 ppi density),Mini-SIM,No,,107 g (3.77 oz)
7,No,950,,No,No,,,,Nokia 3510i,,,,"96 x 65 pixels, 3:2 ratio",Mini-SIM,,,106 g (3.74 oz)
8,Yes,3000,Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",Yes,Mali-400MP2,"8 GB, 2 GB RAM",,Micromax Canvas Juice 2 AQ5001,Android 5.0 (Lollipop),About 130 EUR,"8 MP, autofocus, LED flash","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Dual SIM (Micro-SIM, dual stand-by)",2 MP,"Accelerometer, proximity",170 g (6.00 oz)
9,No,850,,No,No,,1 GB,,Nokia 7900 Prism,,About 170 EUR,"2 MP, LED flash","240 x 320 pixels, 4:3 ratio (~200 ppi density)",Mini-SIM,No,,101 g (3.56 oz)
10,Yes,1000,,"microSD, up to 32 GB (dedicated slot)",No,,,,Samsung Trender,,About 70 EUR,1.3 MP,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",Mini-SIM,No,Accelerometer,113 g (3.99 oz)
11,No,650,,No,No,,,,alcatel OT-216,,,VGA,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Mini-SIM,No,,60 g (2.12 oz)
12,No,750,,"microSD, up to 2 GB (dedicated slot)",No,,2 MB,,alcatel OT-C700A,,,VGA,128 x 160 pixels (~114 ppi density),Mini-SIM,No,,83 g (2.93 oz)
13,Yes,1500,1.0 GHz,"microSD, up to 32 GB (dedicated slot)",Yes,,1 GB,,Samsung Galaxy Proclaim S720C,Android 2.3 (Gingerbread),About 80 EUR,3.15 MP,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Mini-SIM,No,Accelerometer,114.9 g (4.02 oz)
14,No,1200,,No,No,,,,alcatel OT Easy HF,,,,2 x 12 chars,Mini-SIM,,,160 g (5.64 oz)
