All-Words,end,filename,n-gram,start
Hewitt,0,./cleanfiles/003.txt,1,0
decries,1,./cleanfiles/003.txt,1,1
'career,2,./cleanfiles/003.txt,1,2
sexism',3,./cleanfiles/003.txt,1,3
Plans,4,./cleanfiles/003.txt,1,4
to,5,./cleanfiles/003.txt,1,5
extend,6,./cleanfiles/003.txt,1,6
paid,7,./cleanfiles/003.txt,1,7
maternity,8,./cleanfiles/003.txt,1,8
leave,9,./cleanfiles/003.txt,1,9
beyond,10,./cleanfiles/003.txt,1,10
six,11,./cleanfiles/003.txt,1,11
months,12,./cleanfiles/003.txt,1,12
should,13,./cleanfiles/003.txt,1,13
be,14,./cleanfiles/003.txt,1,14
prominent,15,./cleanfiles/003.txt,1,15
in,16,./cleanfiles/003.txt,1,16
Labour's,17,./cleanfiles/003.txt,1,17
election,18,./cleanfiles/003.txt,1,18
"manifesto,",19,./cleanfiles/003.txt,1,19
the,20,./cleanfiles/003.txt,1,20
Trade,21,./cleanfiles/003.txt,1,21
and,22,./cleanfiles/003.txt,1,22
Industry,23,./cleanfiles/003.txt,1,23
Secretary,24,./cleanfiles/003.txt,1,24
has,25,./cleanfiles/003.txt,1,25
said.,26,./cleanfiles/003.txt,1,26
Patricia,27,./cleanfiles/003.txt,1,27
Hewitt,28,./cleanfiles/003.txt,1,28
said,29,./cleanfiles/003.txt,1,29
the,30,./cleanfiles/003.txt,1,30
cost,31,./cleanfiles/003.txt,1,31
of,32,./cleanfiles/003.txt,1,32
the,33,./cleanfiles/003.txt,1,33
proposals,34,./cleanfiles/003.txt,1,34
was,35,./cleanfiles/003.txt,1,35
being,36,./cleanfiles/003.txt,1,36
"evaluated,",37,./cleanfiles/003.txt,1,37
but,38,./cleanfiles/003.txt,1,38
it,39,./cleanfiles/003.txt,1,39
was,40,./cleanfiles/003.txt,1,40
an,41,./cleanfiles/003.txt,1,41
"""increasingly",42,./cleanfiles/003.txt,1,42
high,43,./cleanfiles/003.txt,1,43
"priority""",44,./cleanfiles/003.txt,1,44
and,45,./cleanfiles/003.txt,1,45
a,46,./cleanfiles/003.txt,1,46
"""shared",47,./cleanfiles/003.txt,1,47
goal,48,./cleanfiles/003.txt,1,48
across,49,./cleanfiles/003.txt,1,49
"government"".",50,./cleanfiles/003.txt,1,50
Ms,51,./cleanfiles/003.txt,1,51
Hewitt,52,./cleanfiles/003.txt,1,52
was,53,./cleanfiles/003.txt,1,53
speaking,54,./cleanfiles/003.txt,1,54
at,55,./cleanfiles/003.txt,1,55
a,56,./cleanfiles/003.txt,1,56
gender,57,./cleanfiles/003.txt,1,57
and,58,./cleanfiles/003.txt,1,58
productivity,59,./cleanfiles/003.txt,1,59
seminar,60,./cleanfiles/003.txt,1,60
organised,61,./cleanfiles/003.txt,1,61
by,62,./cleanfiles/003.txt,1,62
the,63,./cleanfiles/003.txt,1,63
Equal,64,./cleanfiles/003.txt,1,64
Opportunities,65,./cleanfiles/003.txt,1,65
Commission,66,./cleanfiles/003.txt,1,66
(EOC).,67,./cleanfiles/003.txt,1,67
Mothers,68,./cleanfiles/003.txt,1,68
can,69,./cleanfiles/003.txt,1,69
currently,70,./cleanfiles/003.txt,1,70
take,71,./cleanfiles/003.txt,1,71
up,72,./cleanfiles/003.txt,1,72
to,73,./cleanfiles/003.txt,1,73
six,74,./cleanfiles/003.txt,1,74
months',75,./cleanfiles/003.txt,1,75
paid,76,./cleanfiles/003.txt,1,76
leave,77,./cleanfiles/003.txt,1,77
-,78,./cleanfiles/003.txt,1,78
and,79,./cleanfiles/003.txt,1,79
six,80,./cleanfiles/003.txt,1,80
unpaid.,81,./cleanfiles/003.txt,1,81
Ms,82,./cleanfiles/003.txt,1,82
