All-Words,end,filename,n-gram,start
<n>Hewitt</n>,0,./markedupfiles/003.txt,1,0
decries,1,./markedupfiles/003.txt,1,1
'career,2,./markedupfiles/003.txt,1,2
sexism',3,./markedupfiles/003.txt,1,3
Plans,4,./markedupfiles/003.txt,1,4
to,5,./markedupfiles/003.txt,1,5
extend,6,./markedupfiles/003.txt,1,6
paid,7,./markedupfiles/003.txt,1,7
maternity,8,./markedupfiles/003.txt,1,8
leave,9,./markedupfiles/003.txt,1,9
beyond,10,./markedupfiles/003.txt,1,10
six,11,./markedupfiles/003.txt,1,11
months,12,./markedupfiles/003.txt,1,12
should,13,./markedupfiles/003.txt,1,13
be,14,./markedupfiles/003.txt,1,14
prominent,15,./markedupfiles/003.txt,1,15
in,16,./markedupfiles/003.txt,1,16
Labour's,17,./markedupfiles/003.txt,1,17
election,18,./markedupfiles/003.txt,1,18
manifesto,19,./markedupfiles/003.txt,1,19
the,20,./markedupfiles/003.txt,1,20
Trade,21,./markedupfiles/003.txt,1,21
and,22,./markedupfiles/003.txt,1,22
Industry,23,./markedupfiles/003.txt,1,23
Secretary,24,./markedupfiles/003.txt,1,24
has,25,./markedupfiles/003.txt,1,25
said.,26,./markedupfiles/003.txt,1,26
<n>Patricia,27,./markedupfiles/003.txt,1,27
Hewitt</n>,28,./markedupfiles/003.txt,1,28
said,29,./markedupfiles/003.txt,1,29
the,30,./markedupfiles/003.txt,1,30
cost,31,./markedupfiles/003.txt,1,31
of,32,./markedupfiles/003.txt,1,32
the,33,./markedupfiles/003.txt,1,33
proposals,34,./markedupfiles/003.txt,1,34
was,35,./markedupfiles/003.txt,1,35
being,36,./markedupfiles/003.txt,1,36
evaluated,37,./markedupfiles/003.txt,1,37
but,38,./markedupfiles/003.txt,1,38
it,39,./markedupfiles/003.txt,1,39
was,40,./markedupfiles/003.txt,1,40
an,41,./markedupfiles/003.txt,1,41
"""increasingly",42,./markedupfiles/003.txt,1,42
high,43,./markedupfiles/003.txt,1,43
"priority""",44,./markedupfiles/003.txt,1,44
and,45,./markedupfiles/003.txt,1,45
a,46,./markedupfiles/003.txt,1,46
"""shared",47,./markedupfiles/003.txt,1,47
goal,48,./markedupfiles/003.txt,1,48
across,49,./markedupfiles/003.txt,1,49
