All-Words,end,filename,n-gram,start,classtype
Hewitt,0,./cleanfiles/003.txt,1,0,True
decries,1,./cleanfiles/003.txt,1,1,False
'career,2,./cleanfiles/003.txt,1,2,False
sexism',3,./cleanfiles/003.txt,1,3,False
Plans,4,./cleanfiles/003.txt,1,4,False
to,5,./cleanfiles/003.txt,1,5,False
extend,6,./cleanfiles/003.txt,1,6,False
paid,7,./cleanfiles/003.txt,1,7,False
maternity,8,./cleanfiles/003.txt,1,8,False
leave,9,./cleanfiles/003.txt,1,9,False
beyond,10,./cleanfiles/003.txt,1,10,False
six,11,./cleanfiles/003.txt,1,11,False
months,12,./cleanfiles/003.txt,1,12,False
should,13,./cleanfiles/003.txt,1,13,False
be,14,./cleanfiles/003.txt,1,14,False
prominent,15,./cleanfiles/003.txt,1,15,False
in,16,./cleanfiles/003.txt,1,16,False
Labour's,17,./cleanfiles/003.txt,1,17,False
election,18,./cleanfiles/003.txt,1,18,False
"manifesto,",19,./cleanfiles/003.txt,1,19,False
the,20,./cleanfiles/003.txt,1,20,False
Trade,21,./cleanfiles/003.txt,1,21,False
and,22,./cleanfiles/003.txt,1,22,False
Industry,23,./cleanfiles/003.txt,1,23,False
Secretary,24,./cleanfiles/003.txt,1,24,False
has,25,./cleanfiles/003.txt,1,25,False
said.,26,./cleanfiles/003.txt,1,26,False
Patricia,27,./cleanfiles/003.txt,1,27,False
Hewitt,28,./cleanfiles/003.txt,1,28,True
said,29,./cleanfiles/003.txt,1,29,False
the,30,./cleanfiles/003.txt,1,30,False
cost,31,./cleanfiles/003.txt,1,31,False
of,32,./cleanfiles/003.txt,1,32,False
the,33,./cleanfiles/003.txt,1,33,False
proposals,34,./cleanfiles/003.txt,1,34,False
was,35,./cleanfiles/003.txt,1,35,False
being,36,./cleanfiles/003.txt,1,36,False
"evaluated,",37,./cleanfiles/003.txt,1,37,False
but,38,./cleanfiles/003.txt,1,38,False
it,39,./cleanfiles/003.txt,1,39,False
was,40,./cleanfiles/003.txt,1,40,False
an,41,./cleanfiles/003.txt,1,41,False
"""increasingly",42,./cleanfiles/003.txt,1,42,False
high,43,./cleanfiles/003.txt,1,43,False
"priority""",44,./cleanfiles/003.txt,1,44,False
and,45,./cleanfiles/003.txt,1,45,False
a,46,./cleanfiles/003.txt,1,46,False
"""shared",47,./cleanfiles/003.txt,1,47,False
goal,48,./cleanfiles/003.txt,1,48,False
across,49,./cleanfiles/003.txt,1,49,False
