All-Words,end,filename,n-gram,start,classtype
Baron,0,./markedupfiles/289.txt,1,0,False
Kinnock,1,./markedupfiles/289.txt,1,1,False
Lords,3,./markedupfiles/289.txt,1,3,False
debut,4,./markedupfiles/289.txt,1,4,False
Former,5,./markedupfiles/289.txt,1,5,False
Labour,6,./markedupfiles/289.txt,1,6,False
leader,7,./markedupfiles/289.txt,1,7,False
Neil,8,./markedupfiles/289.txt,1,8,False
Kinnock,9,./markedupfiles/289.txt,1,9,False
officially,11,./markedupfiles/289.txt,1,11,False
life,15,./markedupfiles/289.txt,1,15,False
peer,16,./markedupfiles/289.txt,1,16,False
ceremony,19,./markedupfiles/289.txt,1,19,False
House,22,./markedupfiles/289.txt,1,22,False
Lords.,24,./markedupfiles/289.txt,1,24,False
He,25,./markedupfiles/289.txt,1,25,False
Baron,29,./markedupfiles/289.txt,1,29,False
Kinnock,30,./markedupfiles/289.txt,1,30,False
Bedwellty,32,./markedupfiles/289.txt,1,32,False
-,33,./markedupfiles/289.txt,1,33,False
former,36,./markedupfiles/289.txt,1,36,False
constituency.,37,./markedupfiles/289.txt,1,37,False
Lord,38,./markedupfiles/289.txt,1,38,False
Kinnock,39,./markedupfiles/289.txt,1,39,False
-,40,./markedupfiles/289.txt,1,40,False
Labour,43,./markedupfiles/289.txt,1,43,False
-,48,./markedupfiles/289.txt,1,48,False
recently,51,./markedupfiles/289.txt,1,51,False
one,52,./markedupfiles/289.txt,1,52,False
Britain's,54,./markedupfiles/289.txt,1,54,False
EU,55,./markedupfiles/289.txt,1,55,False
commissioners.,56,./markedupfiles/289.txt,1,56,False
A,57,./markedupfiles/289.txt,1,57,False
former,58,./markedupfiles/289.txt,1,58,False
critic,59,./markedupfiles/289.txt,1,59,False
House,62,./markedupfiles/289.txt,1,62,False
Lords,64,./markedupfiles/289.txt,1,64,False
Upper,72,./markedupfiles/289.txt,1,72,False
House,73,./markedupfiles/289.txt,1,73,False
advocate,75,./markedupfiles/289.txt,1,75,False
reform,77,./markedupfiles/289.txt,1,77,False
issues,82,./markedupfiles/289.txt,1,82,False
higher,84,./markedupfiles/289.txt,1,84,False
education.,85,./markedupfiles/289.txt,1,85,False
"""I",86,./markedupfiles/289.txt,1,86,False
kind,89,./markedupfiles/289.txt,1,89,False
invitation,90,./markedupfiles/289.txt,1,90,False
House,94,./markedupfiles/289.txt,1,94,False
Lords,96,./markedupfiles/289.txt,1,96,False
working,99,./markedupfiles/289.txt,1,99,False
peer,100,./markedupfiles/289.txt,1,100,False
practical,102,./markedupfiles/289.txt,1,102,False
political,103,./markedupfiles/289.txt,1,103,False
peerage,109,./markedupfiles/289.txt,1,109,False
first,111,./markedupfiles/289.txt,1,111,False
announced.,112,./markedupfiles/289.txt,1,112,False
"""It",113,./markedupfiles/289.txt,1,113,False
good,116,./markedupfiles/289.txt,1,116,False
base,117,./markedupfiles/289.txt,1,117,False
campaigning,119,./markedupfiles/289.txt,1,119,False
national,121,./markedupfiles/289.txt,1,121,False
issues,122,./markedupfiles/289.txt,1,122,False
education,124,./markedupfiles/289.txt,1,124,False
sustainable,125,./markedupfiles/289.txt,1,125,False
industrial,127,./markedupfiles/289.txt,1,127,False
ageing,131,./markedupfiles/289.txt,1,131,False
society,132,./markedupfiles/289.txt,1,132,False
global,134,./markedupfiles/289.txt,1,134,False
concerns,135,./markedupfiles/289.txt,1,135,False
particularly,136,./markedupfiles/289.txt,1,136,False
poverty,137,./markedupfiles/289.txt,1,137,False
"oppression.""",139,./markedupfiles/289.txt,1,139,False
During,140,./markedupfiles/289.txt,1,140,False
induction,142,./markedupfiles/289.txt,1,142,False
Upper,145,./markedupfiles/289.txt,1,145,False
House,146,./markedupfiles/289.txt,1,146,False
Lord,147,./markedupfiles/289.txt,1,147,False
Kinnock,148,./markedupfiles/289.txt,1,148,False
accompanied,150,./markedupfiles/289.txt,1,150,False
Lords,152,./markedupfiles/289.txt,1,152,False
Leader,153,./markedupfiles/289.txt,1,153,False
Baroness,154,./markedupfiles/289.txt,1,154,False
Amos,155,./markedupfiles/289.txt,1,155,False
Baroness,157,./markedupfiles/289.txt,1,157,False
Royall,158,./markedupfiles/289.txt,1,158,False
Blaisdon,160,./markedupfiles/289.txt,1,160,False
former,162,./markedupfiles/289.txt,1,162,False
aide,163,./markedupfiles/289.txt,1,163,False
ex-Labour,166,./markedupfiles/289.txt,1,166,False
leader.,167,./markedupfiles/289.txt,1,167,False
It,168,./markedupfiles/289.txt,1,168,False
journey,173,./markedupfiles/289.txt,1,173,False
new,176,./markedupfiles/289.txt,1,176,False
Lord,177,./markedupfiles/289.txt,1,177,False
Kinnock,178,./markedupfiles/289.txt,1,178,False
earliest,181,./markedupfiles/289.txt,1,181,False
days,182,./markedupfiles/289.txt,1,182,False
rebellious,185,./markedupfiles/289.txt,1,185,False
youngster,186,./markedupfiles/289.txt,1,186,False
south,189,./markedupfiles/289.txt,1,189,False
Wales,190,./markedupfiles/289.txt,1,190,False
valleys.,191,./markedupfiles/289.txt,1,191,False
Born,192,./markedupfiles/289.txt,1,192,False
Tredegar,196,./markedupfiles/289.txt,1,196,False
miner,199,./markedupfiles/289.txt,1,199,False
father,200,./markedupfiles/289.txt,1,200,False
nurse,202,./markedupfiles/289.txt,1,202,False
mother,203,./markedupfiles/289.txt,1,203,False
