All-Words,end,filename,n-gram,start,classtype
Brown,0,./128.txt,1,0,True
shrugs,1,./128.txt,1,1,False
off,2,./128.txt,1,2,False
economy,3,./128.txt,1,3,False
fears,4,./128.txt,1,4,False
Gordon,5,./128.txt,1,5,False
Brown,6,./128.txt,1,6,False
to,8,./128.txt,1,8,False
petrol,10,./128.txt,1,10,False
duty,11,./128.txt,1,11,False
fund,13,./128.txt,1,13,False
a,14,./128.txt,1,14,False
£1bn,15,./128.txt,1,15,False
package,16,./128.txt,1,16,False
to,17,./128.txt,1,17,False
big,19,./128.txt,1,19,False
council,20,./128.txt,1,20,False
tax,21,./128.txt,1,21,False
and,23,./128.txt,1,23,False
boost,24,./128.txt,1,24,False
childcare,25,./128.txt,1,25,False
and,26,./128.txt,1,26,False
maternity,27,./128.txt,1,27,False
In,29,./128.txt,1,29,False
an,30,./128.txt,1,30,False
upbeat,31,./128.txt,1,31,False
pre-Budget,32,./128.txt,1,32,False
he,34,./128.txt,1,34,False
slightly,35,./128.txt,1,35,False
borrowing,37,./128.txt,1,37,False
but,38,./128.txt,1,38,False
insisted,39,./128.txt,1,39,False
economic,40,./128.txt,1,40,False
targets,41,./128.txt,1,41,False
The,45,./128.txt,1,45,False
chancellor,46,./128.txt,1,46,False
also,47,./128.txt,1,47,False
the,49,./128.txt,1,49,False
longest,50,./128.txt,1,50,False
period,51,./128.txt,1,51,False
of,52,./128.txt,1,52,False
growth,53,./128.txt,1,53,False
in,54,./128.txt,1,54,False
UK,55,./128.txt,1,55,False
industrial,56,./128.txt,1,56,False
history,57,./128.txt,1,57,False
but,58,./128.txt,1,58,False
denied,59,./128.txt,1,59,False
he,60,./128.txt,1,60,False
gloating,62,./128.txt,1,62,False
But,63,./128.txt,1,63,False
Oliver,64,./128.txt,1,64,False
Letwin,65,./128.txt,1,65,False
for,66,./128.txt,1,66,False
the,67,./128.txt,1,67,False
Tories,68,./128.txt,1,68,False
government,70,./128.txt,1,70,False
red,71,./128.txt,1,71,False
tape,72,./128.txt,1,72,False
and,73,./128.txt,1,73,False
debt,74,./128.txt,1,74,False
dubbing,75,./128.txt,1,75,False
Mr,76,./128.txt,1,76,False
Brown,77,./128.txt,1,77,False
Sir,78,./128.txt,1,78,False
Wastealot,79,./128.txt,1,79,False
The,80,./128.txt,1,80,False
shadow,81,./128.txt,1,81,False
chancellor,82,./128.txt,1,82,False
Mr,84,./128.txt,1,84,False
Browns,85,./128.txt,1,85,False
golden,86,./128.txt,1,86,False
to,90,./128.txt,1,90,False
dross,91,./128.txt,1,91,False
in,92,./128.txt,1,92,False
his,93,./128.txt,1,93,False
hands,94,./128.txt,1,94,False
and,95,./128.txt,1,95,False
he,97,./128.txt,1,97,False
borrowing,99,./128.txt,1,99,False
to,100,./128.txt,1,100,False
not,102,./128.txt,1,102,False
invest,103,./128.txt,1,103,False
with,104,./128.txt,1,104,False
debt,106,./128.txt,1,106,False
over,107,./128.txt,1,107,False
the,108,./128.txt,1,108,False
coming,109,./128.txt,1,109,False
years,110,./128.txt,1,110,False
totalling,111,./128.txt,1,111,False
£170bn,112,./128.txt,1,112,False
Mr,113,./128.txt,1,113,False
Letwin,114,./128.txt,1,114,False
MPs,116,./128.txt,1,116,False
The,117,./128.txt,1,117,False
tide,118,./128.txt,1,118,False
going,120,./128.txt,1,120,False
out,121,./128.txt,1,121,False
on,122,./128.txt,1,122,False
the,123,./128.txt,1,123,False
chancellors,124,./128.txt,1,124,False
credibility,125,./128.txt,1,125,False
He,126,./128.txt,1,126,False
spending,128,./128.txt,1,128,False
borrowing,129,./128.txt,1,129,False
and,130,./128.txt,1,130,False
taxing,131,./128.txt,1,131,False
so,132,./128.txt,1,132,False
much,133,./128.txt,1,133,False
because,134,./128.txt,1,134,False
