All-Words,end,filename,n-gram,start,classtype,PRE_DIST_VERB,POST_DIST_VERB,PRE_DIST_STOPWORD,POST_DIST_STOPWORD,PrecedingTitle,Apostrophe,PRE_DIST_FROM_THE,PRE_DIST_FROM_POSITION,NEGATIVE_FEATURE,POSITIVE_FEATURE,Surrounding_Caps,POST_IS_PREPOSITION
Brown,0,./data/test/./128.txt,1,0,True,100,100,100,1,False,False,False,100,False,False,False,False
Gordon,5,./data/test/./128.txt,1,5,False,100,1,3,1,False,False,False,100,False,False,True,False
Brown,6,./data/test/./128.txt,1,6,False,100,0,4,0,False,False,False,100,False,False,False,False
Oliver,64,./data/test/./128.txt,1,64,False,3,100,3,1,False,False,False,100,False,False,True,False
Letwin,65,./data/test/./128.txt,1,65,False,4,100,4,0,False,False,False,100,False,False,False,False
Tories,68,./data/test/./128.txt,1,68,False,100,100,1,100,False,False,False,100,False,False,False,False
Brown,77,./data/test/./128.txt,1,77,False,100,100,4,2,False,False,False,100,False,False,False,False
Sir,78,./data/test/./128.txt,1,78,False,100,100,5,1,True,False,False,100,False,False,True,False
Wastealot,79,./data/test/./128.txt,1,79,False,100,3,100,0,False,False,False,100,False,False,True,False
Browns,85,./data/test/./128.txt,1,85,False,2,2,5,2,False,False,False,100,False,False,False,False
Letwin,114,./data/test/./128.txt,1,114,False,100,0,100,100,False,False,False,100,False,False,False,False
MPs,116,./data/test/./128.txt,1,116,False,1,2,100,2,False,False,False,100,False,False,False,False
Vincent,143,./data/test/./128.txt,1,143,False,100,100,3,1,False,False,False,100,False,False,True,False
Cable,144,./data/test/./128.txt,1,144,False,100,100,4,0,False,False,False,100,False,False,False,False
Liberal,147,./data/test/./128.txt,1,147,False,100,100,1,100,False,False,False,100,False,False,True,False
Democrats,148,./data/test/./128.txt,1,148,False,100,100,2,3,False,False,False,100,False,False,True,False
Brown,151,./data/test/./128.txt,1,151,False,100,100,5,0,False,False,False,100,False,False,False,False
Last,158,./data/test/./128.txt,1,158,False,100,100,100,1,False,False,False,100,False,False,False,False
Brown,209,./data/test/./128.txt,1,209,False,3,100,3,1,False,False,False,100,False,False,False,False
Lib,212,./data/test/./128.txt,1,212,False,100,2,1,2,False,False,False,100,False,False,True,False
Dems,213,./data/test/./128.txt,1,213,False,100,1,2,1,False,False,False,100,False,False,True,False
National,223,./data/test/./128.txt,1,223,False,2,100,5,100,False,False,False,100,False,False,True,False
Audit,224,./data/test/./128.txt,1,224,False,3,100,2,3,False,False,False,100,False,False,True,False
Office,225,./data/test/./128.txt,1,225,False,4,100,3,2,False,False,False,100,False,False,True,False
BBC,248,./data/test/./128.txt,1,248,False,100,100,3,100,False,False,False,100,False,False,False,False
Evan,251,./data/test/./128.txt,1,251,False,100,1,100,2,False,False,False,100,False,False,True,False
Davis,252,./data/test/./128.txt,1,252,False,100,0,100,1,False,False,False,100,False,False,False,False
Browns,263,./data/test/./128.txt,1,263,False,100,2,3,1,False,False,False,100,True,False,False,False
European,278,./data/test/./128.txt,1,278,False,100,100,2,100,False,False,False,100,True,False,True,False
Commissioner,279,./data/test/./128.txt,1,279,False,100,100,3,3,False,False,False,100,True,False,True,False
Peter,280,./data/test/./128.txt,1,280,False,100,100,4,2,False,False,False,100,False,False,True,False
Mandelson,281,./data/test/./128.txt,1,281,False,100,100,5,1,False,False,False,100,False,False,True,False
Labour,294,./data/test/./128.txt,1,294,False,100,0,1,1,False,False,False,100,False,False,False,False
April,343,./data/test/./128.txt,1,343,False,4,3,1,1,False,False,False,100,False,False,False,False
Taken,368,./data/test/./128.txt,1,368,False,3,3,2,1,False,False,False,100,True,False,False,False
