All-Words,end,filename,n-gram,start,classtype
Brown,0,./128.txt,1,0,True
shrugs,1,./128.txt,1,1,False
economy,3,./128.txt,1,3,False
fears,4,./128.txt,1,4,False
Gordon,5,./128.txt,1,5,False
Brown,6,./128.txt,1,6,False
petrol,10,./128.txt,1,10,False
duty,11,./128.txt,1,11,False
fund,13,./128.txt,1,13,False
package,16,./128.txt,1,16,False
big,19,./128.txt,1,19,False
council,20,./128.txt,1,20,False
tax,21,./128.txt,1,21,False
boost,24,./128.txt,1,24,False
childcare,25,./128.txt,1,25,False
maternity,27,./128.txt,1,27,False
upbeat,31,./128.txt,1,31,False
pre-Budget,32,./128.txt,1,32,False
slightly,35,./128.txt,1,35,False
borrowing,37,./128.txt,1,37,False
insisted,39,./128.txt,1,39,False
economic,40,./128.txt,1,40,False
targets,41,./128.txt,1,41,False
chancellor,46,./128.txt,1,46,False
also,47,./128.txt,1,47,False
longest,50,./128.txt,1,50,False
period,51,./128.txt,1,51,False
growth,53,./128.txt,1,53,False
industrial,56,./128.txt,1,56,False
history,57,./128.txt,1,57,False
denied,59,./128.txt,1,59,False
gloating,62,./128.txt,1,62,False
Oliver,64,./128.txt,1,64,False
Letwin,65,./128.txt,1,65,False
Tories,68,./128.txt,1,68,False
government,70,./128.txt,1,70,False
red,71,./128.txt,1,71,False
tape,72,./128.txt,1,72,False
debt,74,./128.txt,1,74,False
dubbing,75,./128.txt,1,75,False
Brown,77,./128.txt,1,77,False
Sir,78,./128.txt,1,78,False
Wastealot,79,./128.txt,1,79,False
shadow,81,./128.txt,1,81,False
chancellor,82,./128.txt,1,82,False
Browns,85,./128.txt,1,85,False
golden,86,./128.txt,1,86,False
dross,91,./128.txt,1,91,False
hands,94,./128.txt,1,94,False
borrowing,99,./128.txt,1,99,False
invest,103,./128.txt,1,103,False
debt,106,./128.txt,1,106,False
coming,109,./128.txt,1,109,False
years,110,./128.txt,1,110,False
totalling,111,./128.txt,1,111,False
Letwin,114,./128.txt,1,114,False
MPs,116,./128.txt,1,116,False
tide,118,./128.txt,1,118,False
going,120,./128.txt,1,120,False
chancellors,124,./128.txt,1,124,False
credibility,125,./128.txt,1,125,False
spending,128,./128.txt,1,128,False
borrowing,129,./128.txt,1,129,False
taxing,131,./128.txt,1,131,False
much,133,./128.txt,1,133,False
getting,138,./128.txt,1,138,False
value,139,./128.txt,1,139,False
taxpayers,141,./128.txt,1,141,False
money.,142,./128.txt,1,142,False
Vincent,143,./128.txt,1,143,False
Cable,144,./128.txt,1,144,False
Liberal,147,./128.txt,1,147,False
Democrats,148,./128.txt,1,148,False
accused,149,./128.txt,1,149,False
Brown,151,./128.txt,1,151,False
ducking,153,./128.txt,1,153,False
tough,154,./128.txt,1,154,False
choices,155,./128.txt,1,155,False
Last,158,./128.txt,1,158,False
week,159,./128.txt,1,159,False
prime,161,./128.txt,1,161,False
minister,162,./128.txt,1,162,False
politics,166,./128.txt,1,166,False
fear;,168,./128.txt,1,168,False
week,170,./128.txt,1,170,False
chancellor,172,./128.txt,1,172,False
economics,176,./128.txt,1,176,False
complacency,178,./128.txt,1,178,False
serious,181,./128.txt,1,181,False
challenges,182,./128.txt,1,182,False
ahead,183,./128.txt,1,183,False
falling,186,./128.txt,1,186,False
dollar,187,./128.txt,1,187,False
rapid,191,./128.txt,1,191,False
downturn,192,./128.txt,1,192,False
housing,196,./128.txt,1,196,False
rising,199,./128.txt,1,199,False
personal,200,./128.txt,1,200,False
debt,201,./128.txt,1,201,False
confronted.,207,./128.txt,1,207,False
Brown,209,./128.txt,1,209,False
rejected,210,./128.txt,1,210,False
Lib,212,./128.txt,1,212,False
Dems,213,./128.txt,1,213,False
governments,219,./128.txt,1,219,False
books,220,./128.txt,1,220,False
National,223,./128.txt,1,223,False
