All-Words,end,filename,n-gram,start,classtype
Brown,0,./128.txt,1,0,True
Gordon,5,./128.txt,1,5,False
Brown,6,./128.txt,1,6,False
Oliver,64,./128.txt,1,64,False
Letwin,65,./128.txt,1,65,False
Tories,68,./128.txt,1,68,False
Brown,77,./128.txt,1,77,False
Sir,78,./128.txt,1,78,False
Wastealot,79,./128.txt,1,79,False
Browns,85,./128.txt,1,85,False
Letwin,114,./128.txt,1,114,False
MPs,116,./128.txt,1,116,False
Vincent,143,./128.txt,1,143,False
Cable,144,./128.txt,1,144,False
Liberal,147,./128.txt,1,147,False
Democrats,148,./128.txt,1,148,False
Brown,151,./128.txt,1,151,False
Last,158,./128.txt,1,158,False
Brown,209,./128.txt,1,209,False
Lib,212,./128.txt,1,212,False
Dems,213,./128.txt,1,213,False
National,223,./128.txt,1,223,False
Audit,224,./128.txt,1,224,False
Office,225,./128.txt,1,225,False
BBC,248,./128.txt,1,248,False
Evan,251,./128.txt,1,251,False
Davis,252,./128.txt,1,252,False
Browns,263,./128.txt,1,263,False
European,278,./128.txt,1,278,False
Commissioner,279,./128.txt,1,279,False
Peter,280,./128.txt,1,280,False
Mandelson,281,./128.txt,1,281,False
Labour,294,./128.txt,1,294,False
April,343,./128.txt,1,343,False
Taken,368,./128.txt,1,368,False
Brown,390,./128.txt,1,390,False
Brown,455,./128.txt,1,455,False
Borrowing,487,./128.txt,1,487,False
Marchs,501,./128.txt,1,501,False
Office,508,./128.txt,1,508,False
National,510,./128.txt,1,510,False
Statistics,511,./128.txt,1,511,False
Borrowing,512,./128.txt,1,512,False
Brown,530,./128.txt,1,530,False
March,534,./128.txt,1,534,False
Inflation,536,./128.txt,1,536,False
Brown,550,./128.txt,1,550,False
Business,562,./128.txt,1,562,False
Simon,587,./128.txt,1,587,False
Sweetman,588,./128.txt,1,588,False
Federation,591,./128.txt,1,591,False
Small,593,./128.txt,1,593,False
Businesses,594,./128.txt,1,594,False
Assembly,0,./061.txt,1,0,False
Hundreds,4,./061.txt,1,4,False
North,15,./061.txt,1,15,False
East,16,./061.txt,1,16,False
Royal,19,./061.txt,1,19,False
Mail,20,./061.txt,1,20,False
County,34,./061.txt,1,34,False
Durham,35,./061.txt,1,35,False
Officials,41,./061.txt,1,41,False
Darlington,43,./061.txt,1,43,False
Council,44,./061.txt,1,44,False
November,74,./061.txt,1,74,False
Darlington,78,./061.txt,1,78,False
Council,79,./061.txt,1,79,False
Royal,92,./061.txt,1,92,False
Mail,93,./061.txt,1,93,False
Somewhere,94,./061.txt,1,94,False
Royal,111,./061.txt,1,111,False
Mail,112,./061.txt,1,112,False
Royal,129,./061.txt,1,129,False
Mail,130,./061.txt,1,130,False
Mowden,143,./061.txt,1,143,False
Darlington,146,./061.txt,1,146,False
No-one,178,./061.txt,1,178,False
Darlington,212,./061.txt,1,212,False
Council,213,./061.txt,1,213,False
Initially,216,./061.txt,1,216,False
Mowden,226,./061.txt,1,226,False
Electoral,258,./061.txt,1,258,False
Commission,259,./061.txt,1,259,False
BBC,261,./061.txt,1,261,False
News,262,./061.txt,1,262,False
Online,263,./061.txt,1,263,False
North,315,./061.txt,1,315,False
East,316,./061.txt,1,316,False
Minimum,0,./103.txt,1,0,False
Foster,5,./103.txt,1,5,False
Payment,23,./103.txt,1,23,False
Minister,44,./103.txt,1,44,False
Children,46,./103.txt,1,46,False
Young,47,./103.txt,1,47,False
People,48,./103.txt,1,48,False
Families,50,./103.txt,1,50,False
Margaret,51,./103.txt,1,51,False
Hodge,52,./103.txt,1,52,False
However,66,./103.txt,1,66,False
Hodge,108,./103.txt,1,108,False
Foster,110,./103.txt,1,110,False
Children,196,./103.txt,1,196,False
Bill,197,./103.txt,1,197,False
Commons,202,./103.txt,1,202,False
Fostering,211,./103.txt,1,211,False
Network,212,./103.txt,1,212,False
Robert,215,./103.txt,1,215,False
Tapsfield,216,./103.txt,1,216,False
England,248,./103.txt,1,248,False
Association,299,./103.txt,1,299,False
Directors,301,./103.txt,1,301,False
Social,303,./103.txt,1,303,False
Services,304,./103.txt,1,304,False
Tony,315,./103.txt,1,315,False
Hunter,316,./103.txt,1,316,False
Governments,332,./103.txt,1,332,False
ADSS,335,./103.txt,1,335,False
Boothroyd,0,./117.txt,1,0,False
Lords,3,./117.txt,1,3,False
Betty,5,./117.txt,1,5,False
Boothroyd,6,./117.txt,1,6,False
House,10,./117.txt,1,10,False
Lords,12,./117.txt,1,12,False
Speaker,16,./117.txt,1,16,False
Baroness,29,./117.txt,1,29,False
Boothroyd,30,./117.txt,1,30,False
Commons,38,./117.txt,1,38,False
Speaker,39,./117.txt,1,39,False
Tony,43,./117.txt,1,43,False
Blair,44,./117.txt,1,44,False
BBCs,71,./117.txt,1,71,False
Breakfast,72,./117.txt,1,72,False
Frost,74,./117.txt,1,74,False
Labour,77,./117.txt,1,77,False
Lords,84,./117.txt,1,84,False
Labour,112,./117.txt,1,112,False
Lords,127,./117.txt,1,127,False
Lord,131,./117.txt,1,131,False
Falconer,132,./117.txt,1,132,False
Breakfast,135,./117.txt,1,135,False
Frost,137,./117.txt,1,137,False
Commons,143,./117.txt,1,143,False
House,178,./117.txt,1,178,False
Lords,180,./117.txt,1,180,False
Cabinet,194,./117.txt,1,194,False
Lady,199,./117.txt,1,199,False
Boothroyd,200,./117.txt,1,200,False
Speaker,216,./117.txt,1,216,False
Speaker,224,./117.txt,1,224,False
House,227,./117.txt,1,227,False
Cabinet,253,./117.txt,1,253,False
Speaker,256,./117.txt,1,256,False
Lords,259,./117.txt,1,259,False
House,271,./117.txt,1,271,False
Blunkett,0,./102.txt,1,0,True
Blair,5,./102.txt,1,5,True
