,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Howard,0,./data/test/./262.txt,1,0,True,100,100,100,2,False,False,False,100,False,False,False,False
1,Blair,2,./data/test/./262.txt,1,2,True,100,100,100,0,False,False,False,100,False,False,False,False
2,Browns,157,./data/test/./262.txt,1,157,True,100,100,3,1,False,False,False,100,True,False,True,False
3,Boris,0,./data/test/./075.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
4,Ken,263,./data/test/./075.txt,1,263,True,5,1,2,100,False,False,False,100,False,False,False,False
5,Ken,395,./data/test/./075.txt,1,395,True,100,2,5,2,False,False,False,100,False,False,False,False
6,Blair,10,./data/test/./263.txt,1,10,True,2,100,1,0,False,False,False,100,False,False,False,False
7,Brown,12,./data/test/./263.txt,1,12,True,4,100,1,0,False,False,False,100,False,False,False,False
8,Blair,680,./data/test/./263.txt,1,680,True,100,3,1,0,False,False,False,100,False,False,False,False
9,Brown,682,./data/test/./263.txt,1,682,True,100,1,1,1,False,False,False,100,False,False,False,False
10,Solomons,691,./data/test/./263.txt,1,691,True,100,2,3,2,False,False,False,100,False,False,False,False
11,Boothroyd,0,./data/test/./117.txt,1,0,True,100,100,100,1,False,False,False,100,False,False,False,False
12,Browns,3,./data/test/./274.txt,1,3,True,100,100,3,1,False,False,False,100,False,False,False,False
13,William,67,./data/test/./066.txt,1,67,True,100,3,2,0,False,False,False,100,True,False,False,False
14,Harry,69,./data/test/./066.txt,1,69,True,100,1,1,1,False,False,False,100,False,False,True,False
15,Howard,0,./data/test/./106.txt,1,0,True,100,1,100,2,False,False,False,100,False,False,False,False
16,Hannah,283,./data/test/./106.txt,1,283,True,1,100,4,1,False,False,False,100,True,False,True,False
17,Brown,0,./data/test/./107.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
18,Straw,0,./data/test/./139.txt,1,0,True,100,100,100,3,False,False,False,100,False,False,False,False
19,Kilroy,0,./data/test/./111.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
20,Kilroy,478,./data/test/./111.txt,1,478,True,4,0,1,0,False,False,False,100,False,False,False,False
