,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Secretary,9,./data/test/./407.txt,1,9,False,100,0,5,0,False,False,False,1,True,False,True,False
1,Election,19,./data/test/./238.txt,1,19,False,100,0,2,1,False,False,False,1,True,False,True,False
2,Regiments,23,./data/test/./238.txt,1,23,False,3,0,2,0,False,False,False,5,False,False,True,False
3,Prior,159,./data/test/./037.txt,1,159,False,4,0,4,0,False,False,False,3,False,False,True,False
4,Gordon Brown,10,./data/test/./262.txt,2,9,False,100,0,1,0,False,False,False,100,False,False,False,False
5,UK Treasury,49,./data/test/./101.txt,2,48,False,100,0,5,1,False,False,False,100,False,False,False,False
6,Mr Wellington<\n>,176,./data/test/./101.txt,2,175,False,1,1,3,1,True,False,False,100,False,False,False,False
7,Ms Essex<\n>,212,./data/test/./101.txt,2,211,False,100,0,5,0,True,False,False,100,False,False,False,False
8,Ms Essex<\n>,219,./data/test/./101.txt,2,218,False,5,2,3,2,True,False,False,100,False,False,False,False
9,Ms Essex<\n>,343,./data/test/./101.txt,2,342,False,5,2,4,2,True,False,False,100,True,False,False,False
10,Mr German<\n>,476,./data/test/./101.txt,2,475,False,2,2,2,3,True,False,False,100,False,False,False,False
11,Glyn Davies<\n>,520,./data/test/./101.txt,2,519,False,100,0,100,1,False,False,False,100,False,False,False,False
12,Electoral Commission,259,./data/test/./061.txt,2,258,False,100,0,1,100,False,False,False,100,False,False,False,False
13,Commons Speaker,39,./data/test/./117.txt,2,38,False,1,0,1,1,False,False,False,100,False,False,False,False
14,Blunkett -,6,./data/test/./248.txt,2,5,False,100,1,3,0,False,False,False,100,True,True,False,False
15,Labour Party,215,./data/test/./274.txt,2,214,False,100,0,1,1,False,False,False,100,False,False,False,False
16,Hartpury Gloucestershire,271,./data/test/./066.txt,2,270,False,100,0,1,1,False,False,False,100,False,False,False,False
17,Ledbury Herefordshire,297,./data/test/./066.txt,2,296,False,100,100,1,3,False,False,False,100,True,True,False,False
18,Parliament Act,451,./data/test/./066.txt,2,450,False,100,0,4,1,False,False,False,100,False,False,False,False
19,New Labour,107,./data/test/./107.txt,2,106,False,100,0,2,0,False,False,False,100,False,False,False,False
20,Mr Blair,218,./data/test/./107.txt,2,217,False,100,0,100,1,True,False,False,100,False,False,False,False
21,Mr Browns,263,./data/test/./107.txt,2,262,False,5,100,1,1,True,False,False,100,False,False,False,False
22,Geoff Hoons,173,./data/test/./111.txt,2,172,False,4,3,3,3,False,False,False,1,True,False,True,False
23,New Party,641,./data/test/./111.txt,2,640,False,100,0,5,0,False,False,False,100,False,False,False,False
24,Mrs Parker,27,./data/test/./104.txt,2,26,False,5,1,3,1,True,False,False,100,True,False,True,False
25,Princess Consort,74,./data/test/./104.txt,2,73,False,1,100,2,0,True,False,False,100,False,False,False,False
26,Mrs Parker,138,./data/test/./104.txt,2,137,False,100,100,1,3,True,False,False,100,False,False,True,False
27,Parker Bowles,157,./data/test/./104.txt,2,156,False,100,0,3,1,False,False,False,100,False,False,False,False
28,Mrs Parker,288,./data/test/./104.txt,2,287,False,5,1,1,1,True,False,False,100,True,False,True,False
29,Mrs Camilla,375,./data/test/./104.txt,2,374,False,100,2,1,2,True,False,False,100,False,False,True,False
30,Mrs Parker,433,./data/test/./104.txt,2,432,False,100,1,3,1,True,False,False,100,True,False,True,False
31,Mr Howard,113,./data/test/./110.txt,2,112,False,4,100,2,3,True,False,False,100,False,False,False,False
32,Mr Blair,374,./data/test/./110.txt,2,373,False,1,0,2,0,True,False,False,100,False,False,False,False
33,Labour Britain,445,./data/test/./110.txt,2,444,False,100,0,4,0,False,False,False,100,False,False,False,False
34,Ian Blair,111,./data/test/./070.txt,2,110,False,100,0,100,0,False,False,False,100,False,False,False,False
35,Home Secretary,415,./data/test/./070.txt,2,414,False,100,0,1,0,False,False,False,100,False,False,False,False
36,Home Secretarys,451,./data/test/./070.txt,2,450,False,100,0,1,100,False,False,False,100,False,False,False,False
37,Dubs Succession,23,./data/test/./266.txt,2,22,False,100,0,5,0,False,False,False,100,False,False,False,False
38,Conservative Party,94,./data/test/./299.txt,2,93,False,100,0,1,1,False,False,False,100,False,False,False,False
39,Industry Secretary,24,./data/test/./003.txt,2,23,False,100,0,1,0,False,False,False,100,False,False,False,False
40,Sir Ian,129,./data/test/./216.txt,2,128,False,4,100,1,1,True,False,False,100,False,False,True,False
41,Law Lords,274,./data/test/./216.txt,2,273,False,100,0,1,1,False,False,False,100,False,False,False,False
42,Sir Alan,24,./data/test/./028.txt,2,23,False,100,100,4,3,True,False,False,100,False,False,True,False
43,High Court,84,./data/test/./148.txt,2,83,False,4,100,3,100,False,False,False,1,False,False,True,False
44,Mr Afzal,412,./data/test/./148.txt,2,411,False,2,100,2,2,True,False,False,100,False,False,False,False
45,Mr Howard,541,./data/test/./405.txt,2,540,False,100,100,4,0,True,False,False,100,False,False,False,False
46,Liberal Democrats,78,./data/test/./001.txt,2,77,False,100,0,1,1,False,False,False,100,False,False,False,False
47,Election Liberal,292,./data/test/./001.txt,2,291,False,3,100,2,2,False,False,False,1,False,False,True,False
48,Mr Blair.,210,./data/test/./159.txt,2,209,False,4,2,1,100,True,False,False,100,False,False,True,False
49,Mr Howard,327,./data/test/./159.txt,2,326,False,100,0,3,100,True,False,False,100,False,False,False,False
50,News Im,331,./data/test/./159.txt,2,330,False,2,0,100,1,False,False,False,100,False,False,True,False
51,Lord Callaghan,664,./data/test/./400.txt,2,663,False,100,100,1,1,True,False,False,100,True,False,False,False
52,Mr Blunkett,124,./data/test/./206.txt,2,123,False,1,1,4,1,True,False,False,100,False,False,False,False
53,Conservative Party,115,./data/test/./212.txt,2,114,False,100,0,100,0,False,False,False,100,False,False,False,False
54,Labour Party,138,./data/test/./212.txt,2,137,False,100,0,100,0,False,False,False,100,False,False,False,False
55,Labour MPs,255,./data/test/./238.txt,2,254,False,5,0,4,0,False,False,False,100,False,False,False,False
56,Film Classification,249,./data/test/./199.txt,2,248,False,100,0,1,0,False,False,False,100,False,False,False,False
57,Labour Party,269,./data/test/./402.txt,2,268,False,100,0,1,3,False,False,False,100,False,False,False,False
58,Mr Nasty,64,./data/test/./013.txt,2,63,False,100,100,100,100,True,False,False,100,False,False,True,False
59,Mr Nasty,555,./data/test/./013.txt,2,554,False,100,0,100,0,True,False,False,100,False,False,True,False
60,Nat Insurance,1,./data/test/./022.txt,2,0,False,100,0,100,0,False,False,False,100,False,False,False,False
61,National Insurance,7,./data/test/./022.txt,2,6,False,2,0,4,0,False,False,False,100,False,False,True,False
62,International Development,183,./data/test/./195.txt,2,182,False,100,0,1,0,False,False,False,100,False,False,False,False
63,Michael Ancram,154,./data/test/./142.txt,2,153,False,100,0,100,1,False,False,False,100,False,False,False,False
64,Caroline Lucas,389,./data/test/./142.txt,2,388,False,100,100,4,100,False,False,False,1,True,False,True,False
