2-gram
<n>Hewitt</n> decries
decries 'career
'career sexism'
sexism' Plans
Plans to
to extend
extend paid
paid maternity
maternity leave
leave beyond
beyond six
six months
months should
should be
be prominent
prominent in
in Labour's
Labour's election
"election manifesto,"
"manifesto, the"
the Trade
Trade and
and Industry
Industry Secretary
Secretary has
has said.
said. <n>Patricia
<n>Patricia Hewitt</n>
Hewitt</n> said
said the
the cost
cost of
of the
the proposals
proposals was
was being
"being evaluated,"
"evaluated, but"
but it
it was
was an
"an ""increasingly"
"""increasingly high"
"high priority"""
"priority"" and"
and a
"a ""shared"
"""shared goal"
goal across
"across government""."
"government"". <n>Ms"
<n>Ms Hewitt</n>
Hewitt</n> was
was speaking
speaking at
at a
a gender
gender and
and productivity
productivity seminar
seminar organised
organised by
by the
the Equal
Equal Opportunities
Opportunities Commission
Commission (EOC).
(EOC). Mothers
Mothers can
can currently
currently take
take up
up to
to six
six months'
months' paid
paid leave
leave -
- and
and six
six unpaid.
unpaid. <n>Ms
<n>Ms Hewitt</n>
Hewitt</n> told
told the
the seminar:
"seminar: ""Clearly,"
"""Clearly, one"
one of
of the
the things
things we
we need
need to
to do
do in
in the
the future
future is
is to
to extend
extend the
the period
period of
of payment
payment for
for maternity
maternity leave
leave beyond
beyond the
the first
first six
six months
months into
into the
the second
second six
six months.
"months. ""We"
"""We are"
are looking
looking at
at how
how quickly
quickly we
we can
can do
"do that,"
"that, because"
because obviously
obviously there
there are
are cost
cost implications
implications because
because the
the taxpayer
taxpayer reimburses
reimburses the
the employers
employers for
for the
the cost
cost of
"of that."""
"that."" <n>Ms"
<n>Ms Hewitt</n>
Hewitt</n> also
also announced
announced a
a new
new drive
drive to
to help
help women
women who
who want
want to
to work
work in
in male
male dominated
"dominated sectors,"
"sectors, saying"
saying sexism
sexism at
at work
work was
was still
still preventing
preventing women
women reaching
reaching their
their full
full potential.
potential. Plans
Plans include
include funding
funding for
for universities
universities to
to help
help female
female science
science and
and engineering
engineering graduates
graduates find
find jobs
jobs and
"and ""taster"
"""taster courses"""
"courses"" for"
for men
men and
and women
women in
in non-traditional
non-traditional jobs.
jobs. Women
Women in
in full-time
full-time work
work earn
earn 19%
19% less
less than
"than men,"
"men, according"
according to
to the
the Equal
Equal Opportunities
Opportunities Commission
Commission (EOC).
(EOC). The
The minister
minister told
told delegates
delegates that
that getting
getting rid
rid of
"of ""career"
"""career sexism"""
"sexism"" was"
was vital
vital to
to closing
closing the
the gender
gender pay
pay gap.
"gap. ""Career"
"""Career sexism"
sexism limits
limits opportunities
opportunities for
for women
women of
of all
all ages
ages and
and prevents
prevents them
them from
from achieving
achieving their
their full
full potential.
"potential. ""It"
"""It is"
is simply
simply wrong
wrong to
to assume
assume someone
someone cannot
cannot do
do a
a job
job on
on the
the grounds
grounds of
of their
"their sex,"""
"sex,"" she"
she said.
"said. Earlier,"
"Earlier, she"
she told
told BBC
BBC Radio
Radio 4's
4's Today
Today programme:
"programme: ""What"
"""What we"
we are
are talking
talking about
about here
here is
is the
the fact
fact that
that about
about six
six out
out of
of 20
20 women
women work
work in
in jobs
jobs that
that are
are low-paid
low-paid and
and typically
typically dominated
dominated by
"by women,"
"women, so"
so we
we have
have got
got very
very segregated
segregated employment.
"employment. ""Unfortunately,"
"""Unfortunately, in"
in some
"some cases,"
"cases, this"
this reflects
reflects very
very old-fashioned
old-fashioned and
and stereotypical
stereotypical ideas
ideas about
about the
the appropriate
appropriate jobs
jobs for
"for women,"
"women, or"
or indeed
indeed for
for men.
"men. ""Career"
"""Career sexism"
sexism is
is about
about saying
saying that
"that engineering,"
"engineering, for"
"for instance,"
"instance, where"
where only
only 10%
10% of
of employees
employees are
"are women,"
"women, is"
is really
really a
a male-dominated
male-dominated industry.
industry. Construction
Construction is
is even
even worse.
"worse. ""But"
"""But it"
it is
is also
also about
about saying
saying childcare
childcare jobs
jobs are
are really
really there
there for
for women
women and
and not
not suitable
suitable for
for men.
men. Career
Career sexism
sexism goes
goes both
"both ways."""
"ways."" She"
She added
added that
that while
while progress
progress had
had been
"been made,"
"made, there"
there was
was still
still a
a gap
gap in
in pay
pay figures.
"figures. ""The"
"""The average"
average woman
woman working
working full-time
full-time is
is being
being paid
paid about
about 80p
80p for
for every
every pound
pound a
a man
man is
is earning.
earning. For
For women
women working
working part-time
part-time it
it is
"is 60p."""
"60p."" The"
The Department
Department for
for Trade
Trade and
and Industry
Industry will
will also
also provide
provide funding
funding to
to help
help a
a new
new pay
pay experts
experts panel
panel run
run by
by the
the TUC.
TUC. It
It has
has been
been set
set up
up to
to advise
advise hundreds
hundreds of
of companies
companies on
on equal
equal wage
wage policies.
policies. Research
Research conducted
conducted by
by the
the EOC
EOC last
last year
year revealed
revealed that
that many
many Britons
Britons believe
believe the
the pay
pay gap
gap between
between men
men and
and women
women is
is the
the result
result of
"of ""natural"
"""natural differences"""
"differences"" between"
between the
the sexes.
sexes. Women
Women hold
hold less
less than
than 10%
10% of
of the
the top
top positions
positions in
in FTSE
FTSE 100
"100 companies,"
"companies, the"
"the police,"
"police, the"
the judiciary
judiciary and
