All-Words,end,filename,n-gram,start,classtype
Hewitt,0,./cleanfiles/003.txt,1,0,True
'career,2,./cleanfiles/003.txt,1,2,False
Plans,4,./cleanfiles/003.txt,1,4,False
Labour's,17,./cleanfiles/003.txt,1,17,False
Trade,21,./cleanfiles/003.txt,1,21,False
Industry,23,./cleanfiles/003.txt,1,23,False
Secretary,24,./cleanfiles/003.txt,1,24,False
Patricia,27,./cleanfiles/003.txt,1,27,False
Hewitt,28,./cleanfiles/003.txt,1,28,True
"""increasingly",42,./cleanfiles/003.txt,1,42,False
"""shared",47,./cleanfiles/003.txt,1,47,False
Hewitt,52,./cleanfiles/003.txt,1,52,True
Equal,64,./cleanfiles/003.txt,1,64,False
Opportunities,65,./cleanfiles/003.txt,1,65,False
Commission,66,./cleanfiles/003.txt,1,66,False
Mothers,68,./cleanfiles/003.txt,1,68,False
Hewitt,83,./cleanfiles/003.txt,1,83,True
"""We",119,./cleanfiles/003.txt,1,119,False
Hewitt,147,./cleanfiles/003.txt,1,147,True
Plans,176,./cleanfiles/003.txt,1,176,False
"""taster",191,./cleanfiles/003.txt,1,191,False
Women,200,./cleanfiles/003.txt,1,200,False
Equal,212,./cleanfiles/003.txt,1,212,False
Opportunities,213,./cleanfiles/003.txt,1,213,False
Commission,214,./cleanfiles/003.txt,1,214,False
The,216,./cleanfiles/003.txt,1,216,False
"""career",224,./cleanfiles/003.txt,1,224,False
"""Career",234,./cleanfiles/003.txt,1,234,False
"""It",251,./cleanfiles/003.txt,1,251,False
BBC,273,./cleanfiles/003.txt,1,273,False
Radio,274,./cleanfiles/003.txt,1,274,False
Today,276,./cleanfiles/003.txt,1,276,False
"""What",278,./cleanfiles/003.txt,1,278,False
"""Career",333,./cleanfiles/003.txt,1,333,False
Construction,354,./cleanfiles/003.txt,1,354,False
"""But",358,./cleanfiles/003.txt,1,358,False
Career,376,./cleanfiles/003.txt,1,376,False
She,381,./cleanfiles/003.txt,1,381,False
"""The",397,./cleanfiles/003.txt,1,397,False
For,414,./cleanfiles/003.txt,1,414,False
The,421,./cleanfiles/003.txt,1,421,False
Department,422,./cleanfiles/003.txt,1,422,False
Trade,424,./cleanfiles/003.txt,1,424,False
Industry,426,./cleanfiles/003.txt,1,426,False
TUC.,441,./cleanfiles/003.txt,1,441,False
Research,456,./cleanfiles/003.txt,1,456,False
EOC,460,./cleanfiles/003.txt,1,460,False
Britons,466,./cleanfiles/003.txt,1,466,False
"""natural",479,./cleanfiles/003.txt,1,479,False
Women,484,./cleanfiles/003.txt,1,484,False
FTSE,494,./cleanfiles/003.txt,1,494,False
And,508,./cleanfiles/003.txt,1,508,False
Watchdog,0,./cleanfiles/002.txt,1,0,False
The,4,./cleanfiles/002.txt,1,4,False
Cabinet,15,./cleanfiles/002.txt,1,15,False
Office,16,./cleanfiles/002.txt,1,16,False
Richard,28,./cleanfiles/002.txt,1,28,False
Thomas,29,./cleanfiles/002.txt,1,29,False
