All-Words,end,filename,n-gram,start,classtype
Baron,0,./data/train/./289.txt,1,0,False
Kinnock,1,./data/train/./289.txt,1,1,False
Lords,3,./data/train/./289.txt,1,3,False
debut,4,./data/train/./289.txt,1,4,False
Former,5,./data/train/./289.txt,1,5,False
Labour,6,./data/train/./289.txt,1,6,False
leader,7,./data/train/./289.txt,1,7,False
Neil,8,./data/train/./289.txt,1,8,False
Kinnock,9,./data/train/./289.txt,1,9,False
officially,11,./data/train/./289.txt,1,11,False
life,15,./data/train/./289.txt,1,15,False
peer,16,./data/train/./289.txt,1,16,False
ceremony,19,./data/train/./289.txt,1,19,False
House,22,./data/train/./289.txt,1,22,False
Lords,24,./data/train/./289.txt,1,24,False
Baron,29,./data/train/./289.txt,1,29,False
Kinnock,30,./data/train/./289.txt,1,30,False
Bedwellty,32,./data/train/./289.txt,1,32,False
-,33,./data/train/./289.txt,1,33,False
former,36,./data/train/./289.txt,1,36,False
constituency,37,./data/train/./289.txt,1,37,False
Lord,38,./data/train/./289.txt,1,38,False
Kinnock,39,./data/train/./289.txt,1,39,False
-,40,./data/train/./289.txt,1,40,False
Labour,43,./data/train/./289.txt,1,43,False
-,48,./data/train/./289.txt,1,48,False
recently,51,./data/train/./289.txt,1,51,False
one,52,./data/train/./289.txt,1,52,False
Britains,54,./data/train/./289.txt,1,54,False
EU,55,./data/train/./289.txt,1,55,False
commissioners,56,./data/train/./289.txt,1,56,False
former,58,./data/train/./289.txt,1,58,False
critic,59,./data/train/./289.txt,1,59,False
House,62,./data/train/./289.txt,1,62,False
Lords,64,./data/train/./289.txt,1,64,False
Upper,72,./data/train/./289.txt,1,72,False
House,73,./data/train/./289.txt,1,73,False
advocate,75,./data/train/./289.txt,1,75,False
reform,77,./data/train/./289.txt,1,77,False
issues,82,./data/train/./289.txt,1,82,False
higher,84,./data/train/./289.txt,1,84,False
education,85,./data/train/./289.txt,1,85,False
kind,89,./data/train/./289.txt,1,89,False
invitation,90,./data/train/./289.txt,1,90,False
House,94,./data/train/./289.txt,1,94,False
Lords,96,./data/train/./289.txt,1,96,False
working,99,./data/train/./289.txt,1,99,False
peer,100,./data/train/./289.txt,1,100,False
practical,102,./data/train/./289.txt,1,102,False
political,103,./data/train/./289.txt,1,103,False
peerage,109,./data/train/./289.txt,1,109,False
first,111,./data/train/./289.txt,1,111,False
good,116,./data/train/./289.txt,1,116,False
base,117,./data/train/./289.txt,1,117,False
campaigning,119,./data/train/./289.txt,1,119,False
national,121,./data/train/./289.txt,1,121,False
issues,122,./data/train/./289.txt,1,122,False
education,124,./data/train/./289.txt,1,124,False
sustainable,125,./data/train/./289.txt,1,125,False
industrial,127,./data/train/./289.txt,1,127,False
ageing,131,./data/train/./289.txt,1,131,False
society,132,./data/train/./289.txt,1,132,False
global,134,./data/train/./289.txt,1,134,False
concerns,135,./data/train/./289.txt,1,135,False
particularly,136,./data/train/./289.txt,1,136,False
poverty,137,./data/train/./289.txt,1,137,False
oppression.,139,./data/train/./289.txt,1,139,False
induction,142,./data/train/./289.txt,1,142,False
Upper,145,./data/train/./289.txt,1,145,False
House,146,./data/train/./289.txt,1,146,False
Lord,147,./data/train/./289.txt,1,147,False
Kinnock,148,./data/train/./289.txt,1,148,False
accompanied,150,./data/train/./289.txt,1,150,False
Lords,152,./data/train/./289.txt,1,152,False
Leader,153,./data/train/./289.txt,1,153,False
Baroness,154,./data/train/./289.txt,1,154,False
Amos,155,./data/train/./289.txt,1,155,False
Baroness,157,./data/train/./289.txt,1,157,False
Royall,158,./data/train/./289.txt,1,158,False
Blaisdon,160,./data/train/./289.txt,1,160,False
former,162,./data/train/./289.txt,1,162,False
aide,163,./data/train/./289.txt,1,163,False
ex-Labour,166,./data/train/./289.txt,1,166,False
leader,167,./data/train/./289.txt,1,167,False
journey,173,./data/train/./289.txt,1,173,False
new,176,./data/train/./289.txt,1,176,False
Lord,177,./data/train/./289.txt,1,177,False
Kinnock,178,./data/train/./289.txt,1,178,False
earliest,181,./data/train/./289.txt,1,181,False
days,182,./data/train/./289.txt,1,182,False
rebellious,185,./data/train/./289.txt,1,185,False
youngster,186,./data/train/./289.txt,1,186,False
south,189,./data/train/./289.txt,1,189,False
Wales,190,./data/train/./289.txt,1,190,False
valleys,191,./data/train/./289.txt,1,191,False
Born,192,./data/train/./289.txt,1,192,False
Tredegar,196,./data/train/./289.txt,1,196,False
miner,199,./data/train/./289.txt,1,199,False
father,200,./data/train/./289.txt,1,200,False
nurse,202,./data/train/./289.txt,1,202,False
mother,203,./data/train/./289.txt,1,203,False
attended,205,./data/train/./289.txt,1,205,False
Lewis,206,./data/train/./289.txt,1,206,True
Boys,207,./data/train/./289.txt,1,207,False
School,208,./data/train/./289.txt,1,208,False
nearby,210,./data/train/./289.txt,1,210,False
Pengam,211,./data/train/./289.txt,1,211,False
Eton,216,./data/train/./289.txt,1,216,False
valleys,219,./data/train/./289.txt,1,219,False
Cardiff,225,./data/train/./289.txt,1,225,False
University,226,./data/train/./289.txt,1,226,False
future,231,./data/train/./289.txt,1,231,False
wife,232,./data/train/./289.txt,1,232,False
Glenys,233,./data/train/./289.txt,1,233,True
Labour,236,./data/train/./289.txt,1,236,False
MEP,237,./data/train/./289.txt,1,237,False
career,241,./data/train/./289.txt,1,241,False
Workers,247,./data/train/./289.txt,1,247,False
Educational,248,./data/train/./289.txt,1,248,False
