All-Words,end,filename,n-gram,start,classtype
Hewitt,0,./data/test/.\003.txt,1,0,True
decries,1,./data/test/.\003.txt,1,1,False
career,2,./data/test/.\003.txt,1,2,False
sexism,3,./data/test/.\003.txt,1,3,False
Plans,4,./data/test/.\003.txt,1,4,False
maternity,8,./data/test/.\003.txt,1,8,False
beyond,10,./data/test/.\003.txt,1,10,False
six,11,./data/test/.\003.txt,1,11,False
months,12,./data/test/.\003.txt,1,12,False
prominent,15,./data/test/.\003.txt,1,15,False
Labours,17,./data/test/.\003.txt,1,17,False
election,18,./data/test/.\003.txt,1,18,False
manifesto,19,./data/test/.\003.txt,1,19,False
Trade,21,./data/test/.\003.txt,1,21,False
Industry,23,./data/test/.\003.txt,1,23,False
Secretary,24,./data/test/.\003.txt,1,24,False
Patricia,27,./data/test/.\003.txt,1,27,False
Hewitt,28,./data/test/.\003.txt,1,28,False
proposals,34,./data/test/.\003.txt,1,34,False
increasingly,42,./data/test/.\003.txt,1,42,False
high,43,./data/test/.\003.txt,1,43,False
priority,44,./data/test/.\003.txt,1,44,False
goal,48,./data/test/.\003.txt,1,48,False
across,49,./data/test/.\003.txt,1,49,False
government,50,./data/test/.\003.txt,1,50,False
Hewitt,52,./data/test/.\003.txt,1,52,False
speaking,54,./data/test/.\003.txt,1,54,False
gender,57,./data/test/.\003.txt,1,57,False
productivity,59,./data/test/.\003.txt,1,59,False
seminar,60,./data/test/.\003.txt,1,60,False
organised,61,./data/test/.\003.txt,1,61,False
Equal,64,./data/test/.\003.txt,1,64,False
Opportunities,65,./data/test/.\003.txt,1,65,False
Commission,66,./data/test/.\003.txt,1,66,False
Mothers,68,./data/test/.\003.txt,1,68,False
currently,70,./data/test/.\003.txt,1,70,False
six,74,./data/test/.\003.txt,1,74,False
months,75,./data/test/.\003.txt,1,75,False
six,80,./data/test/.\003.txt,1,80,False
unpaid,81,./data/test/.\003.txt,1,81,False
Hewitt,83,./data/test/.\003.txt,1,83,False
seminar,86,./data/test/.\003.txt,1,86,False
Clearly,87,./data/test/.\003.txt,1,87,False
one,88,./data/test/.\003.txt,1,88,False
things,91,./data/test/.\003.txt,1,91,False
future,98,./data/test/.\003.txt,1,98,False
period,103,./data/test/.\003.txt,1,103,False
payment,105,./data/test/.\003.txt,1,105,False
maternity,107,./data/test/.\003.txt,1,107,False
beyond,109,./data/test/.\003.txt,1,109,False
first,111,./data/test/.\003.txt,1,111,False
six,112,./data/test/.\003.txt,1,112,False
months,113,./data/test/.\003.txt,1,113,False
second,116,./data/test/.\003.txt,1,116,False
six,117,./data/test/.\003.txt,1,117,False
months,118,./data/test/.\003.txt,1,118,False
looking,121,./data/test/.\003.txt,1,121,False
quickly,124,./data/test/.\003.txt,1,124,False
obviously,130,./data/test/.\003.txt,1,130,False
implications,134,./data/test/.\003.txt,1,134,False
taxpayer,137,./data/test/.\003.txt,1,137,False
reimburses,138,./data/test/.\003.txt,1,138,False
employers,140,./data/test/.\003.txt,1,140,False
that.,145,./data/test/.\003.txt,1,145,False
Hewitt,147,./data/test/.\003.txt,1,147,False
also,148,./data/test/.\003.txt,1,148,False
new,151,./data/test/.\003.txt,1,151,False
women,155,./data/test/.\003.txt,1,155,False
male,161,./data/test/.\003.txt,1,161,False
dominated,162,./data/test/.\003.txt,1,162,False
sectors,163,./data/test/.\003.txt,1,163,False
saying,164,./data/test/.\003.txt,1,164,False
sexism,165,./data/test/.\003.txt,1,165,False
still,169,./data/test/.\003.txt,1,169,False
preventing,170,./data/test/.\003.txt,1,170,False
women,171,./data/test/.\003.txt,1,171,False
reaching,172,./data/test/.\003.txt,1,172,False
full,174,./data/test/.\003.txt,1,174,False
potential,175,./data/test/.\003.txt,1,175,False
Plans,176,./data/test/.\003.txt,1,176,False
funding,178,./data/test/.\003.txt,1,178,False
universities,180,./data/test/.\003.txt,1,180,False
female,183,./data/test/.\003.txt,1,183,False
science,184,./data/test/.\003.txt,1,184,False
engineering,186,./data/test/.\003.txt,1,186,False
graduates,187,./data/test/.\003.txt,1,187,False
jobs,189,./data/test/.\003.txt,1,189,False
taster,191,./data/test/.\003.txt,1,191,False
courses,192,./data/test/.\003.txt,1,192,False
men,194,./data/test/.\003.txt,1,194,False
women,196,./data/test/.\003.txt,1,196,False
non-traditional,198,./data/test/.\003.txt,1,198,False
jobs,199,./data/test/.\003.txt,1,199,False
Women,200,./data/test/.\003.txt,1,200,False
full-time,202,./data/test/.\003.txt,1,202,False
less,206,./data/test/.\003.txt,1,206,False
men,208,./data/test/.\003.txt,1,208,False
according,209,./data/test/.\003.txt,1,209,False
Equal,212,./data/test/.\003.txt,1,212,False
Opportunities,213,./data/test/.\003.txt,1,213,False
Commission,214,./data/test/.\003.txt,1,214,False
minister,217,./data/test/.\003.txt,1,217,False
delegates,219,./data/test/.\003.txt,1,219,False
getting,221,./data/test/.\003.txt,1,221,False
career,224,./data/test/.\003.txt,1,224,False
sexism,225,./data/test/.\003.txt,1,225,False
vital,227,./data/test/.\003.txt,1,227,False
closing,229,./data/test/.\003.txt,1,229,False
