All-Words,end,filename,n-gram,start,classtype
Labour,0,./data/test/.\001.txt,1,0,False
Maternity,5,./data/test/.\001.txt,1,5,False
Trade,23,./data/test/.\001.txt,1,23,False
Industry,25,./data/test/.\001.txt,1,25,False
Secretary,26,./data/test/.\001.txt,1,26,False
Patricia,27,./data/test/.\001.txt,1,27,False
Hewitt,28,./data/test/.\001.txt,1,28,False
Hewitt,43,./data/test/.\001.txt,1,43,False
GMTV's,45,./data/test/.\001.txt,1,45,False
Sunday,46,./data/test/.\001.txt,1,46,False
Tories,67,./data/test/.\001.txt,1,67,False
Liberal,77,./data/test/.\001.txt,1,77,False
Democrats,78,./data/test/.\001.txt,1,78,False
Hewitt,84,./data/test/.\001.txt,1,84,False
Parliament.,144,./data/test/.\001.txt,1,144,False
Shadow,240,./data/test/.\001.txt,1,240,False
Secretary,241,./data/test/.\001.txt,1,241,False
State,243,./data/test/.\001.txt,1,243,False
Family,246,./data/test/.\001.txt,1,246,False
Theresa,247,./data/test/.\001.txt,1,247,False
May,248,./data/test/.\001.txt,1,248,False
Gordon,255,./data/test/.\001.txt,1,255,False
Brown,256,./data/test/.\001.txt,1,256,False
December,262,./data/test/.\001.txt,1,262,False
Tony,264,./data/test/.\001.txt,1,264,False
Blair,265,./data/test/.\001.txt,1,265,False
Conservatives,282,./data/test/.\001.txt,1,282,False
General,290,./data/test/.\001.txt,1,290,False
Election,291,./data/test/.\001.txt,1,291,False
Liberal,292,./data/test/.\001.txt,1,292,False
Democrat,293,./data/test/.\001.txt,1,293,False
Sandra,297,./data/test/.\001.txt,1,297,False
Gidley,298,./data/test/.\001.txt,1,298,False
Liberal,309,./data/test/.\001.txt,1,309,False
Democrats,310,./data/test/.\001.txt,1,310,False
Hewitt,342,./data/test/.\001.txt,1,342,False
David,356,./data/test/.\001.txt,1,356,False
Frost,357,./data/test/.\001.txt,1,357,False
British,362,./data/test/.\001.txt,1,362,False
Chambers,363,./data/test/.\001.txt,1,363,False
Commerce,365,./data/test/.\001.txt,1,365,False
Monday,419,./data/test/.\001.txt,1,419,False
New,420,./data/test/.\001.txt,1,420,False
Hewitt,0,./data/test/.\003.txt,1,0,True
'career,2,./data/test/.\003.txt,1,2,False
Plans,4,./data/test/.\003.txt,1,4,False
Labour's,17,./data/test/.\003.txt,1,17,False
Trade,21,./data/test/.\003.txt,1,21,False
Industry,23,./data/test/.\003.txt,1,23,False
Secretary,24,./data/test/.\003.txt,1,24,False
Patricia,27,./data/test/.\003.txt,1,27,False
Hewitt,28,./data/test/.\003.txt,1,28,False
Hewitt,52,./data/test/.\003.txt,1,52,False
Equal,64,./data/test/.\003.txt,1,64,False
Opportunities,65,./data/test/.\003.txt,1,65,False
Commission,66,./data/test/.\003.txt,1,66,False
Mothers,68,./data/test/.\003.txt,1,68,False
Hewitt,83,./data/test/.\003.txt,1,83,False
Clearly,87,./data/test/.\003.txt,1,87,False
Hewitt,147,./data/test/.\003.txt,1,147,False
Plans,176,./data/test/.\003.txt,1,176,False
Women,200,./data/test/.\003.txt,1,200,False
Equal,212,./data/test/.\003.txt,1,212,False
Opportunities,213,./data/test/.\003.txt,1,213,False
Commission,214,./data/test/.\003.txt,1,214,False
Career,234,./data/test/.\003.txt,1,234,False
Earlier,270,./data/test/.\003.txt,1,270,False
BBC,273,./data/test/.\003.txt,1,273,False
Radio,274,./data/test/.\003.txt,1,274,False
Today,276,./data/test/.\003.txt,1,276,False
Unfortunately,312,./data/test/.\003.txt,1,312,False
Career,333,./data/test/.\003.txt,1,333,False
Construction,354,./data/test/.\003.txt,1,354,False
Career,376,./data/test/.\003.txt,1,376,False
Department,422,./data/test/.\003.txt,1,422,False
Trade,424,./data/test/.\003.txt,1,424,False
Industry,426,./data/test/.\003.txt,1,426,False
TUC,441,./data/test/.\003.txt,1,441,False
Research,456,./data/test/.\003.txt,1,456,False
EOC,460,./data/test/.\003.txt,1,460,False
Britons,466,./data/test/.\003.txt,1,466,False
Women,484,./data/test/.\003.txt,1,484,False
FTSE,494,./data/test/.\003.txt,1,494,False
Labour,0,./data/test/.\004.txt,1,0,False
Manchester,2,./data/test/.\004.txt,1,2,False
Labour,4,./data/test/.\004.txt,1,4,False
Party,5,./data/test/.\004.txt,1,5,False
Manchester,13,./data/test/.\004.txt,1,13,False
Blackpool,16,./data/test/.\004.txt,1,16,False
Labour's,28,./data/test/.\004.txt,1,28,False
National,30,./data/test/.\004.txt,1,30,False
Executive,31,./data/test/.\004.txt,1,31,False
Committee,32,./data/test/.\004.txt,1,32,False
Manchester,57,./data/test/.\004.txt,1,57,False
Blackpool,63,./data/test/.\004.txt,1,63,False
February,69,./data/test/.\004.txt,1,69,False
Blackpool,91,./data/test/.\004.txt,1,91,False
Bournemouth,92,./data/test/.\004.txt,1,92,False
Brighton,94,./data/test/.\004.txt,1,94,False
Blackpool,108,./data/test/.\004.txt,1,108,False
Blackpool,129,./data/test/.\004.txt,1,129,False
Bournemouth,138,./data/test/.\004.txt,1,138,False
Brighton,151,./data/test/.\004.txt,1,151,False
Colin,157,./data/test/.\004.txt,1,157,False
Asplin,158,./data/test/.\004.txt,1,158,False
Blackpool,159,./data/test/.\004.txt,1,159,False
Hotel,160,./data/test/.\004.txt,1,160,False
Association,161,./data/test/.\004.txt,1,161,False
Blackpool,175,./data/test/.\004.txt,1,175,False
Obviously,176,./data/test/.\004.txt,1,176,False
Manchester,185,./data/test/.\004.txt,1,185,False
Labour,195,./data/test/.\004.txt,1,195,False
Party,196,./data/test/.\004.txt,1,196,False
Blackpool,220,./data/test/.\004.txt,1,220,False
Manchester,246,./data/test/.\004.txt,1,246,False
Crucial,0,./data/test/.\010.txt,1,0,False
Westminster,10,./data/test/.\010.txt,1,10,False
Scottish,22,./data/test/.\010.txt,1,22,False
Parliament,23,./data/test/.\010.txt,1,23,False
Las,32,./data/test/.\010.txt,1,32,False
Vegas,33,./data/test/.\010.txt,1,33,False
Glasgow,47,./data/test/.\010.txt,1,47,False
Scottish,48,./data/test/.\010.txt,1,48,False
Scotland,66,./data/test/.\010.txt,1,66,False
Wednesday,85,./data/test/.\010.txt,1,85,False
Scottish,93,./data/test/.\010.txt,1,93,False
Executive,94,./data/test/.\010.txt,1,94,False
Westminster,103,./data/test/.\010.txt,1,103,False
Glasgow,127,./data/test/.\010.txt,1,127,False
Ibrox,132,./data/test/.\010.txt,1,132,False
Scottish,135,./data/test/.\010.txt,1,135,False
Exhibition,136,./data/test/.\010.txt,1,136,False
Conference,138,./data/test/.\010.txt,1,138,False
Centre,139,./data/test/.\010.txt,1,139,False
Westminster,146,./data/test/.\010.txt,1,146,False
Scottish,170,./data/test/.\010.txt,1,170,False
National,171,./data/test/.\010.txt,1,171,False
Party,172,./data/test/.\010.txt,1,172,False
Tories,175,./data/test/.\010.txt,1,175,False
Scotland,185,./data/test/.\010.txt,1,185,False
Howard,0,./data/test/.\013.txt,1,0,True
Tory,4,./data/test/.\013.txt,1,4,False
Michael,6,./data/test/.\013.txt,1,6,False
Howard,7,./data/test/.\013.txt,1,7,False
Howard,28,./data/test/.\013.txt,1,28,False
Nazi,33,./data/test/.\013.txt,1,33,False
BBC,58,./data/test/.\013.txt,1,58,False
'No,61,./data/test/.\013.txt,1,61,False
Nasty',64,./data/test/.\013.txt,1,64,False
Anne,67,./data/test/.\013.txt,1,67,False
Robinson,68,./data/test/.\013.txt,1,68,False
Robinson,85,./data/test/.\013.txt,1,85,False
