All-Words,end,filename,n-gram,start,classtype
Hewitt,0,./cleanfiles/003.txt,1,0,True
decries,1,./cleanfiles/003.txt,1,1,False
'career,2,./cleanfiles/003.txt,1,2,False
sexism',3,./cleanfiles/003.txt,1,3,False
Plans,4,./cleanfiles/003.txt,1,4,False
maternity,8,./cleanfiles/003.txt,1,8,False
beyond,10,./cleanfiles/003.txt,1,10,False
six,11,./cleanfiles/003.txt,1,11,False
months,12,./cleanfiles/003.txt,1,12,False
prominent,15,./cleanfiles/003.txt,1,15,False
Labour's,17,./cleanfiles/003.txt,1,17,False
election,18,./cleanfiles/003.txt,1,18,False
"manifesto,",19,./cleanfiles/003.txt,1,19,False
Trade,21,./cleanfiles/003.txt,1,21,False
Industry,23,./cleanfiles/003.txt,1,23,False
Secretary,24,./cleanfiles/003.txt,1,24,False
said.,26,./cleanfiles/003.txt,1,26,False
Patricia,27,./cleanfiles/003.txt,1,27,False
Hewitt,28,./cleanfiles/003.txt,1,28,True
proposals,34,./cleanfiles/003.txt,1,34,False
"evaluated,",37,./cleanfiles/003.txt,1,37,False
"""increasingly",42,./cleanfiles/003.txt,1,42,False
high,43,./cleanfiles/003.txt,1,43,False
"priority""",44,./cleanfiles/003.txt,1,44,False
"""shared",47,./cleanfiles/003.txt,1,47,False
goal,48,./cleanfiles/003.txt,1,48,False
across,49,./cleanfiles/003.txt,1,49,False
"government"".",50,./cleanfiles/003.txt,1,50,False
Ms,51,./cleanfiles/003.txt,1,51,False
Hewitt,52,./cleanfiles/003.txt,1,52,True
speaking,54,./cleanfiles/003.txt,1,54,False
gender,57,./cleanfiles/003.txt,1,57,False
productivity,59,./cleanfiles/003.txt,1,59,False
seminar,60,./cleanfiles/003.txt,1,60,False
organised,61,./cleanfiles/003.txt,1,61,False
Equal,64,./cleanfiles/003.txt,1,64,False
Opportunities,65,./cleanfiles/003.txt,1,65,False
Commission,66,./cleanfiles/003.txt,1,66,False
(EOC).,67,./cleanfiles/003.txt,1,67,False
Mothers,68,./cleanfiles/003.txt,1,68,False
currently,70,./cleanfiles/003.txt,1,70,False
six,74,./cleanfiles/003.txt,1,74,False
months',75,./cleanfiles/003.txt,1,75,False
-,78,./cleanfiles/003.txt,1,78,False
six,80,./cleanfiles/003.txt,1,80,False
unpaid.,81,./cleanfiles/003.txt,1,81,False
Ms,82,./cleanfiles/003.txt,1,82,False
Hewitt,83,./cleanfiles/003.txt,1,83,True
