All-Words,end,filename,n-gram,start,classtype
Hewitt,0,./markedupfiles/003.txt,1,0,True
decries,1,./markedupfiles/003.txt,1,1,False
'career,2,./markedupfiles/003.txt,1,2,False
sexism',3,./markedupfiles/003.txt,1,3,False
Plans,4,./markedupfiles/003.txt,1,4,False
to,5,./markedupfiles/003.txt,1,5,False
extend,6,./markedupfiles/003.txt,1,6,False
paid,7,./markedupfiles/003.txt,1,7,False
maternity,8,./markedupfiles/003.txt,1,8,False
leave,9,./markedupfiles/003.txt,1,9,False
beyond,10,./markedupfiles/003.txt,1,10,False
six,11,./markedupfiles/003.txt,1,11,False
months,12,./markedupfiles/003.txt,1,12,False
should,13,./markedupfiles/003.txt,1,13,False
be,14,./markedupfiles/003.txt,1,14,False
prominent,15,./markedupfiles/003.txt,1,15,False
in,16,./markedupfiles/003.txt,1,16,False
Labour's,17,./markedupfiles/003.txt,1,17,False
election,18,./markedupfiles/003.txt,1,18,False
manifesto,19,./markedupfiles/003.txt,1,19,False
the,20,./markedupfiles/003.txt,1,20,False
Trade,21,./markedupfiles/003.txt,1,21,False
and,22,./markedupfiles/003.txt,1,22,False
Industry,23,./markedupfiles/003.txt,1,23,False
Secretary,24,./markedupfiles/003.txt,1,24,False
has,25,./markedupfiles/003.txt,1,25,False
said.,26,./markedupfiles/003.txt,1,26,False
Patricia,27,./markedupfiles/003.txt,1,27,False
Hewitt,28,./markedupfiles/003.txt,1,28,False
said,29,./markedupfiles/003.txt,1,29,False
the,30,./markedupfiles/003.txt,1,30,False
cost,31,./markedupfiles/003.txt,1,31,False
of,32,./markedupfiles/003.txt,1,32,False
the,33,./markedupfiles/003.txt,1,33,False
proposals,34,./markedupfiles/003.txt,1,34,False
was,35,./markedupfiles/003.txt,1,35,False
being,36,./markedupfiles/003.txt,1,36,False
evaluated,37,./markedupfiles/003.txt,1,37,False
but,38,./markedupfiles/003.txt,1,38,False
it,39,./markedupfiles/003.txt,1,39,False
was,40,./markedupfiles/003.txt,1,40,False
an,41,./markedupfiles/003.txt,1,41,False
"""increasingly",42,./markedupfiles/003.txt,1,42,False
high,43,./markedupfiles/003.txt,1,43,False
"priority""",44,./markedupfiles/003.txt,1,44,False
and,45,./markedupfiles/003.txt,1,45,False
a,46,./markedupfiles/003.txt,1,46,False
"""shared",47,./markedupfiles/003.txt,1,47,False
goal,48,./markedupfiles/003.txt,1,48,False
across,49,./markedupfiles/003.txt,1,49,False
"government"".",50,./markedupfiles/003.txt,1,50,False
Ms,51,./markedupfiles/003.txt,1,51,False
Hewitt,52,./markedupfiles/003.txt,1,52,False
was,53,./markedupfiles/003.txt,1,53,False
speaking,54,./markedupfiles/003.txt,1,54,False
at,55,./markedupfiles/003.txt,1,55,False
a,56,./markedupfiles/003.txt,1,56,False
gender,57,./markedupfiles/003.txt,1,57,False
and,58,./markedupfiles/003.txt,1,58,False
productivity,59,./markedupfiles/003.txt,1,59,False
seminar,60,./markedupfiles/003.txt,1,60,False
organised,61,./markedupfiles/003.txt,1,61,False
by,62,./markedupfiles/003.txt,1,62,False
the,63,./markedupfiles/003.txt,1,63,False
Equal,64,./markedupfiles/003.txt,1,64,False
Opportunities,65,./markedupfiles/003.txt,1,65,False
Commission,66,./markedupfiles/003.txt,1,66,False
(EOC).,67,./markedupfiles/003.txt,1,67,False
Mothers,68,./markedupfiles/003.txt,1,68,False
can,69,./markedupfiles/003.txt,1,69,False
currently,70,./markedupfiles/003.txt,1,70,False
take,71,./markedupfiles/003.txt,1,71,False
up,72,./markedupfiles/003.txt,1,72,False
to,73,./markedupfiles/003.txt,1,73,False
six,74,./markedupfiles/003.txt,1,74,False
months',75,./markedupfiles/003.txt,1,75,False
paid,76,./markedupfiles/003.txt,1,76,False
leave,77,./markedupfiles/003.txt,1,77,False
-,78,./markedupfiles/003.txt,1,78,False
and,79,./markedupfiles/003.txt,1,79,False
six,80,./markedupfiles/003.txt,1,80,False
unpaid.,81,./markedupfiles/003.txt,1,81,False
Ms,82,./markedupfiles/003.txt,1,82,False
Hewitt,83,./markedupfiles/003.txt,1,83,False
told,84,./markedupfiles/003.txt,1,84,False
the,85,./markedupfiles/003.txt,1,85,False
seminar:,86,./markedupfiles/003.txt,1,86,False
"""Clearly",87,./markedupfiles/003.txt,1,87,False
one,88,./markedupfiles/003.txt,1,88,False
of,89,./markedupfiles/003.txt,1,89,False
the,90,./markedupfiles/003.txt,1,90,False
things,91,./markedupfiles/003.txt,1,91,False
we,92,./markedupfiles/003.txt,1,92,False
need,93,./markedupfiles/003.txt,1,93,False
to,94,./markedupfiles/003.txt,1,94,False
do,95,./markedupfiles/003.txt,1,95,False
in,96,./markedupfiles/003.txt,1,96,False
the,97,./markedupfiles/003.txt,1,97,False
future,98,./markedupfiles/003.txt,1,98,False
is,99,./markedupfiles/003.txt,1,99,False
to,100,./markedupfiles/003.txt,1,100,False
extend,101,./markedupfiles/003.txt,1,101,False
the,102,./markedupfiles/003.txt,1,102,False
period,103,./markedupfiles/003.txt,1,103,False
of,104,./markedupfiles/003.txt,1,104,False
payment,105,./markedupfiles/003.txt,1,105,False
for,106,./markedupfiles/003.txt,1,106,False
maternity,107,./markedupfiles/003.txt,1,107,False
leave,108,./markedupfiles/003.txt,1,108,False
beyond,109,./markedupfiles/003.txt,1,109,False
the,110,./markedupfiles/003.txt,1,110,False
first,111,./markedupfiles/003.txt,1,111,False
six,112,./markedupfiles/003.txt,1,112,False
months,113,./markedupfiles/003.txt,1,113,False
into,114,./markedupfiles/003.txt,1,114,False
the,115,./markedupfiles/003.txt,1,115,False
second,116,./markedupfiles/003.txt,1,116,False
six,117,./markedupfiles/003.txt,1,117,False
months.,118,./markedupfiles/003.txt,1,118,False
"""We",119,./markedupfiles/003.txt,1,119,False
are,120,./markedupfiles/003.txt,1,120,False
looking,121,./markedupfiles/003.txt,1,121,False
at,122,./markedupfiles/003.txt,1,122,False
how,123,./markedupfiles/003.txt,1,123,False
quickly,124,./markedupfiles/003.txt,1,124,False
we,125,./markedupfiles/003.txt,1,125,False
can,126,./markedupfiles/003.txt,1,126,False
do,127,./markedupfiles/003.txt,1,127,False
that,128,./markedupfiles/003.txt,1,128,False
because,129,./markedupfiles/003.txt,1,129,False
obviously,130,./markedupfiles/003.txt,1,130,False
there,131,./markedupfiles/003.txt,1,131,False
are,132,./markedupfiles/003.txt,1,132,False
cost,133,./markedupfiles/003.txt,1,133,False
implications,134,./markedupfiles/003.txt,1,134,False
because,135,./markedupfiles/003.txt,1,135,False
the,136,./markedupfiles/003.txt,1,136,False
taxpayer,137,./markedupfiles/003.txt,1,137,False
reimburses,138,./markedupfiles/003.txt,1,138,False
the,139,./markedupfiles/003.txt,1,139,False
employers,140,./markedupfiles/003.txt,1,140,False
for,141,./markedupfiles/003.txt,1,141,False
the,142,./markedupfiles/003.txt,1,142,False
cost,143,./markedupfiles/003.txt,1,143,False
of,144,./markedupfiles/003.txt,1,144,False
"that.""",145,./markedupfiles/003.txt,1,145,False
Ms,146,./markedupfiles/003.txt,1,146,False
Hewitt,147,./markedupfiles/003.txt,1,147,False
also,148,./markedupfiles/003.txt,1,148,False
announced,149,./markedupfiles/003.txt,1,149,False
a,150,./markedupfiles/003.txt,1,150,False
new,151,./markedupfiles/003.txt,1,151,False
drive,152,./markedupfiles/003.txt,1,152,False
to,153,./markedupfiles/003.txt,1,153,False
help,154,./markedupfiles/003.txt,1,154,False
women,155,./markedupfiles/003.txt,1,155,False
who,156,./markedupfiles/003.txt,1,156,False
want,157,./markedupfiles/003.txt,1,157,False
to,158,./markedupfiles/003.txt,1,158,False
work,159,./markedupfiles/003.txt,1,159,False
in,160,./markedupfiles/003.txt,1,160,False
male,161,./markedupfiles/003.txt,1,161,False
dominated,162,./markedupfiles/003.txt,1,162,False
sectors,163,./markedupfiles/003.txt,1,163,False
saying,164,./markedupfiles/003.txt,1,164,False
sexism,165,./markedupfiles/003.txt,1,165,False
at,166,./markedupfiles/003.txt,1,166,False
work,167,./markedupfiles/003.txt,1,167,False
was,168,./markedupfiles/003.txt,1,168,False
still,169,./markedupfiles/003.txt,1,169,False
preventing,170,./markedupfiles/003.txt,1,170,False
women,171,./markedupfiles/003.txt,1,171,False
reaching,172,./markedupfiles/003.txt,1,172,False
their,173,./markedupfiles/003.txt,1,173,False
full,174,./markedupfiles/003.txt,1,174,False
potential.,175,./markedupfiles/003.txt,1,175,False
Plans,176,./markedupfiles/003.txt,1,176,False
include,177,./markedupfiles/003.txt,1,177,False
funding,178,./markedupfiles/003.txt,1,178,False
for,179,./markedupfiles/003.txt,1,179,False
universities,180,./markedupfiles/003.txt,1,180,False
to,181,./markedupfiles/003.txt,1,181,False
help,182,./markedupfiles/003.txt,1,182,False
female,183,./markedupfiles/003.txt,1,183,False
science,184,./markedupfiles/003.txt,1,184,False
and,185,./markedupfiles/003.txt,1,185,False
engineering,186,./markedupfiles/003.txt,1,186,False
graduates,187,./markedupfiles/003.txt,1,187,False
find,188,./markedupfiles/003.txt,1,188,False
jobs,189,./markedupfiles/003.txt,1,189,False
and,190,./markedupfiles/003.txt,1,190,False
"""taster",191,./markedupfiles/003.txt,1,191,False
"courses""",192,./markedupfiles/003.txt,1,192,False
for,193,./markedupfiles/003.txt,1,193,False
men,194,./markedupfiles/003.txt,1,194,False
and,195,./markedupfiles/003.txt,1,195,False
women,196,./markedupfiles/003.txt,1,196,False
in,197,./markedupfiles/003.txt,1,197,False
non-traditional,198,./markedupfiles/003.txt,1,198,False
jobs.,199,./markedupfiles/003.txt,1,199,False
Women,200,./markedupfiles/003.txt,1,200,False
in,201,./markedupfiles/003.txt,1,201,False
full-time,202,./markedupfiles/003.txt,1,202,False
work,203,./markedupfiles/003.txt,1,203,False
earn,204,./markedupfiles/003.txt,1,204,False
19%,205,./markedupfiles/003.txt,1,205,False
less,206,./markedupfiles/003.txt,1,206,False
than,207,./markedupfiles/003.txt,1,207,False
men,208,./markedupfiles/003.txt,1,208,False
according,209,./markedupfiles/003.txt,1,209,False
to,210,./markedupfiles/003.txt,1,210,False
the,211,./markedupfiles/003.txt,1,211,False
