All-Words,end,filename,n-gram,start,classtype
Hewitt,0,./markedupfiles/003.txt,1,0,True
decries,1,./markedupfiles/003.txt,1,1,False
'career,2,./markedupfiles/003.txt,1,2,False
sexism',3,./markedupfiles/003.txt,1,3,False
Plans,4,./markedupfiles/003.txt,1,4,False
maternity,8,./markedupfiles/003.txt,1,8,False
beyond,10,./markedupfiles/003.txt,1,10,False
six,11,./markedupfiles/003.txt,1,11,False
months,12,./markedupfiles/003.txt,1,12,False
prominent,15,./markedupfiles/003.txt,1,15,False
Labour's,17,./markedupfiles/003.txt,1,17,False
election,18,./markedupfiles/003.txt,1,18,False
manifesto,19,./markedupfiles/003.txt,1,19,False
Trade,21,./markedupfiles/003.txt,1,21,False
Industry,23,./markedupfiles/003.txt,1,23,False
Secretary,24,./markedupfiles/003.txt,1,24,False
said.,26,./markedupfiles/003.txt,1,26,False
Patricia,27,./markedupfiles/003.txt,1,27,False
Hewitt,28,./markedupfiles/003.txt,1,28,False
proposals,34,./markedupfiles/003.txt,1,34,False
"""increasingly",42,./markedupfiles/003.txt,1,42,False
high,43,./markedupfiles/003.txt,1,43,False
"priority""",44,./markedupfiles/003.txt,1,44,False
"""shared",47,./markedupfiles/003.txt,1,47,False
goal,48,./markedupfiles/003.txt,1,48,False
across,49,./markedupfiles/003.txt,1,49,False
"government"".",50,./markedupfiles/003.txt,1,50,False
Hewitt,52,./markedupfiles/003.txt,1,52,False
speaking,54,./markedupfiles/003.txt,1,54,False
gender,57,./markedupfiles/003.txt,1,57,False
productivity,59,./markedupfiles/003.txt,1,59,False
seminar,60,./markedupfiles/003.txt,1,60,False
organised,61,./markedupfiles/003.txt,1,61,False
Equal,64,./markedupfiles/003.txt,1,64,False
Opportunities,65,./markedupfiles/003.txt,1,65,False
Commission,66,./markedupfiles/003.txt,1,66,False
Mothers,68,./markedupfiles/003.txt,1,68,False
currently,70,./markedupfiles/003.txt,1,70,False
six,74,./markedupfiles/003.txt,1,74,False
months',75,./markedupfiles/003.txt,1,75,False
six,80,./markedupfiles/003.txt,1,80,False
unpaid.,81,./markedupfiles/003.txt,1,81,False
Hewitt,83,./markedupfiles/003.txt,1,83,False
"""Clearly",87,./markedupfiles/003.txt,1,87,False
one,88,./markedupfiles/003.txt,1,88,False
things,91,./markedupfiles/003.txt,1,91,False
future,98,./markedupfiles/003.txt,1,98,False
period,103,./markedupfiles/003.txt,1,103,False
payment,105,./markedupfiles/003.txt,1,105,False
maternity,107,./markedupfiles/003.txt,1,107,False
beyond,109,./markedupfiles/003.txt,1,109,False
first,111,./markedupfiles/003.txt,1,111,False
six,112,./markedupfiles/003.txt,1,112,False
months,113,./markedupfiles/003.txt,1,113,False
second,116,./markedupfiles/003.txt,1,116,False
six,117,./markedupfiles/003.txt,1,117,False
months.,118,./markedupfiles/003.txt,1,118,False
"""We",119,./markedupfiles/003.txt,1,119,False
looking,121,./markedupfiles/003.txt,1,121,False
quickly,124,./markedupfiles/003.txt,1,124,False
obviously,130,./markedupfiles/003.txt,1,130,False
implications,134,./markedupfiles/003.txt,1,134,False
taxpayer,137,./markedupfiles/003.txt,1,137,False
reimburses,138,./markedupfiles/003.txt,1,138,False
employers,140,./markedupfiles/003.txt,1,140,False
"that.""",145,./markedupfiles/003.txt,1,145,False
Hewitt,147,./markedupfiles/003.txt,1,147,False
also,148,./markedupfiles/003.txt,1,148,False
new,151,./markedupfiles/003.txt,1,151,False
women,155,./markedupfiles/003.txt,1,155,False
male,161,./markedupfiles/003.txt,1,161,False
dominated,162,./markedupfiles/003.txt,1,162,False
sectors,163,./markedupfiles/003.txt,1,163,False
saying,164,./markedupfiles/003.txt,1,164,False
sexism,165,./markedupfiles/003.txt,1,165,False
still,169,./markedupfiles/003.txt,1,169,False
preventing,170,./markedupfiles/003.txt,1,170,False
women,171,./markedupfiles/003.txt,1,171,False
reaching,172,./markedupfiles/003.txt,1,172,False
full,174,./markedupfiles/003.txt,1,174,False
potential.,175,./markedupfiles/003.txt,1,175,False
Plans,176,./markedupfiles/003.txt,1,176,False
funding,178,./markedupfiles/003.txt,1,178,False
universities,180,./markedupfiles/003.txt,1,180,False
female,183,./markedupfiles/003.txt,1,183,False
science,184,./markedupfiles/003.txt,1,184,False
engineering,186,./markedupfiles/003.txt,1,186,False
graduates,187,./markedupfiles/003.txt,1,187,False
jobs,189,./markedupfiles/003.txt,1,189,False
"""taster",191,./markedupfiles/003.txt,1,191,False
"courses""",192,./markedupfiles/003.txt,1,192,False
men,194,./markedupfiles/003.txt,1,194,False
women,196,./markedupfiles/003.txt,1,196,False
non-traditional,198,./markedupfiles/003.txt,1,198,False
jobs.,199,./markedupfiles/003.txt,1,199,False
Women,200,./markedupfiles/003.txt,1,200,False
full-time,202,./markedupfiles/003.txt,1,202,False
less,206,./markedupfiles/003.txt,1,206,False
men,208,./markedupfiles/003.txt,1,208,False
according,209,./markedupfiles/003.txt,1,209,False
Equal,212,./markedupfiles/003.txt,1,212,False
Opportunities,213,./markedupfiles/003.txt,1,213,False
Commission,214,./markedupfiles/003.txt,1,214,False
The,216,./markedupfiles/003.txt,1,216,False
minister,217,./markedupfiles/003.txt,1,217,False
delegates,219,./markedupfiles/003.txt,1,219,False
getting,221,./markedupfiles/003.txt,1,221,False
"""career",224,./markedupfiles/003.txt,1,224,False
"sexism""",225,./markedupfiles/003.txt,1,225,False
vital,227,./markedupfiles/003.txt,1,227,False
closing,229,./markedupfiles/003.txt,1,229,False
gender,231,./markedupfiles/003.txt,1,231,False
gap.,233,./markedupfiles/003.txt,1,233,False
"""Career",234,./markedupfiles/003.txt,1,234,False
sexism,235,./markedupfiles/003.txt,1,235,False
limits,236,./markedupfiles/003.txt,1,236,False
opportunities,237,./markedupfiles/003.txt,1,237,False
women,239,./markedupfiles/003.txt,1,239,False
ages,242,./markedupfiles/003.txt,1,242,False
prevents,244,./markedupfiles/003.txt,1,244,False
achieving,247,./markedupfiles/003.txt,1,247,False
full,249,./markedupfiles/003.txt,1,249,False
potential.,250,./markedupfiles/003.txt,1,250,False
"""It",251,./markedupfiles/003.txt,1,251,False
simply,253,./markedupfiles/003.txt,1,253,False
wrong,254,./markedupfiles/003.txt,1,254,False
assume,256,./markedupfiles/003.txt,1,256,False
someone,257,./markedupfiles/003.txt,1,257,False
cannot,258,./markedupfiles/003.txt,1,258,False
job,261,./markedupfiles/003.txt,1,261,False
said.,269,./markedupfiles/003.txt,1,269,False
Earlier,270,./markedupfiles/003.txt,1,270,False
BBC,273,./markedupfiles/003.txt,1,273,False
Radio,274,./markedupfiles/003.txt,1,274,False
Today,276,./markedupfiles/003.txt,1,276,False
"""What",278,./markedupfiles/003.txt,1,278,False
talking,281,./markedupfiles/003.txt,1,281,False
fact,286,./markedupfiles/003.txt,1,286,False
six,289,./markedupfiles/003.txt,1,289,False
women,293,./markedupfiles/003.txt,1,293,False
jobs,296,./markedupfiles/003.txt,1,296,False
low-paid,299,./markedupfiles/003.txt,1,299,False
typically,301,./markedupfiles/003.txt,1,301,False
dominated,302,./markedupfiles/003.txt,1,302,False
women,304,./markedupfiles/003.txt,1,304,False
segregated,310,./markedupfiles/003.txt,1,310,False
employment.,311,./markedupfiles/003.txt,1,311,False
"""Unfortunately",312,./markedupfiles/003.txt,1,312,False
cases,315,./markedupfiles/003.txt,1,315,False
reflects,317,./markedupfiles/003.txt,1,317,False
old-fashioned,319,./markedupfiles/003.txt,1,319,False
stereotypical,321,./markedupfiles/003.txt,1,321,False
ideas,322,./markedupfiles/003.txt,1,322,False
appropriate,325,./markedupfiles/003.txt,1,325,False
jobs,326,./markedupfiles/003.txt,1,326,False
women,328,./markedupfiles/003.txt,1,328,False
indeed,330,./markedupfiles/003.txt,1,330,False
men.,332,./markedupfiles/003.txt,1,332,False
"""Career",333,./markedupfiles/003.txt,1,333,False
sexism,334,./markedupfiles/003.txt,1,334,False
saying,337,./markedupfiles/003.txt,1,337,False
engineering,339,./markedupfiles/003.txt,1,339,False
instance,341,./markedupfiles/003.txt,1,341,False
employees,346,./markedupfiles/003.txt,1,346,False
women,348,./markedupfiles/003.txt,1,348,False
really,350,./markedupfiles/003.txt,1,350,False
male-dominated,352,./markedupfiles/003.txt,1,352,False
industry.,353,./markedupfiles/003.txt,1,353,False
Construction,354,./markedupfiles/003.txt,1,354,False
even,356,./markedupfiles/003.txt,1,356,False
worse.,357,./markedupfiles/003.txt,1,357,False
"""But",358,./markedupfiles/003.txt,1,358,False
also,361,./markedupfiles/003.txt,1,361,False
saying,363,./markedupfiles/003.txt,1,363,False
childcare,364,./markedupfiles/003.txt,1,364,False
jobs,365,./markedupfiles/003.txt,1,365,False
really,367,./markedupfiles/003.txt,1,367,False
women,370,./markedupfiles/003.txt,1,370,False
suitable,373,./markedupfiles/003.txt,1,373,False
men.,375,./markedupfiles/003.txt,1,375,False
Career,376,./markedupfiles/003.txt,1,376,False
sexism,377,./markedupfiles/003.txt,1,377,False
"ways.""",380,./markedupfiles/003.txt,1,380,False
She,381,./markedupfiles/003.txt,1,381,False
added,382,./markedupfiles/003.txt,1,382,False
still,391,./markedupfiles/003.txt,1,391,False
gap,393,./markedupfiles/003.txt,1,393,False
figures.,396,./markedupfiles/003.txt,1,396,False
"""The",397,./markedupfiles/003.txt,1,397,False
average,398,./markedupfiles/003.txt,1,398,False
woman,399,./markedupfiles/003.txt,1,399,False
working,400,./markedupfiles/003.txt,1,400,False
full-time,401,./markedupfiles/003.txt,1,401,False
every,408,./markedupfiles/003.txt,1,408,False
pound,409,./markedupfiles/003.txt,1,409,False
earning.,413,./markedupfiles/003.txt,1,413,False
For,414,./markedupfiles/003.txt,1,414,False
women,415,./markedupfiles/003.txt,1,415,False
working,416,./markedupfiles/003.txt,1,416,False
part-time,417,./markedupfiles/003.txt,1,417,False
The,421,./markedupfiles/003.txt,1,421,False
Department,422,./markedupfiles/003.txt,1,422,False
Trade,424,./markedupfiles/003.txt,1,424,False
Industry,426,./markedupfiles/003.txt,1,426,False
also,428,./markedupfiles/003.txt,1,428,False
funding,430,./markedupfiles/003.txt,1,430,False
