All-Words,end,filename,n-gram,start,classtype
Hewitt,0,./markedupfiles/003.txt,1,0,True
'career,2,./markedupfiles/003.txt,1,2,False
Plans,4,./markedupfiles/003.txt,1,4,False
Labour's,17,./markedupfiles/003.txt,1,17,False
Trade,21,./markedupfiles/003.txt,1,21,False
Industry,23,./markedupfiles/003.txt,1,23,False
Secretary,24,./markedupfiles/003.txt,1,24,False
Patricia,27,./markedupfiles/003.txt,1,27,False
Hewitt,28,./markedupfiles/003.txt,1,28,False
"""increasingly",42,./markedupfiles/003.txt,1,42,False
"""shared",47,./markedupfiles/003.txt,1,47,False
Hewitt,52,./markedupfiles/003.txt,1,52,False
Equal,64,./markedupfiles/003.txt,1,64,False
Opportunities,65,./markedupfiles/003.txt,1,65,False
Commission,66,./markedupfiles/003.txt,1,66,False
Mothers,68,./markedupfiles/003.txt,1,68,False
Hewitt,83,./markedupfiles/003.txt,1,83,False
"""Clearly",87,./markedupfiles/003.txt,1,87,False
"""We",119,./markedupfiles/003.txt,1,119,False
Hewitt,147,./markedupfiles/003.txt,1,147,False
Plans,176,./markedupfiles/003.txt,1,176,False
"""taster",191,./markedupfiles/003.txt,1,191,False
Women,200,./markedupfiles/003.txt,1,200,False
Equal,212,./markedupfiles/003.txt,1,212,False
Opportunities,213,./markedupfiles/003.txt,1,213,False
Commission,214,./markedupfiles/003.txt,1,214,False
The,216,./markedupfiles/003.txt,1,216,False
"""career",224,./markedupfiles/003.txt,1,224,False
"""Career",234,./markedupfiles/003.txt,1,234,False
"""It",251,./markedupfiles/003.txt,1,251,False
Earlier,270,./markedupfiles/003.txt,1,270,False
BBC,273,./markedupfiles/003.txt,1,273,False
Radio,274,./markedupfiles/003.txt,1,274,False
Today,276,./markedupfiles/003.txt,1,276,False
"""What",278,./markedupfiles/003.txt,1,278,False
"""Unfortunately",312,./markedupfiles/003.txt,1,312,False
"""Career",333,./markedupfiles/003.txt,1,333,False
Construction,354,./markedupfiles/003.txt,1,354,False
"""But",358,./markedupfiles/003.txt,1,358,False
Career,376,./markedupfiles/003.txt,1,376,False
She,381,./markedupfiles/003.txt,1,381,False
"""The",397,./markedupfiles/003.txt,1,397,False
For,414,./markedupfiles/003.txt,1,414,False
The,421,./markedupfiles/003.txt,1,421,False
Department,422,./markedupfiles/003.txt,1,422,False
Trade,424,./markedupfiles/003.txt,1,424,False
Industry,426,./markedupfiles/003.txt,1,426,False
TUC.,441,./markedupfiles/003.txt,1,441,False
Research,456,./markedupfiles/003.txt,1,456,False
EOC,460,./markedupfiles/003.txt,1,460,False
Britons,466,./markedupfiles/003.txt,1,466,False
"""natural",479,./markedupfiles/003.txt,1,479,False
Women,484,./markedupfiles/003.txt,1,484,False
FTSE,494,./markedupfiles/003.txt,1,494,False
And,508,./markedupfiles/003.txt,1,508,False
Watchdog,0,./markedupfiles/002.txt,1,0,False
The,4,./markedupfiles/002.txt,1,4,False
Cabinet,15,./markedupfiles/002.txt,1,15,False
Office,16,./markedupfiles/002.txt,1,16,False
Richard,28,./markedupfiles/002.txt,1,28,False
Thomas,29,./markedupfiles/002.txt,1,29,False
"""totally",30,./markedupfiles/002.txt,1,30,False
January.,50,./markedupfiles/002.txt,1,50,False
Government,51,./markedupfiles/002.txt,1,51,False
"""no",62,./markedupfiles/002.txt,1,62,False
Thomas,66,./markedupfiles/002.txt,1,66,False
The,68,./markedupfiles/002.txt,1,68,False
Tories,69,./markedupfiles/002.txt,1,69,False
Lib,72,./markedupfiles/002.txt,1,72,False
Dems,73,./markedupfiles/002.txt,1,73,False
Tory,82,./markedupfiles/002.txt,1,82,False
Michael,84,./markedupfiles/002.txt,1,84,False
Howard,85,./markedupfiles/002.txt,1,85,False
Tony,89,./markedupfiles/002.txt,1,89,False
Blair,90,./markedupfiles/002.txt,1,90,False
Monday,102,./markedupfiles/002.txt,1,102,False
Lib,103,./markedupfiles/002.txt,1,103,False
Dem,104,./markedupfiles/002.txt,1,104,False
Alan,109,./markedupfiles/002.txt,1,109,False
Beith,110,./markedupfiles/002.txt,1,110,False
Hutton,129,./markedupfiles/002.txt,1,129,False
Inquiry.,130,./markedupfiles/002.txt,1,130,False
The,131,./markedupfiles/002.txt,1,131,False
Freedom,140,./markedupfiles/002.txt,1,140,False
Information,142,./markedupfiles/002.txt,1,142,False
Act,143,./markedupfiles/002.txt,1,143,False
"""too",148,./markedupfiles/002.txt,1,148,False
Beith,156,./markedupfiles/002.txt,1,156,False
But,158,./markedupfiles/002.txt,1,158,False
Cabinet,160,./markedupfiles/002.txt,1,160,False
Office,161,./markedupfiles/002.txt,1,161,False
"""the",173,./markedupfiles/002.txt,1,173,False
Beith,179,./markedupfiles/002.txt,1,179,False
"""e-mail",189,./markedupfiles/002.txt,1,189,False
"""support",192,./markedupfiles/002.txt,1,192,False
Thomas,199,./markedupfiles/002.txt,1,199,False
"""The",201,./markedupfiles/002.txt,1,201,False
Act,203,./markedupfiles/002.txt,1,203,False
Parliament,205,./markedupfiles/002.txt,1,205,False
All,246,./markedupfiles/002.txt,1,246,False
Thomas,268,./markedupfiles/002.txt,1,268,False
"""If",270,./markedupfiles/002.txt,1,270,False
It's,287,./markedupfiles/002.txt,1,287,False
