,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Lewis,206,./data/train/./289.txt,1,206,True,100,100,2,2,False,False,False,100,False,False,True,False
1,Glenys,233,./data/train/./289.txt,1,233,True,4,100,3,0,False,False,False,100,False,False,False,False
2,Brown,0,./data/train/./128.txt,1,0,True,100,100,100,1,False,False,False,100,False,False,False,False
3,Clarke,0,./data/train/./049.txt,1,0,True,100,0,100,0,False,False,False,100,False,False,False,False
4,Howard,0,./data/train/./277.txt,1,0,True,100,100,100,0,False,False,False,100,False,False,False,False
5,Blair,2,./data/train/./277.txt,1,2,True,100,100,1,100,False,False,False,100,False,False,False,False
6,Howard,0,./data/train/./275.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
7,Gordon,554,./data/train/./261.txt,1,554,True,4,1,1,0,False,False,False,100,False,False,False,False
8,Brown,0,./data/train/./077.txt,1,0,True,100,100,100,3,False,False,False,100,False,False,False,False
9,Karen,202,./data/train/./063.txt,1,202,True,1,100,2,0,False,False,False,100,False,False,False,False
10,Howard,0,./data/train/./300.txt,1,0,True,100,1,100,2,False,False,False,100,False,False,False,False
11,Michelle,349,./data/train/./116.txt,1,349,True,4,100,2,0,False,False,False,100,False,False,False,False
12,Blunkett,0,./data/train/./102.txt,1,0,True,100,1,100,1,False,False,False,100,False,False,False,False
13,Blair,5,./data/train/./102.txt,1,5,True,3,100,3,100,False,False,False,100,False,False,True,False
14,David,215,./data/train/./102.txt,1,215,True,4,100,1,0,False,False,False,100,False,False,False,False
15,Curtice,356,./data/train/./062.txt,1,356,True,100,100,3,1,False,False,False,1,False,False,True,False
16,Curtice,453,./data/train/./062.txt,1,453,True,100,0,100,1,False,False,False,1,False,False,True,False
17,David,572,./data/train/./089.txt,1,572,True,100,0,4,0,False,False,False,100,True,False,False,False
18,Frost,118,./data/train/./270.txt,1,118,True,100,100,1,2,False,False,False,100,False,False,False,False
19,Blair,0,./data/train/./264.txt,1,0,True,100,1,100,1,False,False,False,100,False,False,False,False
20,Blair,0,./data/train/./099.txt,1,0,True,100,100,100,100,False,False,False,100,False,False,False,False
21,Browns,327,./data/train/./099.txt,1,327,True,100,100,3,1,False,False,False,100,True,False,True,False
22,Blair,0,./data/train/./112.txt,1,0,True,100,100,100,1,False,False,False,100,False,False,False,False
23,Blunkett,3,./data/train/./112.txt,1,3,True,100,100,1,3,False,False,False,100,False,False,False,False
24,Blunkett,294,./data/train/./112.txt,1,294,True,100,2,1,3,False,False,False,100,False,False,False,False
