All-Words,end,filename,n-gram,start,classtype
Labour,0,./data/test/.\001.txt,1,0,False
maternity,2,./data/test/.\001.txt,1,2,False
Maternity,5,./data/test/.\001.txt,1,5,False
new,8,./data/test/.\001.txt,1,8,False
mothers,9,./data/test/.\001.txt,1,9,False
new,18,./data/test/.\001.txt,1,18,False
proposals,19,./data/test/.\001.txt,1,19,False
Trade,23,./data/test/.\001.txt,1,23,False
Industry,25,./data/test/.\001.txt,1,25,False
Secretary,26,./data/test/.\001.txt,1,26,False
Patricia,27,./data/test/.\001.txt,1,27,False
Hewitt,28,./data/test/.\001.txt,1,28,False
nine,38,./data/test/.\001.txt,1,38,False
months,39,./data/test/.\001.txt,1,39,False
Ms,42,./data/test/.\001.txt,1,42,False
Hewitt,43,./data/test/.\001.txt,1,43,False
GMTVs,45,./data/test/.\001.txt,1,45,False
Sunday,46,./data/test/.\001.txt,1,46,False
programme,47,./data/test/.\001.txt,1,47,False
letting,51,./data/test/.\001.txt,1,51,False
maternity,52,./data/test/.\001.txt,1,52,False
fathers,57,./data/test/.\001.txt,1,57,False
extending,59,./data/test/.\001.txt,1,59,False
rights,60,./data/test/.\001.txt,1,60,False
parents,62,./data/test/.\001.txt,1,62,False
older,64,./data/test/.\001.txt,1,64,False
children,65,./data/test/.\001.txt,1,65,False
Tories,67,./data/test/.\001.txt,1,67,False
dismissed,68,./data/test/.\001.txt,1,68,False
maternity,70,./data/test/.\001.txt,1,70,False
desperate,74,./data/test/.\001.txt,1,74,False
Liberal,77,./data/test/.\001.txt,1,77,False
Democrats,78,./data/test/.\001.txt,1,78,False
misdirected,82,./data/test/.\001.txt,1,82,False
Ms,83,./data/test/.\001.txt,1,83,False
Hewitt,84,./data/test/.\001.txt,1,84,False
already,88,./data/test/.\001.txt,1,88,False
length,91,./data/test/.\001.txt,1,91,False
maternity,93,./data/test/.\001.txt,1,93,False
weeks,98,./data/test/.\001.txt,1,98,False
elected,102,./data/test/.\001.txt,1,102,False
already,105,./data/test/.\001.txt,1,105,False
weeks,111,./data/test/.\001.txt,1,111,False
going,114,./data/test/.\001.txt,1,114,False
nine,120,./data/test/.\001.txt,1,120,False
months,121,./data/test/.\001.txt,1,121,False
aim,126,./data/test/.\001.txt,1,126,False
right,131,./data/test/.\001.txt,1,131,False
full,135,./data/test/.\001.txt,1,135,False
months,137,./data/test/.\001.txt,1,137,False
next,143,./data/test/.\001.txt,1,143,False
Parliament.,144,./data/test/.\001.txt,1,144,False
new,147,./data/test/.\001.txt,1,147,False
mothers,148,./data/test/.\001.txt,1,148,False
already,150,./data/test/.\001.txt,1,150,False
entitled,151,./data/test/.\001.txt,1,151,False
months,154,./data/test/.\001.txt,1,154,False
many,158,./data/test/.\001.txt,1,158,False
women,159,./data/test/.\001.txt,1,159,False
six,166,./data/test/.\001.txt,1,166,False
months,169,./data/test/.\001.txt,1,169,False
firm,176,./data/test/.\001.txt,1,176,False
commitment,177,./data/test/.\001.txt,1,177,False
definitely,180,./data/test/.\001.txt,1,180,False
maternity,183,./data/test/.\001.txt,1,183,False
