All-Words,end,filename,n-gram,start
Watchdog,0,./data/train/./002.txt,1,0
probes,1,./data/train/./002.txt,1,1
e-mail,2,./data/train/./002.txt,1,2
deletions,3,./data/train/./002.txt,1,3
The,4,./data/train/./002.txt,1,4
information,5,./data/train/./002.txt,1,5
commissioner,6,./data/train/./002.txt,1,6
says,7,./data/train/./002.txt,1,7
he,8,./data/train/./002.txt,1,8
is,9,./data/train/./002.txt,1,9
urgently,10,./data/train/./002.txt,1,10
asking,11,./data/train/./002.txt,1,11
for,12,./data/train/./002.txt,1,12
details,13,./data/train/./002.txt,1,13
of,14,./data/train/./002.txt,1,14
Cabinet,15,./data/train/./002.txt,1,15
Office,16,./data/train/./002.txt,1,16
orders,17,./data/train/./002.txt,1,17
telling,18,./data/train/./002.txt,1,18
staff,19,./data/train/./002.txt,1,19
to,20,./data/train/./002.txt,1,20
delete,21,./data/train/./002.txt,1,21
e-mails,22,./data/train/./002.txt,1,22
more,23,./data/train/./002.txt,1,23
than,24,./data/train/./002.txt,1,24
three,25,./data/train/./002.txt,1,25
months,26,./data/train/./002.txt,1,26
old,27,./data/train/./002.txt,1,27
<n>Richard,28,./data/train/./002.txt,1,28
Thomas</n>,29,./data/train/./002.txt,1,29
totally,30,./data/train/./002.txt,1,30
condemned,31,./data/train/./002.txt,1,31
the,32,./data/train/./002.txt,1,32
deletion,33,./data/train/./002.txt,1,33
of,34,./data/train/./002.txt,1,34
e-mails,35,./data/train/./002.txt,1,35
to,36,./data/train/./002.txt,1,36
prevent,37,./data/train/./002.txt,1,37
their,38,./data/train/./002.txt,1,38
disclosure,39,./data/train/./002.txt,1,39
under,40,./data/train/./002.txt,1,40
freedom,41,./data/train/./002.txt,1,41
of,42,./data/train/./002.txt,1,42
information,43,./data/train/./002.txt,1,43
laws,44,./data/train/./002.txt,1,44
coming,45,./data/train/./002.txt,1,45
into,46,./data/train/./002.txt,1,46
force,47,./data/train/./002.txt,1,47
on,48,./data/train/./002.txt,1,48
1,49,./data/train/./002.txt,1,49
January,50,./data/train/./002.txt,1,50
Government,51,./data/train/./002.txt,1,51
guidance,52,./data/train/./002.txt,1,52
said,53,./data/train/./002.txt,1,53
e-mails,54,./data/train/./002.txt,1,54
should,55,./data/train/./002.txt,1,55
only,56,./data/train/./002.txt,1,56
be,57,./data/train/./002.txt,1,57
deleted,58,./data/train/./002.txt,1,58
