All-Words,end,filename,n-gram,start,classtype,PRE_DIST_VERB,POST_DIST_VERB,PRE_DIST_STOPWORD,POST_DIST_STOPWORD,PrecedingTitle,Apostrophe,PRE_DIST_FROM_THE,PRE_DIST_FROM_POSITION,NEGATIVE_FEATURE,POSITIVE_FEATURE,Surrounding_Caps,POST_IS_PREPOSITION
Howard,0,./data/test/./262.txt,1,0,True,100,100,100,2,False,False,False,100,False,False,False,False
Blair,2,./data/test/./262.txt,1,2,True,100,100,100,0,False,False,False,100,False,False,False,False
Tony,5,./data/test/./262.txt,1,5,False,100,100,2,2,False,False,False,100,False,False,True,False
Blairs,6,./data/test/./262.txt,1,6,False,100,100,3,1,False,False,False,100,False,False,False,False
Gordon,9,./data/test/./262.txt,1,9,False,100,1,1,1,False,False,False,100,False,False,True,False
Brown,10,./data/test/./262.txt,1,10,False,100,0,2,0,False,False,False,100,False,False,True,False
Tory,19,./data/test/./262.txt,1,19,False,2,3,2,3,False,False,False,100,False,False,False,False
Michael,21,./data/test/./262.txt,1,21,False,4,1,4,1,False,False,False,100,False,False,True,False
Howard,22,./data/test/./262.txt,1,22,False,5,0,5,0,False,False,False,100,False,False,False,False
Howard,32,./data/test/./262.txt,1,32,False,100,2,100,2,False,False,False,100,False,False,False,False
Tory,55,./data/test/./262.txt,1,55,False,100,100,2,100,False,False,False,100,False,False,False,False
Blair,60,./data/test/./262.txt,1,60,False,100,100,100,1,False,False,False,100,False,False,False,False
Labour,82,./data/test/./262.txt,1,82,False,100,1,1,1,False,False,False,100,False,False,False,False
Africa,131,./data/test/./262.txt,1,131,False,2,0,1,0,False,False,False,100,True,False,False,False
Blair,147,./data/test/./262.txt,1,147,False,100,2,4,2,False,False,False,100,False,False,False,False
Browns,157,./data/test/./262.txt,1,157,True,100,100,3,1,False,False,False,100,True,False,True,False
Britain,158,./data/test/./262.txt,1,158,False,100,3,4,0,False,False,False,100,True,False,False,False
Robert,160,./data/test/./262.txt,1,160,False,100,1,1,2,False,False,False,100,False,False,True,False
Peston,161,./data/test/./262.txt,1,161,False,100,0,2,1,False,False,False,100,False,False,False,False
Blair,174,./data/test/./262.txt,1,174,False,100,0,100,1,False,False,False,100,False,False,False,False
November,177,./data/test/./262.txt,1,177,False,2,2,1,1,False,False,False,100,True,False,False,False
Cabinet,200,./data/test/./262.txt,1,200,False,2,100,1,1,False,False,False,100,False,False,False,False
Brown,206,./data/test/./262.txt,1,206,False,100,0,2,0,False,False,False,100,False,False,False,False
Pestons,214,./data/test/./262.txt,1,214,False,100,0,3,2,False,False,False,100,False,False,False,False
Brown,219,./data/test/./262.txt,1,219,False,3,0,2,100,False,False,False,100,False,False,False,False
Blair,222,./data/test/./262.txt,1,222,False,2,1,5,1,False,False,False,100,False,False,False,False
Blair,239,./data/test/./262.txt,1,239,False,4,100,100,2,False,False,False,100,False,False,False,False
Wednesday,245,./data/test/./262.txt,1,245,False,100,100,1,1,False,False,False,100,True,False,True,False
Tory,272,./data/test/./262.txt,1,272,False,3,100,1,2,False,False,False,100,False,False,True,False
Blair,337,./data/test/./262.txt,1,337,False,100,0,3,1,False,False,False,100,False,False,False,False
Labours,352,./data/test/./262.txt,1,352,False,2,0,2,1,False,False,False,100,False,False,False,False
Later,368,./data/test/./262.txt,1,368,False,100,3,3,0,False,False,False,100,False,False,False,False
Tory,373,./data/test/./262.txt,1,373,False,1,3,3,100,False,False,False,100,True,False,False,False
Liam,375,./data/test/./262.txt,1,375,False,3,1,5,2,False,False,False,100,False,False,True,False
Fox,376,./data/test/./262.txt,1,376,False,4,0,100,1,False,False,False,100,False,False,False,False
Labour,393,./data/test/./262.txt,1,393,False,100,2,3,1,False,False,False,100,False,False,False,False
Tuesday,405,./data/test/./262.txt,1,405,False,2,3,1,0,False,False,False,100,True,False,False,False
Brown,408,./data/test/./262.txt,1,408,False,5,0,2,0,False,False,False,100,True,False,False,False
Alan,412,./data/test/./262.txt,1,412,False,3,100,1,1,False,False,False,100,False,True,True,False
Milburn,413,./data/test/./262.txt,1,413,False,4,100,2,0,False,False,False,100,False,True,False,False
Blair,416,./data/test/./262.txt,1,416,False,100,1,2,2,False,False,False,100,False,False,False,False
Liberal,430,./data/test/./262.txt,1,430,False,5,100,3,100,False,False,False,100,False,False,True,False
